,doi
1788,10.1002/jcb.10664
1789,10.1158/0008-5472.can-04-2442
1790,10.1016/s0090-4295(02)01969-6
1791,10.4161/cbt.2.6.531
1792,10.3892/ijo.22.4.921
1793,10.1158/1078-0432.ccr-05-0446
1794,10.2310/7290.2006.00020
1795,10.1109/tns.2003.812445
1796,10.1089/ars.2005.7.1715
1797,10.1158/1535-7163.mct-06-0063
1798,10.1002/ijc.22480
1799,10.1158/1078-0432.ccr-07-4037
1800,10.1002/mc.10056
1801,10.1158/1078-0432.ccr-04-2084
1802,10.1093/carcin/bgi094
1803,10.1359/jbmr.2003.18.2.190
1804,10.1016/s1359-6101(03)00002-9
1805,10.1158/0008-5472.can-04-2251
1806,10.1158/1078-0432.ccr-0571-03
1807,10.1002/pros.20482
1808,10.1016/s0022-5347(05)00891-8
1809,10.1073/pnas.0605832103
1810,10.1093/jnci/djj013
1811,10.1086/427224
1812,10.1038/ng1333
1813,10.2527/jas.2006-235
1814,10.1016/j.reprotox.2005.09.014
1815,10.1210/me.2005-0245
1816,10.1095/biolreprod.104.037721
1817,10.1517/13543780802528609
1818,10.1002/cncr.23085
1819,10.1007/s00280-005-0098-0
1820,10.1196/annals.1359.001
1821,10.1093/jnci/dji252
1822,10.1517/14712598.4.6.927
1823,10.1097/01.ju.0000145044.97177.09
1824,10.1158/0008-5472.can-07-1068
1825,10.1007/s10735-004-2192-8
1826,10.1007/s10552-005-2367-y
1827,10.1097/00129039-200309000-00009
1828,10.1007/s10735-004-2194-6
1829,10.1016/j.mito.2004.08.001
1830,10.1007/s11136-004-0797-8
1831,10.1593/neo.06331
1832,10.1016/j.ab.2004.05.015
1833,10.2174/1570163043335108
1834,10.1023/b:mole.0000031459.14448.af
1835,10.1038/sj.onc.1208513
1836,10.1016/s0002-9440(10)63738-8
1837,10.1093/carcin/bgh310
1838,10.1200/jco.2004.05.158
1839,10.1038/sj.onc.1209134
1840,10.4049/jimmunol.173.9.5392
1841,10.1038/ni1191
1842,10.1016/j.imlet.2004.05.012
1843,10.1038/sj.leu.2403292
1844,10.1084/jem.20042028
1845,10.1080/09687860500430069
1846,10.1016/j.imlet.2005.06.021
1847,10.1158/0008-5472.can-06-3028
1848,10.4049/jimmunol.180.9.6044
1849,10.1007/s10549-005-4792-8
1850,10.1097/01.ju.0000154355.45816.0b
1851,10.1182/blood-2004-11-4564
1852,10.1158/0008-5472.can-05-3954
1853,10.1158/0008-5472.can-04-3119
1854,10.1118/1.2836422
1855,10.1016/j.ijrobp.2007.04.072
1856,10.1109/tmi.2006.884630
1857,10.1117/12.653474
1858,10.1016/j.ijrobp.2005.05.039
1859,10.1088/0031-9155/50/9/010
1860,10.1088/0031-9155/49/4/007
1861,10.1016/j.clim.2006.04.566
1862,10.1158/0008-5472.can-05-2117
1863,10.1186/1479-5876-5-43
1864,10.1159/000090341
1865,10.1182/blood-2007-01-066522
1866,10.1097/cji.0b013e3180335b5e
1867,10.1016/j.soc.2007.07.004
1868,10.1038/sj.cgt.7700922
1869,10.1002/jcb.10662
1870,10.1002/pros.20019
1871,10.1002/eji.200425177
1872,10.4049/jimmunol.173.4.2253
1873,10.1002/pros.10283
1874,10.1074/jbc.m409230200
1875,10.1002/gene.20194
1876,10.1158/1541-7786.mcr-06-0168
1877,10.1002/pros.20056
1878,10.1182/blood-2004-07-2959
1879,10.1007/978-1-59259-743-7_10
1880,10.1189/jlb.1103586
1881,10.4049/jimmunol.171.11.5997
1882,10.1002/eji.200535637
1883,10.1081/scc-120028365
1884,10.1016/j.bmc.2004.03.051
1885,10.1081/scc-120027717
1886,10.1016/j.bmc.2004.10.007
1887,10.1117/12.590709
1888,10.1117/12.590343
1889,10.1117/12.590330
1890,10.1562/2004-06-25-ra-216.1
1891,10.1016/j.pdpdt.2006.08.002
1892,10.1118/1.2107047
1893,10.1562/2005-10-04-ra-711
1895,10.1016/j.jphotobiol.2004.09.013
1896,10.1117/12.529827
1897,10.1117/12.528968
1898,10.1088/0031-9155/50/10/008
1899,10.1016/s0040-4039(03)00101-1
1900,10.1021/ja037988s
1901,10.1021/ja057244+
1902,10.1081/car-200066992
1903,10.1002/anie.200390131
1904,10.1038/sj.onc.1209058
1908,10.1038/sj.onc.1207304
1911,10.1158/0008-5472.can-07-2222
1913,10.1093/carcin/bgm218
1914,10.1007/978-0-8176-8206-4_25
1915,10.1198/01622145030000001007
1916,10.1023/b:lida.0000030198.06968.98
1917,10.1002/sim.2257
1918,10.1111/1467-9868.00414
1919,10.1002/cncr.20516
1920,10.1089/1043034041361271
1922,10.1016/j.ymthe.2004.06.118
1923,10.1016/j.ymthe.2003.08.016
1926,10.1158/1078-0432.ccr-04-1990
1929,10.1007/s11248-004-2836-1
1930,10.1158/1535-7163.mct-05-0197
1931,10.1016/j.surg.2004.12.014
1932,10.1158/0008-5472.can-05-1871
1933,10.1158/0008-5472.can-04-0064
1934,10.1517/14712598.4.8.1241
1935,10.1016/j.mibio.2004.09.002
1937,10.1007/s00535-004-1490-y
1938,10.1016/s0016-5085(03)01196-x
1939,10.1093/jnci/djj022
1940,10.1385/1-59259-429-8:61
1941,10.1186/1755-8166-2-18
1942,10.1097/01.ju.0000099826.63103.94
1943,10.1007/978-1-59745-293-9_44
1944,10.1158/0008-5472.can-07-0444
1945,10.1002/pros.20166
1946,10.1118/1.2161408
1947,10.1088/0031-9155/50/24/008
1948,10.1016/j.ymthe.2005.05.012
1949,10.1677/jme.1.01722
1950,10.1038/sj.cgt.7700790
1953,10.1158/1078-0432.ccr-03-0278
1954,10.1016/j.canlet.2004.01.018
1955,10.1002/ijc.24592
1956,10.1023/b:pham.0000019302.26097.cc
1957,10.1016/j.nano.2007.11.005
1958,10.1016/j.nano.2007.09.001
1959,10.1021/bc070008z
1960,10.1177/153303460500400604
1961,10.1118/1.1924312
1963,10.1118/1.2126167
1964,10.1118/1.1785451
1965,10.1088/0031-9155/49/22/006
1967,10.1118/1.1561622
1968,10.1038/sj.onc.1209991
1969,10.1002/ijc.22802
1970,10.4161/cbt.5.11.3461
1971,10.1093/carcin/bgl075
1972,10.3892/ijo.28.5.1287
1973,10.3892/or.16.6.1363
1974,10.1002/pros.20472
1976,10.1002/mc.20258
1979,10.3892/ijo_00000702
1980,10.1093/carcin/bgh136
1981,10.1038/sj.bjc.6603009
1982,10.1016/j.canlet.2004.06.001
1983,10.1002/jms.645
1984,10.1016/j.chroma.2006.02.066
1985,10.1007/s10552-006-0077-8
1988,10.1073/pnas.0510570103
1989,10.4161/cc.5.14.3005
1990,10.1016/j.devcel.2005.02.010
1991,10.1158/0008-5472.can-04-1498
1992,10.1158/0008-5472.can-07-1310
1994,10.1158/0008-5472.can-06-1672
1995,10.1371/journal.pcbi.0030012
1996,10.1038/modpathol.3800769
1998,10.1593/neo.07112
1999,10.1016/s1476-5586(04)80047-2
2000,10.1016/j.urology.2003.10.007
2001,10.2174/156652407779940431
2002,10.1038/sj.onc.1210630
2003,10.1593/neo.121192
2004,10.1002/bimj.200610312
2005,10.1002/ijc.22140
2006,10.1002/14651858.cd006650.pub2
2007,10.1007/s10552-007-9036-2
2008,10.1002/ijc.22714
2010,10.1016/j.urology.2007.09.065
2012,10.1016/j.bbcan.2006.03.001
2013,10.1007/s10549-006-9196-x
2014,10.1007/s10552-005-0481-5
2015,10.1002/14651858.cd006649.pub2
2016,10.1111/j.1365-2036.2007.03495.x
2017,10.1158/1055-9965.epi-07-0193
2018,10.1093/jnci/djn171
2019,10.1158/1055-9965.epi-07-2755
2020,10.1093/jnci/djk079
2021,10.1002/ijc.22236
2022,10.1177/172460080602100408
2023,10.1207/s15327914nc5602_17
2024,10.1158/1055-9965.epi-06-0633
2025,10.1093/ajcn/86.2.465
2026,10.1373/clinchem.2006.074559
2027,10.1002/ijc.23329
2028,10.1053/j.seminhematol.2008.04.005
2029,10.1001/archinte.168.12.1261
2030,10.1002/cncr.23814
2031,10.1002/jcb.20721
2032,10.1074/jbc.m503522200
2033,10.1158/0008-5472.can-03-2568
2034,10.1158/0008-5472.can-05-3514
2035,10.1158/1078-0432.ccr-04-1919
2037,10.1016/j.bios.2006.01.015
2038,10.1158/0008-5472.can-03-1786
2039,10.1038/sj.gt.3302853
2040,10.1517/14712598.4.1.53
2041,10.1385/1-59259-650-9:237
2042,10.3892/ijo.25.2.335
2043,10.1038/sj.cgt.7700754
2044,10.1016/j.urology.2006.08.1064
2045,10.1158/0008-5472.can-09-0400
2046,10.1038/sj.onc.1207603
2047,10.1158/0008-5472.can-05-1716
2048,10.1002/ijc.22351
2049,10.1002/jcb.20929
2051,10.1121/1.1923367
2052,10.3816/cgc.2005.n.036
2054,10.1016/j.vaccine.2005.07.074
2056,10.1016/s0921-4410(04)22011-7
2058,10.1016/j.imlet.2004.06.009
2061,10.1158/1535-7163.mct-05-0302
2062,10.1089/104454903770946665
2063,10.1158/0008-5472.can-03-4041
2064,10.2174/1381612054546761
2065,10.1097/00001813-200507000-00002
2066,10.1373/clinchem.2009.108498
2067,10.1016/j.bbrc.2006.09.002
2068,10.1016/j.ijrobp.2005.04.033
2069,10.1016/j.ijrobp.2007.03.047
2070,10.1158/1541-7786.mcr-08-0102
2071,10.1016/s0360-3016(03)01432-9
2072,10.1200/jco.2004.09.150
2073,10.1158/1078-0432.ccr-1052-03
2074,10.1016/j.ijrobp.2003.09.029
2075,10.1002/cncr.21261
2076,10.1002/pros.20731
2077,10.1091/mbc.e04-10-0906
2078,10.1038/sj.onc.1208385
2080,10.1074/jbc.m501391200
2082,10.1002/ijc.23222
2085,10.1158/0008-5472.can-05-0592
2087,10.1074/jbc.m301920200
2088,10.1038/sj.onc.1207913
2089,10.1038/sj.onc.1208406
2090,10.1038/sj.onc.1209327
2092,10.1002/mc.20255
2094,10.2174/1381612053507567
2095,10.1158/1535-7163.mct-06-0727
2096,10.1016/j.canlet.2005.01.018
2098,10.1158/1535-7163.mct-05-0467
2099,10.1002/pros.20478
2100,10.1016/j.toxicon.2004.03.017
2101,10.1002/pon.769
2102,10.1200/jco.2004.99.221
2103,10.1158/1541-7786.mcr-07-0117
2104,10.1158/0008-5472.can-08-0054
2105,10.1158/1078-0432.ccr-06-1807
2106,10.1016/j.tox.2004.11.022
2107,10.1097/01.ju.0000081126.71235.e0
2108,10.1097/00008390-200402000-00003
2109,10.1158/1078-0432.ccr-04-2551
2110,10.1158/0008-5472.can-05-3441
2111,10.1016/j.yexcr.2004.02.008
2112,10.1074/jbc.m312369200
2113,10.1074/jbc.m312797200
2114,10.1074/jbc.m306618200
2115,10.1074/jbc.m400264200
2116,10.1074/jbc.m607337200
2117,10.1038/nm1266
2118,10.1016/j.ccr.2005.02.011
2119,10.1002/pmic.200300747
2120,10.1016/j.tetlet.2004.08.179
2121,10.1074/jbc.m409074200
2122,10.1074/jbc.m405117200
2123,10.1016/j.yexcr.2003.09.023
2124,10.1046/j.0022-202x.2003.22114.x
2125,10.1002/j.1939-4640.2004.tb02788.x
2126,10.1074/jbc.m308708200
2127,10.1074/jbc.m407847200
2128,10.1021/jm070040e
2129,10.1016/j.molcel.2004.10.024
2130,10.4161/cbt.2.6.671
2131,10.1186/1471-2105-6-306
2132,10.1593/neo.05289
2133,10.1002/3527602380
2134,10.1182/blood-2003-04-1340
2135,10.1158/1541-7786.mcr-08-0243
2137,10.1016/j.ab.2006.09.017
2138,10.1186/1477-3163-6-3
2139,10.1093/carcin/bgm144
2140,10.1074/jbc.m708630200
2142,10.2353/ajpath.2010.080747
2143,10.1038/nmeth1106
2144,10.1002/pros.20579
2145,10.1128/mcb.26.8.3008-3017.2006
2146,10.1074/jbc.m608065200
2147,10.1002/jcb.21098
2149,10.1038/sj.onc.1208213
2151,10.1007/s11010-005-5261-8
2152,10.1002/jcb.20512
2154,10.1002/jcb.20844
2156,10.2174/1566523034578230
2158,10.2174/156652305774964695
2159,10.2217/14796694.2.3.391
2160,10.2310/7290.2005.05154
2162,10.1089/hum.2006.17.1262
2163,10.1038/sj.emboj.7601400
2164,10.1158/0008-5472.can-03-3280
2166,10.1002/ijc.11249
2168,10.1002/pros.10306
2169,10.1158/0008-5472.can-03-2340
2171,10.1073/pnas.0308336100
2174,10.1093/jnci/djh228
2176,10.1002/pros.20075
2178,10.1093/jnci/djh227
2179,10.1038/sj.bjc.6601417
2181,10.1002/pros.20198
2182,10.1016/j.canlet.2004.10.005
2183,10.1016/j.molmed.2003.08.005
2184,10.1002/pros.20265
2185,10.1038/gt.2008.19
2186,10.1002/ijc.22900
2188,10.1158/0008-5472.can-04-2345
2189,10.1038/nm.1727
2191,10.1016/j.nucmedbio.2005.12.011
2192,10.1158/1535-7163.mct-05-0464
2194,10.1016/j.chembiol.2005.05.009
2195,10.1158/0008-5472.can-04-4658
2196,10.1056/nejmoa051931
2198,10.1093/jnci/djh145
2202,10.1002/pmic.200300443
2203,10.1016/j.urology.2004.09.020
2205,10.1007/s10103-004-0316-8
2206,10.1002/lsm.10249
2207,10.1002/lsm.10205
2208,10.1117/12.526952
2209,10.1117/12.586357
2210,10.1117/12.659598
2211,10.1089/end.2006.20.475
2212,10.1117/12.526923
2213,10.1117/12.586355
2214,10.1002/cncr.20905
2215,10.1016/j.canlet.2005.08.028
2217,10.1002/jmri.20786
2219,10.1002/jmri.20968
2220,10.1073/pnas.0511250103
2221,10.2310/7290.2007.00006
2222,10.1118/1.1799311
2224,10.1016/j.ijrobp.2005.06.008
2225,10.1016/j.ijrobp.2005.02.001
2226,10.1118/1.1806292
2228,10.1118/1.1872552
2230,10.3934/mbe.2006.3.389
2232,10.1016/j.ijrobp.2006.05.045
2233,10.1016/j.meddos.2005.12.004
2235,10.1118/1.2207367
2236,10.1016/j.ijrobp.2005.11.018
2237,10.1118/1.2184440
2238,10.1118/1.1797571
2239,10.1002/mrm.20452
2240,10.1002/ijc.22344
2241,10.1038/sj.bjc.6602936
2242,10.1093/hmg/ddi398
2243,10.1210/jc.2007-0887
2244,10.1158/1055-9965.epi-06-0320
2245,10.1073/pnas.0409875102
2246,10.1073/pnas.0407693101
2247,10.1158/0008-5472.can-05-1948
2248,10.1038/sj.onc.1207284
2249,10.1016/s1074-7613(03)00177-8
2250,10.1189/jlb.1104669
2251,10.1158/0008-5472.can-05-0229
2252,10.1074/jbc.m403323200
2253,10.1074/jbc.m406002200
2254,10.1016/j.mvr.2004.10.001
2256,10.1101/gad.1238104
2257,10.1096/fj.04-2415fje
2259,10.1021/jm0600390
2260,10.1038/nbt1035
2262,10.1172/jci26169
2263,10.1038/sj.onc.1208276
2264,10.1016/j.mrfmmm.2004.05.017
2265,10.1002/pros.20271
2266,10.1038/sj.pcan.4500840
2267,10.1038/ng1808
2268,10.1038/nmeth855
2270,10.1016/j.urolonc.2006.08.002
2271,10.1016/j.humpath.2007.03.011
2272,10.1142/9789812770431_0004
2273,10.1016/j.bbrc.2006.08.191
2274,10.1186/1471-2407-6-154
2275,10.1002/path.1948
2276,10.1002/path.1872
2277,10.1016/j.humpath.2005.09.021
2278,10.1016/j.humpath.2005.02.016
2279,10.1159/000074345
2281,10.1002/gene.20147
2282,10.1002/ijc.22926
2283,10.1158/1078-0432.ccr-06-0054
2285,10.1002/ijc.22809
2286,10.1053/j.gastro.2004.01.005
2287,10.1002/hep.20460
2289,10.1158/0008-5472.can-04-4249
2292,10.1158/0008-5472.can-05-0217
2293,10.1093/carcin/bgi219
2294,10.1016/j.bbaexp.2006.01.002
2295,10.1038/sj.onc.1209611
2296,10.1093/nar/gkm198
2297,10.1210/me.2004-0208
2298,10.1621/nrs.04017
2299,10.1074/jbc.m508365200
2300,10.1016/j.canlet.2005.06.004
2301,10.1074/jbc.m500463200
2302,10.1158/0008-5472.can-05-1040
2303,10.1142/9781860948046_0035
2304,10.1207/s15327914nc4801_12
2305,10.1093/jn/133.4.1011
2307,10.1074/jbc.m701978200
2309,10.2165/01197065-200301010-00007
2310,10.2741/1523
2311,10.1158/0008-5472.can-05-4526
2312,10.1158/0008-5472.can-06-2011
2313,10.1158/0008-5472.can-06-4277
2314,10.1002/ijc.11134
2316,10.1016/s1098-8823(03)00042-x
2317,10.1023/a:1027302408187
2318,10.1016/s0022-5347(06)00566-0
2319,10.1016/j.juro.2006.09.050
2320,10.1200/jco.2007.15.0367
2321,10.1002/cncr.22932
2322,10.1016/j.urolonc.2006.11.007
2323,10.1016/j.cell.2005.07.027
2325,10.1016/j.cell.2006.08.034
2326,10.1016/j.mvr.2005.07.003
2327,10.1167/iovs.05-0309
2328,10.1002/pros.20346
2329,10.1007/s10456-004-4182-6
2330,10.1023/b:agen.0000021401.58039.a9
2331,10.1002/mrm.20826
2332,10.1021/ja0655643
2333,10.1074/jbc.m210283200
2334,10.1211/jpp.60.11.0004
2335,10.1016/j.mce.2005.12.056
2336,10.1016/j.mce.2006.06.017
2337,10.1002/pros.20186
2338,10.1016/j.molcel.2004.06.030
2339,10.1002/pros.20537
2340,10.1158/0008-5472.can-05-3987
2341,10.1158/1055-9965.epi-04-0679
2342,10.1002/pmic.200401165
2343,10.1016/j.cell.2006.03.027
2344,10.1210/me.2005-0298
2345,10.1210/me.2005-0324
2346,10.1038/sj.onc.1206227
2347,10.1016/j.pbiomolbio.2004.01.007
2348,10.1159/000078004
2350,10.1634/theoncologist.11-10-1121
2352,10.1053/hupa.2001.21134
2353,10.1016/s0002-9440(10)63930-2
2354,10.1097/00125480-200007060-00005
2355,10.1002/pros.20137
2356,10.1097/00129039-200509000-00007
2358,10.1158/1055-9965.epi-04-0801
2359,10.1073/pnas.0404956101
2360,10.1080/03008880510030914
2361,10.1073/pnas.0603678103
2363,10.1016/s0022-5347(05)00734-2
2364,10.1593/neo.06421
2365,10.1097/01.ju.0000142448.58831.d9
2366,10.1097/00000478-200407000-00016
2367,10.1371/journal.pone.0005275
2369,10.1615/critreveukargeneexpr.v19.i1.20
2371,10.1016/j.ctrv.2008.03.006
2373,10.1017/s1462399408000616
2374,10.1007/978-1-59745-104-8_3
2377,10.1158/0008-5472.can-03-3881
2378,10.1038/modpathol.3800051
2379,10.1016/s0002-9440(10)63171-9
2380,10.1016/s0002-9440(10)63167-7
2381,10.1158/0008-5472.can-03-2755
2384,10.1016/j.gene.2004.01.014
2385,10.1038/nm972
2388,10.1210/en.2003-0772
2389,10.1158/0008-5472.can-03-3331
2391,10.1186/1471-2164-5-58
2392,10.1158/1078-0432.ccr-04-0240
2394,10.1016/j.ccr.2004.10.018
2395,10.1186/1471-2164-5-27
2396,10.1097/00129039-200309000-00011
2397,10.1002/ijc.20773
2398,10.1002/pros.20055
2399,10.1126/science.1098918
2400,10.1093/hmg/ddh155
2401,10.1186/1471-2407-5-108
2403,10.1158/0008-5472.can-05-1481
2404,10.1111/j.1365-2559.2004.01930.x
2406,10.1097/00129039-200503000-00016
2407,10.1158/0008-5472.can-05-3055
2408,10.1007/s00018-005-5389-4
2409,10.1038/sj.onc.1208497
2410,10.1016/j.canlet.2005.12.027
2412,10.1007/s11934-006-0039-4
2413,10.1002/mc.20139
2414,10.1097/01.ju.0000142067.17181.68
2415,10.1158/0008-5472.can-03-0946
2416,10.1002/jcb.10787
2417,10.1593/neo.05754
2418,10.1593/neo.05664
2419,10.1158/0008-5472.can-05-4000
2420,10.1186/1471-2105-6-304
2421,10.1016/j.ccr.2005.10.001
2422,10.1158/1078-0432.ccr-05-0533
2424,10.1038/ng1528
2425,10.1016/j.urolonc.2005.11.004
2426,10.1080/03008880510030932
2427,10.1097/01.pap.0000202017.78917.18
2428,10.1002/pros.20506
2429,10.2353/ajpath.2007.060720
2430,10.1016/j.urology.2007.01.093
2431,10.1016/s0046-8177(03)00123-0
2432,10.1002/pros.10309
2433,10.1002/pros.20086
2434,10.1097/01.pas.0000126759.43227.d9
2435,10.1038/nbt994
2436,10.1002/cncr.20056
2437,10.1016/j.urology.2005.04.041
2438,10.1002/mrm.10719
2439,10.1142/9789812569202_0009
2441,10.1097/01.blo.0000093847.72468.2f
2442,10.1097/01.blo.0000093047.96273.4e
2443,10.1097/01.blo.0000093055.96273.69
2444,10.1016/s0093-7754(03)00347-6
2445,10.1073/pnas.1830978100
2446,10.1007/978-1-4419-9129-4_9
2448,10.1158/0008-5472.can-05-1403
2451,10.1016/j.urolonc.2005.11.031
2452,10.1158/0008-5472.can-05-1130
2454,10.1074/jbc.m402540200
2455,10.1158/0008-5472.can-04-3672
2457,10.1073/pnas.0408894102
2458,10.1038/sj.onc.1207906
2459,10.1186/gb-2006-7-3-r26
2460,10.1002/pros.20382
2461,10.1097/01.pas.0000173646.99337.b1
2462,10.1158/1078-0432.ccr-06-0005
2464,10.1016/j.canlet.2006.02.019
2466,10.1210/me.2006-0346
2469,10.1158/1078-0432.ccr-06-1007
2473,10.1158/1078-0432.ccr-06-1213
2476,10.1158/1078-0432.ccr-06-0813
2477,10.1242/jcs.03195
2478,10.1097/01.mco.0000232896.66791.62
2480,10.1001/jama.295.23.2720-b
2481,10.1016/j.steroids.2006.11.012
2483,10.1158/0008-5472.can-07-0288
2484,10.1080/03008880510030923
2485,10.1097/00000478-200212000-00006
2486,10.1002/pros.10205
2487,10.1074/jbc.m506183200
2488,10.1097/01.lab.0000063929.61760.f6
2489,10.1002/jcb.20696
2490,10.1200/jco.2005.05.1458
2491,10.1002/pros.1111
2493,10.1016/s0378-1119(01)00736-3
2495,10.1002/pros.20405
2496,10.1158/1078-0432.ccr-05-1652
2497,10.1177/172460080502000301
2498,10.1097/01.bor.0000231909.35043.da
2500,10.1038/ncpendmet0171
2501,10.1002/pros.20422
2502,10.1158/1078-0432.ccr-06-0443
2504,10.1158/0008-5472.can-06-1726
2505,10.1038/sj.cgt.7700665
2506,10.1002/pros.20449
2507,10.1002/pros.22722
2508,10.1002/cncr.24539
2509,10.1080/01635581.2013.789540
2510,10.1002/pros.21019
2511,10.1007/0-387-23761-5_56
2512,10.1002/0470869976.ch14
2513,10.1016/j.yexcr.2005.12.011
2515,10.1016/j.bbapap.2006.03.013
2516,10.1016/j.molcel.2006.11.008
2517,10.1016/j.molcel.2007.01.002
2518,10.1016/j.cell.2004.11.027
2519,10.1107/s1744309107038328
2520,10.1074/jbc.m409271200
2522,10.1038/ncb1218
2523,10.1021/jf0496752
2524,10.1301/nr.2004.janr.16-21
2525,10.1021/jf0506481
2526,10.1021/jf062405u
2527,10.1002/lsm.20341
2528,10.1158/1078-0432.ccr-04-2582
2529,10.1562/2005-10-19-ra-721
2530,10.1158/0008-5472.can-04-3169
2531,10.1002/pros.20340
2532,10.1016/j.jada.2004.12.021
2533,10.1186/1471-2407-6-13
2534,10.1385/mb:27:3:217
2535,10.1196/annals.1331.022
2536,10.1038/sj.onc.1210098
2537,10.1016/j.cancergencyto.2005.02.006
2538,10.1186/1471-2407-9-318
2539,10.1016/j.prostaglandins.2006.05.015
2540,10.1002/pros.20371
2542,10.1371/journal.pmed.0040103
2543,10.1158/1055-9965.epi-05-0586
2544,10.1373/clinchem.2009.133272
2545,10.1002/pros.20161
2546,10.1177/1049732308325857
2547,10.1016/j.urology.2005.11.004
2548,10.2174/156800907780618338
2549,10.1016/j.ygyno.2007.02.004
2550,10.1002/pros.20502
2551,10.1016/j.humpath.2006.05.002
2552,10.1021/ja051420x
2553,10.1021/ja057059w
2554,10.1089/hum.2005.16.187
2556,10.1111/j.1365-2567.2006.02492.x
2557,10.1016/j.ctrv.2003.08.002
2558,10.1158/0008-5472.can-04-3701
2559,10.1158/1541-7786.mcr-07-0159
2560,10.1002/pros.20329
2562,10.1002/cncr.22345
2564,10.1158/1535-7163.mct-05-0124
2566,10.1038/sj.gt.3302420
2567,10.1158/0008-5472.can-04-3679
2569,10.1016/s0083-6729(05)71010-4
2571,10.1515/bc.2005.009
2574,10.1677/jme.1.01701
2576,10.1002/jcb.20228
2577,10.1016/j.canlet.2004.12.037
2579,10.1128/mcb.00581-06
2581,10.1016/j.urology.2005.10.055
2582,10.1593/neo.04157
2583,10.1073/pnas.0606718104
2584,10.1002/pros.20508
2585,10.1002/ijc.21614
2586,10.1002/pros.20225
2587,10.1038/labinvest.3700335
2588,10.1016/j.ygeno.2004.11.011
2589,10.1158/0008-5472.can-05-1731
2590,10.1002/pros.20299
2591,10.1242/dev.01917
2592,10.1002/pros.20131
2593,10.1016/j.ccr.2004.07.008
2594,10.2353/ajpath.2006.060324
2595,10.1016/j.ab.2006.11.021
2596,10.2353/ajpath.2006.060032
2597,10.1517/17425247.2.3.477
2598,10.1016/j.ijrobp.2004.08.006
2599,10.1002/pros.20812
2600,10.1158/0008-5472.can-04-3319
2601,10.1074/jbc.m505772200
2602,10.1158/1078-0432.ccr-03-0236
2603,10.1073/pnas.0908458106
2604,10.1073/pnas.0908133107
2605,10.1093/jnci/djm263
2606,10.1074/jbc.m501379200
2607,10.1089/dna.2006.25.232
2608,10.4049/jimmunol.173.4.2462
2609,10.1016/j.ijrobp.2004.01.030
2610,10.1667/rr3196
2611,10.1007/978-1-59259-794-9_9
2612,10.1038/sj.cgt.7700977
2613,10.1158/1055-9965.epi-08-1167
2614,10.1091/mbc.e04-05-0427
2615,10.1016/j.mvr.2006.03.004
2617,10.3892/ijo.30.4.899
2619,10.1120/jacmp.2022.25308
2620,10.1016/j.semcancer.2004.08.001
2621,10.1146/annurev.pharmtox.45.120403.095853
2622,10.2967/jnumed.107.042762
2623,10.2967/jnumed.107.046391
2624,10.1007/s00259-004-1713-8
2625,10.1007/s11307-006-0039-2
2627,10.1007/s00259-008-0738-9
2628,10.1016/j.mibio.2004.09.001
2629,10.1162/1535350041464874
2630,10.1016/j.virol.2005.04.005
2631,10.1038/sj.gt.3302674
2632,10.3892/ijmm.18.4.751
2633,10.1593/tlo.08214
2634,10.1210/en.2008-1395
2635,10.1158/0008-5472.can-06-0638
2636,10.1002/humu.9457
2637,10.1118/1.2065487
2638,10.1117/12.531921
2639,10.1118/1.1803771
2640,10.1038/sj.onc.1208008
2641,10.1158/0008-5472.can-06-0379
2642,10.1385/1-59259-939-7:103
2643,10.1016/j.snb.2004.12.047
2644,10.1109/jsen.2006.874491
2645,10.1016/j.juro.2006.07.054
2646,10.1097/01.ju.0000148949.72314.d7
2647,10.1128/mcb.24.22.9705-9725.2004
2648,10.1002/cmdc.200800447
2649,10.1042/cs20040329
2650,10.1210/me.2005-0351
2651,10.1158/0008-5472.can-06-0596
2652,10.1002/pros.20447
2653,10.1146/annurev.physiol.69.031905.160319
2654,10.1210/en.2005-0607
2655,10.1088/0031-9155/52/12/019
2656,10.1109/icip.2006.312979
2657,10.1109/tip.2008.925375
2658,10.1128/mcb.24.20.8970-8980.2004
2659,10.1021/ar8000553
2660,10.1016/j.bmcl.2006.08.072
2661,10.1021/ja074725f
2662,10.1016/j.ab.2007.10.032
2663,10.1038/modpathol.3800764
2664,10.3748/wjg.v13.i11.1659
2665,10.1002/ijc.21295
2666,10.1093/carcin/bgi378
2667,10.1074/jbc.c500300200
2668,10.1111/j.1745-7270.2008.00431.x
2669,10.1093/carcin/bgi130
2670,10.1186/1476-4598-3-29
2671,10.1016/j.canlet.2005.11.036
2672,10.1016/s0027-9684(15)31350-x
2675,10.1667/rr3192
2676,10.1016/j.bmcl.2005.01.006
2677,10.1667/rr3345
2678,10.1002/cbdv.200590118
2679,10.1002/pros.20522
2681,10.1038/nature05656
2682,10.1038/nature08782
2683,10.1074/jbc.m508421200
2684,10.1387/ijdb.041810rf
2685,10.1002/ijc.20722
2686,10.1016/j.ydbio.2004.11.012
2687,10.1091/mbc.e05-09-0849
2688,10.1158/0008-5472.can-04-3151
2690,10.1016/j.bmcl.2012.03.033
2691,10.1021/ml300298v
2692,10.1158/1535-7163.mct-07-2029
2693,10.2174/157488707781662724
2694,10.1158/1535-7163.mct-08-0005
2695,10.1158/1535-7163.mct-06-0253
2696,10.1158/0008-5472.can-06-0410
