"Proposal Title","Principal Investigator","Proposal Number","Award Number","Institution","Program","Mechanism","Research Topic","Fiscal Year","Award Amount"
"The Role of Hoxb13 and Nkx3.1 in Prostate Development and Carcinogenesis","KAN, SHIH-HSIN ","PC040429","W81XWH-04-1-0915","Institution: NEW JERSEY, UNIVERSITY OF MEDICINE AND DENTISTRY OF, ROBERT WOOD JOHNSON MEDICAL SCHOOL","PCRP","Postdoctoral Traineeship Award","Primary: Transcription, Translation and ModificationSecondary: Cellular Development","2004","$125,000.00"
"Delineating the Effects of Tumor Therapies on Prostate Cancer Using Small Animal Imaging Technologies","LEWIS, JASON S","PC040435","W81XWH-04-1-0906","Institution: WASHINGTON UNIVERSITY","PCRP","New Investigator Award","Primary: Nulcear Medicine Imaging","2004","$342,654.39"
"Mechanism of Action of Ac-PSCN-NH3, a Novel Compound that Inhibits Prostate Cancer Recurrence and Metastasis","VAN GOLEN, KENNETH L","PC040436","W81XWH-05-1-0005","Institution: DELAWARE, UNIVERSITY OF","PCRP","Idea Development Award","Primary: Signal TransductionSecondary: Genomics and Proteomics","2004","$558,731.50"
"Development of Candidate DNA Methylation Biomarkers in Recurrent Prostate Carcinoma","SMIRAGLIA, DOMINIC J","PC040440","W81XWH-04-1-0925","Institution: ROSWELL PARK CANCER INSTITUTE, BUFFALO","PCRP","New Investigator Award","Primary: Clinical Biomarkers","2004","$400,709.03"
"Molecular Mechanism of Nkx3.1 Deregulation and Its Function in Murine Pten Prostate Cancer Model","JIAO, JING ","PC040452","W81XWH-04-1-0824","Institution: CALIFORNIA, UNIVERSITY OF, LOS ANGELES","PCRP","Postdoctoral Traineeship Award","Primary: Tumor Suppresor Genes","2004","$125,000.00"
"The Double-edged Sword of Prostate Cancer: 14-3-3(sigma)","ZHANG, JIAN-TING ","PC040455","W81XWH-05-1-0102","Institution: INDIANA UNIVERSITY, INDIANAPOLIS","PCRP","Idea Development Award","Primary: Tumor Suppresor Genes","2004","$564,310.59"
"Role of Mitochondria in Prostate Cancer","CHOWDHURY, SUBIR K","PC040458","W81XWH-05-1-0090","Performing Institution: MCMASTER UNIVERSITYContracting Institution: HAMILTON REGIONAL CANCER CENTRE","PCRP","Postdoctoral Traineeship Award","Primary: Metabolism","2004","$106,469.00"
"A Myc-Driven in Vivo Model of Human Prostate Cancer","HAYWARD, SIMON W","PC040460","W81XWH-04-1-0867","Performing Institution: VANDERBILT UNIVERSITY MEDICAL CENTERContracting Institution: VANDERBILT UNIVERSITY","PCRP","Idea Development Award","Primary: Genomics and ProteomicsSecondary: Drug Development","2004","$566,250.00"
"A Novel Vitamin D Target in Human Prostate Cancer","BEER, TOMASZ M","PC040477","W81XWH-04-1-0832","Institution: OREGON HEALTH AND SCIENCE UNIVERSITY","PCRP","Exploration - Hypothesis Development Award","Primary: Functional Study of Biological Molecules","2004","$113,163.00"
"MT 2A Phosphorylation by PKC Mu/PKD Influences Chemosensitivity to Cisplatin in Prostate Cancer","BALAJI, KETHANDAPATTI C","PC040484","W81XWH-05-1-0045","Institution: MASSACHUSETTS, UNIVERSITY OF, MEDICAL CENTER","PCRP","New Investigator Award","Primary: Drug Resistance/Multi-Drug Resistance","2004","$276,597.67"
"Vitamin D Receptor (VDR) Agonists: Inhibition of Prostate Tumor Growth, Angiogenesis, and Metastasis","YEPURU, MURALI M","PC040485","W81XWH-04-1-0882","Institution: BAYLOR COLLEGE OF MEDICINE","PCRP","Postdoctoral Traineeship Award","Primary: Anti-angiogenicsSecondary: Pharmacology","2004","$125,000.00"
"Fibroblast Growth Factor Receptor-4 and Prostate Cancer Progression","ITTMANN, MICHAEL M","PC040486","W81XWH-04-1-0843","Institution: BAYLOR COLLEGE OF MEDICINE","PCRP","Idea Development Award","Primary: Growth Factors/CytokinesSecondary: Animal Models","2004","$563,873.00"
"Novel Combinational Therapy Against Prostate Cancer","MIMEAULT, MURIELLE ","PC040493","W81XWH-04-1-0899","Performing Institution: NEBRASKA, UNIVERSITY OF, MEDICAL CENTERContracting Institution: NEBRASKA, UNIVERSITY OF","PCRP","Postdoctoral Traineeship Award","Primary: ChemotherapySecondary: Pharmacology","2004","$125,000.00"
"A Novel Mechanism of Androgen Receptor Action","ROBERTS, CHARLES T","PC040498","W81XWH-05-1-0152","Institution: OREGON HEALTH AND SCIENCE UNIVERSITY","PCRP","Idea Development Award","Primary: Mechanism of Hormone ActionSecondary: Transcription, Translation and Modification","2004","$550,721.00"
"Regulation of AR and (beta)-Catenin Signaling by Pin1 in Prostate Cancer","CHEN, SHAOYONG ","PC040499","W81XWH-04-1-0861","Institution: BETH ISRAEL DEACONESS MEDICAL CENTER, BOSTON","PCRP","Postdoctoral Traineeship Award","Primary: Mechanism of Hormone Action","2004","$125,000.00"
"Novel Molecularly Targeted Agents for Prostate Cancer Treatment","CHEN, CHING-SHIH ","PC040500","W81XWH-05-1-0089","Institution: OHIO STATE UNIVERSITY, THE","PCRP","Idea Development Award","Primary: PharmacologySecondary: Drug Development","2004","$560,625.00"
"Molecular Studies on MIC1/PDF in Human Prostate Cancer","BATRA, SURINDER K","PC040502","W81XWH-04-1-0828","Institution: NEBRASKA, UNIVERSITY OF","PCRP","Idea Development Award","Primary: Functional Study of Biological Molecules","2004","$551,251.00"
"Cyclooxygenase-targeted Prostate Cancer Prevention","GARZOTTO, MARK ","PC040506","W81XWH-05-1-0125","Institution: OREGON HEALTH AND SCIENCE UNIVERSITY","PCRP","New Investigator Award","Primary: Chemoprevention","2004","$282,510.00"
"Tissue Microarray Assessment of Novel Prostate Cancer Biomarkers AMACR and EZH2 and Immunologic Response to Them in African-American and Caucasian Men","MEHRA, ROHIT ","PC040517","W81XWH-05-1-0173","Institution: MICHIGAN, UNIVERSITY OF","PCRP","Health Disparity Training-Prostate Scholar Award","Primary: Clinical BiomarkersSecondary: Gene and/or Environmental Epidemiology","2004","$184,268.00"
"Strategies for Preventing Hormone-Resistance in Prostate Cancer","ROSENFELD, MICHAEL G","PC040520","W81XWH-05-1-0122","Institution: CALIFORNIA, UNIVERSITY OF, SAN DIEGO","PCRP","Idea Development Award","Primary: Hormone ReceptorsSecondary: Hormonal Therapy","2004","$569,752.16"
"Targeted Eradication of Prostate Cancer Mediated by Engineered Mesenchymal Stem Cell","CUI, YAN A","PC040535","W81XWH-04-1-0869","Institution: LOUISIANA STATE UNIVERSITY HEALTH SCIENCES CENTER","PCRP","Exploration - Hypothesis Development Award","Primary: Gene Therapy (Includes Vector Development)Secondary: Chemotherapy","2004","$106,493.00"
"Preclinical Testing the Therapeutic Potential of a Potent and Novel Small-molecule Inhibitor of Bcl-2 as a Novel Therapy for Hormone-refractory Prostate Cancer","WANG, SHAOMENG ","PC040537","W81XWH-05-1-0128","Institution: MICHIGAN, UNIVERSITY OF","PCRP","Idea Development Award","Primary: Drug DevelopmentSecondary: Pharmacology","2004","$561,018.00"
"Prognostic Value of Allelic Imbalance in Prostate Biopsy","GRIFFITH, JEFFREY K","PC040545","W81XWH-04-1-0831","Performing Institution: NEW MEXICO, UNIVERSITY OF, HEALTH SCIENCES CENTERContracting Institution: REGENTS OF THE UNIVERSITY OF NEW MEXICO","PCRP","Exploration - Hypothesis Development Award","Primary: Genomic InstabilitySecondary: Clinical Biomarkers","2004","$112,422.00"
"Defining Canine Spontaneous Prostate Cancer as a Model for Human Hormone Refractory Prostate Carcinoma Using Comparative Genome Wide Gene Expression Profiling","VAN DEN HAM, RENE ","PC040550","W81XWH-05-1-0180","Institution: UTRECHT UNIVERSITY, NETHERLANDS","PCRP","Exploration - Resource Development Award","Primary: Genomics and ProteomicsSecondary: Animal Models","2004","$90,000.00"
"Is Prostate Cancer Dependent on Notch Signaling?","OSHIMA, ROBERT G","PC040561","W81XWH-04-1-0888","Institution: SANFORD BURNHAM PREBYS MEDICAL DISCOVERY INSTITUTE, LA JOLLA","PCRP","Exploration - Hypothesis Development Award","Primary: Signal Transduction","2004","$143,250.00"
"Radioimmunotherapy (RIT) Dose-Escalation Studies in Prostate Cancer Using Anti-PSMA Antibody 177Lu-J591: RIT Alone and RIT in Combination with Docetaxel","VALLABHAJOSULA, SHANKAR ","PC040566","W81XWH-04-1-0884","Institution: JOAN AND SANFORD I WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY","PCRP","Idea Development Award","Primary: Targeted TherapiesSecondary: Immunotherapies","2004","$630,000.00"
"Molecular Profiling of Prostate Cancer to Determine Predictive Markers of Response to Radiation and Receptor Tyrosine Kinase Inhibitor Therapy","KIM, DONG W","PC040567","W81XWH-04-1-0836","Performing Institution: VANDERBILT UNIVERSITY MEDICAL CENTERContracting Institution: VANDERBILT UNIVERSITY","PCRP","Postdoctoral Traineeship Award","Primary: RadiotherapySecondary: Clinical Biomarkers","2004","$149,960.00"
"MDM2 as a Target for Prostate Cancer Prevention and Therapy","ZHANG, ZHUO ","PC040568","W81XWH-04-1-0845","Institution: ALABAMA, UNIVERSITY OF, AT BIRMINGHAM","PCRP","Postdoctoral Traineeship Award","Primary: OncogenesSecondary: Progression/ Invasion/ Metastasis","2004","$125,000.00"
"Functions of (delta)-Catenin in Prostate Cancer","LU, QUN ","PC040569","W81XWH-05-1-0028","Institution: EAST CAROLINA UNIVERSITY","PCRP","New Investigator Award","Primary: Cellular Structure","2004","$320,625.00"
"Elucidation of the Molecular Mechanism Underlying Lymph Node Metastases in Prostate Cancer","DATTA, KAUSTUBH -","PC040570","W81XWH-04-1-0901","Institution: MAYO CLINIC","PCRP","New Investigator Award","Primary: Growth Factors/CytokinesSecondary: Progression/ Invasion/ Metastasis","2004","$326,475.00"
"Validation of the Role of S100P in Growth and Survival of Hormone Refractory Prostate Cancer","MOUSSES, SPYRO ","PC040572","W81XWH-05-1-0033","Institution: TRANSLATIONAL GENOMICS RESEARCH INSTITUTE (TGEN)","PCRP","Idea Development Award","Primary: Functional Study of Biological MoleculesSecondary: Genomics and Proteomics","2004","$594,213.00"
"Functional Characterization of a Novel Prostate-Specific Gene PrLZ in Prostate Cancer","WANG, RUOXIANG ","PC040578","W81XWH-05-1-0112","Performing Institution: EMORY UNIVERSITY SCHOOL OF MEDICINEContracting Institution: EMORY UNIVERSITY","PCRP","New Investigator Award","Primary: Functional Study of Biological MoleculesSecondary: Progression/ Invasion/ Metastasis","2004","$344,250.00"
"Role of Oxidative Stress in the Development of Androgen-independence in Prostate Cancer Cells","VEERAMANI, SURESH ","PC040587","W81XWH-04-1-0908","Performing Institution: NEBRASKA, UNIVERSITY OF, MEDICAL CENTERContracting Institution: NEBRASKA, UNIVERSITY OF","PCRP","Postdoctoral Traineeship Award","Primary: Signal TransductionSecondary: Progression/ Invasion/ Metastasis","2004","$125,000.00"
"Identification of Resveratrol Targeting Proteins by Affinity Column-linked Proteomics and Studies of Their Role in Prostate Cancer Progression","ZIRONG, WANG -","PC040604","W81XWH-05-1-0038","Institution: NEW YORK MEDICAL COLLEGE","PCRP","Postdoctoral Traineeship Award","Primary: NutraceuticalsSecondary: Functional Study of Biological Molecules","2004","$0.00"
"The Role of Siah1-induced Degradation of (beta)-Catenin in Androgen Receptor Signaling","MATSUZAWA, SHU-ICHI ","PC040607","W81XWH-05-1-0007","Institution: SANFORD BURNHAM PREBYS MEDICAL DISCOVERY INSTITUTE, LA JOLLA","PCRP","New Investigator Award","Primary: Signal TransductionSecondary: Endocrine Pathogenesis","2004","$429,750.00"
"Molecular Mechanism for Prostate Cancer Resistance to the Anti-tumor Activity of Vitamin D","NONN, LARISA ","PC040616","W81XWH-05-1-0067","Institution: LELAND STANFORD JUNIOR UNIVERSITY, THE","PCRP","Postdoctoral Traineeship Award","Primary: Functional Study of Biological MoleculesSecondary: Nutrition","2004","$124,808.00"
"Novel Techniques for Exploring the Underlying Genetic Mechanisms of Prostate Cancer","VAN DYKE, TERRY A","PC040619","W81XWH-05-1-0088","Institution: NORTH CAROLINA AT CHAPEL HILL, UNIVERSITY OF","PCRP","Idea Development Award","Primary: Tumor Suppresor GenesSecondary: Stromal-Epithelial Interactions","2004","$543,361.00"
"Antibody-based Drug Carriers for Targeted Prostate Cancer Chemotherapy","GOLOLOBOV, GENNADY ","PC040621","W81XWH-05-1-0016","Institution: TEXAS, UNIVERSITY OF, HEALTH SCIENCE CENTER AT HOUSTON","PCRP","Exploration - Resource Development Award","Primary: Targeted Therapies","2004","$53,733.38"
"Identification of Possible Molecular Markers to Predict the Malignant Tendency of the Prostate Intraepithelial Neoplasia (PIN) Lesions","KE, YOUQIANG ","PC040626","W81XWH-05-1-0069","Institution: LIVERPOOL, UNIVERSITY OF","PCRP","Exploration - Hypothesis Development Award","Primary: Genomics and ProteomicsSecondary: Biomarkers","2004","$105,241.00"
"To Investigate the Therapeutic Effects of the COX-2 Inhibitor NS-398 as a Single Agent, and in Combination with Vitamin D, in Vitro and in Vivo","LEE, YI-FEN ","PC040630","W81XWH-05-1-0121","Institution: ROCHESTER, UNIVERSITY OF","PCRP","New Investigator Award","Primary: ChemotherapySecondary: Pharmacology","2004","$352,517.43"
"Pim-1: A Molecular Target to Modulate Cellular Resistance to Therapy in Prostate Cancer","LILLY, MICHAEL B","PC040635","W81XWH-04-1-0887","Institution: LOMA LINDA UNIVERSITY","PCRP","Idea Development Award","Primary: Functional Study of Biological MoleculesSecondary: Drug Resistance/Multi-Drug Resistance","2004","$600,210.00"
"High-resolution Mapping of Structural Mutations in Prostate Cancer with Single Nucleotide Polymorphism Arrays","BEROUKHIM, RAMEEN ","PC040638","W81XWH-05-1-0031","Institution: DANA-FARBER CANCER INSTITUTE","PCRP","Postdoctoral Traineeship Award","Primary: Genomics and ProteomicsSecondary: Biomarkers","2004","$149,743.00"
"Radio-sensitizing Effects of Novel Histone De-Acetylase Inhibitors in Prostate Cancer","GUPTA, SEEMA -","PC040640","W81XWH-04-1-0816","Performing Institution: GEISINGER CLINICContracting Institution: WEIS CENTER FOR RESEARCH - GEISINGER HEALTH SYSTEM","PCRP","Postdoctoral Traineeship Award","Primary: RadiotherapySecondary: Signal Transduction","2004","$123,062.44"
"Interfering with DNA Damage Signals: Radiosensitizing Prostate Cancer Using Small Peptides","XU, BO ","PC040641","W81XWH-05-1-0018","Institution: SOUTHERN RESEARCH INSTITUTE","PCRP","New Investigator Award","Primary: RadiotherapySecondary: Pharmacology","2004","$319,070.00"
"Role of PAK6 in Prostate Cancer","KAUR, RAMNEET ","PC040643","W81XWH-04-1-0865","Institution: BETH ISRAEL DEACONESS MEDICAL CENTER, BOSTON","PCRP","Postdoctoral Traineeship Award","Primary: Signal TransductionSecondary: Hormone Receptors","2004","$122,392.30"
"Origin of Prostate Cancer-Associated Stroma: Epithelial Mesenchymal Transition (EMT)","PEEHL, DONNA M","PC040655","W81XWH-04-1-0810","Institution: LELAND STANFORD JUNIOR UNIVERSITY, THE","PCRP","Exploration - Hypothesis Development Award","Primary: Stromal-Epithelial Interactions","2004","$120,000.00"
"HOXC5 as a Biomarker of Disease Presence in Tumor-Associated Normal Prostate","NORDEEN, STEVEN K","PC040672","W81XWH-04-1-0918","Performing Institution: COLORADO, UNIVERSITY OF, DENVER, ANSCHUTZ MEDICAL CAMPUSContracting Institution: COLORADO, UNIVERSITY OF, DENVER, HEALTH SCIENCES CENTER","PCRP","Exploration - Hypothesis Development Award","Primary: BiomarkersSecondary: Functional Study of Biological Molecules","2004","$115,500.00"
"The Mitochondrial HSP60 Protein as a Prosurvival Molecule in Prostate Cancer Cells During Apoptosis Induction","CHOY, GRACE ","PC040684","W81XWH-04-1-0809","Performing Institution: M.D. ANDERSON CANCER CENTER, SMITHVILLE, TXContracting Institution: M.D. ANDERSON CANCER CENTER, UNIVERSITY OF TEXAS","PCRP","Postdoctoral Traineeship Award","Primary: ApoptosisSecondary: Functional Study of Biological Molecules","2004","$124,797.45"
"The Role of Prostate-Specific Membrane Antigen (PSMA) in Prostate Cancer Initiation and Progression","BACICH, DEAN J","PC040685","W81XWH-05-1-0015","Institution: PITTSBURGH, UNIVERSITY OF","PCRP","New Investigator Award","Primary: Functional Study of Biological MoleculesSecondary: Animal Models","2004","$324,990.00"
"Identification of MicroRNAs and Their Effects on Gene Expression in Prostate Cancer","MATTIE, MICHAEL D","PC040697","W81XWH-05-1-0144","Institution: CALIFORNIA, UNIVERSITY OF, SAN FRANCISCO","PCRP","Postdoctoral Traineeship Award","Primary: Genomics and ProteomicsSecondary: Biomarkers","2004","$38,009.31"
"The Role of hCDC4 as a Tumor Suppressor Gene in Genomic Instability Underlying Prostate Cancer","VAN DROGEN, AUDREY -","PC040702","W81XWH-05-1-0063","Institution: SIDNEY KIMMEL CANCER CENTER","PCRP","Postdoctoral Traineeship Award","Primary: Functional Study of Biological MoleculesSecondary: Progression/ Invasion/ Metastasis","2004","$125,000.00"
"Molecular and Pathologic Effects of mTOR Inhibition in Patients with Metastatic Hormone-Refractory Prostate Cancer","GEORGE, DANIEL J","PC040705","W81XWH-05-1-0123","Institution: DUKE UNIVERSITY","PCRP","Idea Development Award","Primary: ChemotherapySecondary: Pharmacology","2004","$469,460.00"
"Identification of Novel Retinoid Targets in Prostate Cancer","PIEDRAFITA, F. JAVIER ","PC040706","W81XWH-05-1-0073","Institution: SIDNEY KIMMEL CANCER CENTER","PCRP","Idea Development Award","Primary: ApoptosisSecondary: Drug Development","2004","$682,295.00"
"Identification of Aggressive Prostate Cancer using SNP Analysis","RUBIN, MARK A","PC040715","W81XWH-05-1-0358","Institution: JOAN AND SANFORD I WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY","PCRP","Idea Development Award","Primary: Gene and/or Environmental EpidemiologySecondary: Clinical Biomarkers","2004","$517,203.00"
"Short-Term Exercise and  Prostate Cancer Prevention in African American Men","TAYLOR, TELETIA R.","PC040735","W81XWH-05-1-0366","Institution: HOWARD UNIVERSITY, WASHINGTON","PCRP","Health Disparity Research Award","Primary: Not Otherwise SpecifiedSecondary: Lifestyle","2004","$421,943.00"
"Potentiation of Prostate Cancer Radiotherapy Using Combined Antiangiogenic and Antitumor Therapies","FENTON, BRUCE M","PC040737","W81XWH-04-1-0827","Performing Institution: ROCHESTER, UNIVERSITY OF, MEDICAL CENTERContracting Institution: ROCHESTER, UNIVERSITY OF","PCRP","Idea Development Award","Primary: RadiotherapySecondary: Anti-angiogenics","2004","$589,228.00"
"Myosin VI Underlies Human Prostate Cancer Invasion","LUO, JUN ","PC040747","W81XWH-04-1-0873","Performing Institution: JOHNS HOPKINS HOSPITALContracting Institution: JOHNS HOPKINS UNIVERSITY","PCRP","Idea Development Award","Primary: Progression/ Invasion/ MetastasisSecondary: Cellular Structure","2004","$611,405.00"
"A Role for TACI in Prostate Neoplasia","VON BULOW, GOTZ-ULRICH ","PC040753","W81XWH-05-1-0137","Institution: INDIANA UNIVERSITY, INDIANAPOLIS","PCRP","New Investigator Award","Primary: Growth Factors/Cytokines","2004","$228,458.10"
"Anti-Angiogenic Action of Neutral Endopeptidase","NANUS, DAVID M","PC040758","W81XWH-05-1-0051","Institution: JOAN AND SANFORD I WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY","PCRP","Idea Development Award","Primary: AngiogenesisSecondary: Functional Study of Biological Molecules","2004","$630,000.00"
"Novel Role of Vimentin's Regulatory Proteins in Prostate Tumor Metastasis","ZEHNER, ZENDRA E","PC040763","W81XWH-04-1-0872","Institution: VIRGINIA COMMONWEALTH UNIVERSITY","PCRP","Exploration - Hypothesis Development Award","Primary: Tumor Suppresor GenesSecondary: Progression/ Invasion/ Metastasis","2004","$112,500.00"
"Discovery of New Drug Candidates for the Prevention of Hormone Refractory Prostate Cancer","SADAR, MARIANNE D","PC040768","W81XWH-05-1-0058","Institution: PROVINCIAL HEALTH SERVICES AUTHORITY","PCRP","Idea Development Award","Primary: Drug DevelopmentSecondary: Hormone Receptors","2004","$405,000.00"
"Temporal and Spatial Dynamics of Androgen Receptor Conformation and Interactions in Prostate Cancer Cells","SCHAUFELE, FRED J","PC040777","W81XWH-05-1-0013","Institution: CALIFORNIA, UNIVERSITY OF, SAN FRANCISCO","PCRP","Idea Development Award","Primary: Hormone Receptors","2004","$568,125.00"
"Development of a Novel, Non-Invasive Diagnostic Test for Prostate Cancer","GARDINER, ROBERT A","PC040780","W81XWH-05-1-0092","Institution: UNIVERSITY OF QUEENSLAND","PCRP","Idea Development Award","Primary: Clinical BiomarkersSecondary: Cell/Tissue/ Body Fluid Sampling","2004","$516,360.00"
"Effect of Saw Palmetto on the Development and Progression of Prostate Carcinoma in TRAMP Mice","ROSELLI, CHARLES E","PC040785","W81XWH-04-1-0820","Institution: OREGON HEALTH AND SCIENCE UNIVERSITY","PCRP","Exploration - Hypothesis Development Award","Primary: NutraceuticalsSecondary: Not Otherwise Specified","2004","$113,248.00"
"Molecular Characterization of Prostate Cancer Cell Oncolysis by Herpes Simplex Virus ICP0 Mutants","MOSSMAN, KAREN L","PC040790","W81XWH-04-1-0859","Institution: MCMASTER UNIVERSITY","PCRP","Exploration - Hypothesis Development Award","Primary: Functional Study of Biological Molecules","2004","$83,877.00"
"Immunotargeting Prostate Tumors","YI, MING ","PC040794","W81XWH-05-1-0131","Institution: SIDNEY KIMMEL CANCER CENTER","PCRP","Postdoctoral Traineeship Award","Primary: Animal Models","2004","$124,820.00"
"A Case-Control Study of Prostate Cancer Screening Among African American and Caucasian Medicare Recipiants","GODLEY, PAUL A","PC040795","W81XWH-04-1-0846","Institution: NORTH CAROLINA AT CHAPEL HILL, UNIVERSITY OF","PCRP","Idea Development Award","Primary: Descriptive Epidemiology/ SurveillanceSecondary: Clinical Biomarkers","2004","$485,883.00"
"Psychosocial and Patient Education Needs of Prostate Cancers Selecting Watchful Waiting","KNIGHT, SARA ","PC040796","W81XWH-05-1-0008","Institution: CALIFORNIA, UNIVERSITY OF, SAN FRANCISCO","PCRP","Exploration - Hypothesis Development Award","Primary: Quality of LifeSecondary: Communication and Education","2004","$76,385.01"
"Generation of Inducible RNAi Expression Library for Target Identification in Prostate Cancer","SHTUTMAN, MICHAEL ","PC040797","W81XWH-05-1-0044","Institution: ORDWAY RESEARCH INSTITUTE, INC.","PCRP","Exploration - Resource Development Award","Primary: Not Otherwise Specified","2004","$123,750.00"
"Restoration of Transforming Growth Factor beta Signaling by Histone Deacetylase Inhibitors in Human Prostate Carcinoma","QIAN, ZHENG (DAVID) ","PC040800","W81XWH-04-1-0839","Institution: JOHNS HOPKINS UNIVERSITY","PCRP","Postdoctoral Traineeship Award","Primary: Transcription, Translation and ModificationSecondary: Growth Factors/Cytokines","2004","$124,887.53"
"Regulation of FOXO Transcription Factors and Apoptosis by Curcumin in Prostate Cancer Prevention","SRIVASTAVA, RAKESH ","PC040802","W81XWH-04-1-0821","Institution: TEXAS, UNIVERSITY OF, HEALTH CENTER AT TYLER","PCRP","Exploration - Hypothesis Development Award","Primary: PharmacologySecondary: Growth Factors/Cytokines","2004","$111,375.00"
"The Role of c-FLIP(L) in Regulating Apoptotic Pathways in Prostate Cancer","OLUMI, ARIA F","PC040806","W81XWH-05-1-0080","Performing Institution: MASSACHUSETTS GENERAL HOSPITALContracting Institution: BETH ISRAEL DEACONESS MEDICAL CENTER, BOSTON","PCRP","New Investigator Award","Primary: Transcription, Translation and ModificationSecondary: Apoptosis","2004","$378,643.39"
"Modulation of TRAIL Cytotoxicity by Amiloride in Prostate Cancer","KIM, YOUNG H","PC040833","W81XWH-05-1-0064","Institution: PITTSBURGH, UNIVERSITY OF","PCRP","Postdoctoral Traineeship Award","Primary: Signal TransductionSecondary: Progression/ Invasion/ Metastasis","2004","$113,940.89"
"Suppression of Prostate Tumors by INK4c and PTEN","XIONG, YUE ","PC040835","W81XWH-05-1-0087","Institution: NORTH CAROLINA AT CHAPEL HILL, UNIVERSITY OF","PCRP","Idea Development Award","Primary: Tumor Suppresor Genes","2004","$546,632.00"
"A Novel Assay of Citrate, Choline, and Spermine in Prostate Cancer in Vivo","THOMAS, MICHAEL A","PC040836","W81XWH-04-1-0885","Performing Institution: CALIFORNIA, UNIVERSITY OF, LOS ANGELES, DAVID GEFFEN SCHOOL OF MEDICINEContracting Institution: CALIFORNIA, UNIVERSITY OF, LOS ANGELES","PCRP","Idea Development Award","Primary: Clinical BiomarkersSecondary: Magnetic Resonance Imaging","2004","$469,487.55"
"MIC-1 in Prostate Cancer Bone Metastases","SELANDER, KATRI ","PC040838","W81XWH-05-1-0066","Institution: ALABAMA, UNIVERSITY OF, AT BIRMINGHAM","PCRP","Idea Development Award","Primary: Progression/ Invasion/ MetastasisSecondary: Functional Study of Biological Molecules","2004","$496,781.00"
"The Role of Notch Signaling in Cell Fate Choice in the Prostate","GRISHINA, IRINA B","PC040844","W81XWH-05-1-0034","Institution: NEW YORK UNIVERSITY SCHOOL OF MEDICINE","PCRP","Exploration - Hypothesis Development Award","Primary: Signal TransductionSecondary: Cellular Development","2004","$126,750.00"
"Characterization of an Adnrogen-Induced and Activated Protein Kinase","KUNG, HSING-JIEN ","PC040845","W81XWH-04-1-0835","Institution: CALIFORNIA, UNIVERSITY OF, DAVIS","PCRP","Idea Development Award","Primary: Signal TransductionSecondary: Hormone Receptors","2004","$557,237.71"
"Dietary Heterocyclic Amines and Polymorphic Variants in the Etiology of Prostate Cancer","BIRKETT, NICHOLAS J","PC040854","W81XWH-05-1-0148","Institution: OTTAWA, UNIVERSITY OF","PCRP","Idea Development Award","Primary: Nutritional EpidemiologySecondary: DNA Damage and Repair","2004","$513,638.00"
"A Novel Approach for Molecular Ablation of Androgen Receptor in Prostate Cancer Cells","WU, JIE (JERRY) ","PC040861","W81XWH-04-1-0825","Institution: H. LEE MOFFITT CANCER CENTER AND RESEARCH INSTITUTE, AT SOUTH FLORIDA, UNIVERSITY OF","PCRP","Exploration - Hypothesis Development Award","Primary: Hormone ReceptorsSecondary: Drug Development","2004","$112,969.16"
"Telomere Length as a Predictor of Aggressive Prostate Cancer","PLATZ, ELIZABETH A","PC040872","W81XWH-05-1-0030","Performing Institution: JOHNS HOPKINS UNIVERSITY, BLOOMBERG SCHOOL OF PUBLIC HEALTHContracting Institution: JOHNS HOPKINS UNIVERSITY","PCRP","Idea Development Award","Primary: BiomarkersSecondary: Genomic Instability","2004","$589,185.00"
"Construction of a Mitogenesis-coupled Apoptosis Molecular Device","YANG, WANNIAN ","PC040873","W81XWH-05-1-0178","Institution: GEISINGER CLINIC","PCRP","Exploration - Hypothesis Development Award","Primary: Gene Therapy (Includes Vector Development)","2004","$104,420.00"
"Long-Term Outcomes of Alternative Brachytherapy Techniques for Early Prostate Cancer","TALCOTT, JAMES A","PC040878","W81XWH-05-1-0093","Institution: MASSACHUSETTS GENERAL HOSPITAL","PCRP","Idea Development Award","Primary: Magnetic Resonance ImagingSecondary: Ultrasonography","2004","$585,381.00"
"Battling Hormone Resistant Prostate Cancer with Computationally Designed Protein Therapeutics","BAKER, DAVID ","PC040879","W81XWH-04-1-0847","Institution: WASHINGTON, UNIVERSITY OF","PCRP","Exploration - Hypothesis Development Award","Primary: Drug DevelopmentSecondary: Hormone Receptors","2004","$113,700.00"
"Reg IV: A Candidate Marker of Metastatic Hormone Refractory Prostate Cancer","REITER, ROBERT E","PC040892","W81XWH-05-1-0130","Institution: CALIFORNIA, UNIVERSITY OF, LOS ANGELES","PCRP","Idea Development Award","Primary: BiomarkersSecondary: Functional Study of Biological Molecules","2004","$479,125.79"
"Selenoproteins and Prostate Cancer","NAVSARIWALA, VEDA D","PC040897","W81XWH-05-1-0009","Institution: ILLINOIS, UNIVERSITY OF, AT CHICAGO","PCRP","Postdoctoral Traineeship Award","Primary: Functional Study of Biological MoleculesSecondary: Nutrition","2004","$125,000.00"
