"Proposal Title","Principal Investigator","Proposal Number","Award Number","Institution","Program","Mechanism","Research Topic","Fiscal Year","Award Amount"
"Crosstalk between mTORC1 and cAMP Signaling","GUAN, KUN-LIANG ","TS120072","W81XWH-13-1-0055","Institution: CALIFORNIA, UNIVERSITY OF, SAN DIEGO","TSCRP","Idea Development Award","Primary: Functional Study of Biological MoleculesSecondary: Targeted Therapies","2012","$658,341.96"
"3D Structure of TSC1","XU, WENQING ","TS120073","W81XWH-13-1-0059","Institution: WASHINGTON, UNIVERSITY OF","TSCRP","Exploration - Hypothesis Development Award","Primary: Structural Chemistry / Structural BiologySecondary: Proteomics","2012","$153,702.04"
"Role of CTGF in White Matter Development in Tuberous Sclerosis","SAHIN, MUSTAFA ","TS120087","W81XWH-13-1-0040","Institution: CHILDREN'S HOSPITAL, BOSTON","TSCRP","Idea Development Award","Primary: Functional Study of Biological MoleculesSecondary: Cellular Development","2012","$739,505.00"
"Targeting Amino Acid-mTORC1 Signaling Limb for TSC Suppression","KIM, DO-HYUNG ","TS120090","W81XWH-13-1-0060","Institution: MINNESOTA, UNIVERSITY OF, TWIN CITIES","TSCRP","Idea Development Award","Primary: Tumor Suppressor GenesSecondary: Targeted Therapies","2012","$645,998.00"
"LAM Pilot Study with Imatinib Mesylate (LAMP-1)","STRANGE, CHARLIE ","TS130008","W81XWH-14-1-0132","Institution: MEDICAL UNIVERSITY OF SOUTH CAROLINA","TSCRP","Pilot Clinical Trial Award","Primary: Targeted Therapies","2013","$256,797.00"
"The Role of TSC2 Phosphorylation in the Regulation of TSC2 Localization and mTOR Signaling","HORNBERGER, TROY A","TS130025","W81XWH-14-1-0105","Institution: WISCONSIN, UNIVERSITY OF, MADISON","TSCRP","Exploration - Hypothesis Development Award","Primary: Translation and ModificationSecondary: Signal Transduction","2013","$144,007.78"
"Critical Roles for SYK in Lymphangiogenesis in LAM","EL-CHEMALY, SOUHEIL Y","TS130031","W81XWH-14-1-0233","Institution: BRIGHAM AND WOMEN'S HOSPITAL, INC.","TSCRP","Exploration - Hypothesis Development Award","Primary: Familial and Hereditary DisordersSecondary: Targeted Therapies","2013","$161,778.48"
"Using Genetic Buffering Relationships Identified in Fission Yeast to Elucidate the Molecular Pathology of Tuberous Sclerosis","KARAGIANNIS, JIM ","TS130042","W81XWH-14-1-0169","Institution: WESTERN ONTARIO, UNIVERSITY OF","TSCRP","Exploration - Hypothesis Development Award","Primary: Tumor Suppressor GenesSecondary: Genomics","2013","$84,318.00"
"Disrupted Cilia Signaling in Tuberous Sclerosis Complex","ANTON, EVA ","TS130043","W81XWH-14-1-0125","Institution: NORTH CAROLINA AT CHAPEL HILL, UNIVERSITY OF","TSCRP","Idea Development Award","Primary: Cellular StructureSecondary: Familial and Hereditary Disorders","2013","$633,598.00"
"Defining Translational Reprogramming in Tuberous Sclerosis Complex","QIAN, SHU-BING ","TS130044","W81XWH-14-1-0068","Institution: CORNELL UNIVERSITY, ITHACA","TSCRP","Idea Development Award - Optional Nested Postdoctoral Traineeship","Primary: Translation and Modification","2013","$658,750.00"
"Modeling TSC and LAM Using Patient-Derived Induced Pluripotent Stem Cells","STANFORD, WILLIAM ","TS130051","W81XWH-14-1-0434","Institution: OTTAWA, UNIVERSITY OF","TSCRP","Idea Development Award - Optional Qualified Collaborator","Primary: Cellular DevelopmentSecondary: Familial and Hereditary Disorders","2013","$658,419.00"
"The Role of 5-Hydroxymethylcytosine in Gene Dysregulation of Epileptogenic Tubers in Tuberous Sclerosis Complex Patients","DOMBKOWSKI, ALAN ","TS130067","W81XWH-14-1-0345","Institution: WAYNE STATE UNIVERSITY","TSCRP","Exploration - Hypothesis Development Award","Primary: TranscriptionSecondary: Familial and Hereditary Disorders","2013","$149,815.34"
"Molecular Studies Investigating the Link Between Dendritic mRNA Translation and Repression Leading to Epilepsy in TSC","RAAB-GRAHAM, KIMBERLY ","TS130081","W81XWH-14-1-0061","Performing Institution: TEXAS, UNIVERSITY OF, AT AUSTIN","TSCRP","Idea Development Award - Optional Qualified Collaborator","Primary: Neural Plasticity / RepairSecondary: Drug Development","2013","$529,223.09"
"Prevention of TSC Renal Disease","BISSLER, JOHN ","TS130083","W81XWH-14-1-0343","Institution: TENNESSEE, UNIVERSITY OF, HEALTH SCIENCE CENTER","TSCRP","Idea Development Award","Primary: Animal ModelsSecondary: Cellular Development","2013","$637,501.00"
"Identifying Mechanisms Initiating LAM and Angiomyolipoma in Tuberous Sclerosis Complex","KARBOWNICZEK, MAGDALENA ","TS140010","W81XWH-15-1-0098","Institution: TEXAS TECH UNIVERSITY HEALTH SCIENCES CENTER, LUBBOCK","TSCRP","Idea Development Award","Primary: Tumor Suppressor GenesSecondary: Cellular Development","2014","$641,746.00"
"Early Behavioral Intervention to Improve Social Communication Function in Infants with TSC","JESTE, SHAFALI S","TS140030","W81XWH-15-1-0183","Institution: CALIFORNIA, UNIVERSITY OF, LOS ANGELES","TSCRP","Pilot Clinical Trial Award","Primary: Behavioral / Cognitive / Psychological TherapiesSecondary: Clinical Biomarkers","2014","$267,508.00"
"Role of MicroRNA in the Pathogenesis and Treatment of TSC","HENSKE, ELIZABETH P","TS140032","W81XWH-15-1-0263","Institution: BRIGHAM AND WOMEN'S HOSPITAL, INC.","TSCRP","Idea Development Award - Optional Qualified Collaborator","Primary: Functional Study of Biological MoleculesSecondary: Clinical Biomarkers","2014","$803,679.00"
"Understanding the Role of TSC1/2 in Cerebellar Purkinje Neurons","SAHIN, MUSTAFA ","TS140033","W81XWH-15-1-0189","Institution: CHILDREN'S HOSPITAL, BOSTON","TSCRP","Idea Development Award - Optional Qualified Collaborator","Primary: Cellular DevelopmentSecondary: Neural Circuits","2014","$717,951.00"
"Molecular Mechanisms Underlying the Epileptogenesis and Seizure Progression in Tuberous Sclerosis Complex 1 Deficient Mouse Models","GOLDMAN, JAMES E","TS140034","W81XWH-15-1-0112","Institution: COLUMBIA UNIVERSITY MEDICAL CENTER","TSCRP","Idea Development Award","Primary: Signal TransductionSecondary: Not Otherwise Specified","2014","$679,999.00"
"Patient-Specific Human iPSCs for Modeling TSC Pathophysiology and Therapeutic Discovery","RAMESH, VIJAYA ","TS140035","W81XWH-15-1-0414","Institution: MASSACHUSETTS GENERAL HOSPITAL","TSCRP","Idea Development Award - Optional Qualified Collaborator","Primary: Cell LinesSecondary: Cellular Development","2014","$1,000,450.00"
"COLA: A Pilot Clinical Trial of COX-2 Inhibition in LAM and TSC","KWIATKOWSKI, DAVID J","TS140054","W81XWH-15-1-0511","Institution: BRIGHAM AND WOMEN'S HOSPITAL, INC.","TSCRP","Pilot Clinical Trial Award","Primary: Targeted Therapies","2014","$344,581.00"
"Mechanism of Ribosomes Biogenesis in TSC","INOKI, KEN ","TS140055","W81XWH-15-1-0222","Institution: MICHIGAN, UNIVERSITY OF","TSCRP","Idea Development Award - Optional Qualified Collaborator","Primary: Signal TransductionSecondary: Translation and Modification","2014","$843,049.12"
"Catalyzing Translational TSC Research: Novel LAM and AML Cell Culture Models","HENSKE, ELIZABETH P","TS140059","W81XWH-15-1-0285","Institution: BRIGHAM AND WOMEN'S HOSPITAL, INC.","TSCRP","Exploration - Hypothesis Development Award","Primary: Cell Lines","2014","$177,375.00"
"Identification of NPM and DDX5 as Therapeutic Targets in TSC","WEBER, JASON ","TS140068","W81XWH-15-1-0528","Institution: WASHINGTON UNIVERSITY","TSCRP","Exploration - Hypothesis Development Award","Primary: Targeted TherapiesSecondary: Functional Study of Biological Molecules","2014","$152,500.00"
"A Unique Opportunity for TSC: Repurposing FDA-Approved Drugs Using a Unique Combinatorial Screening Strategy","HOUSDEN, BENJAMIN ","TS150020","W81XWH-16-1-0127","Institution: EXETER, UK, UNIVERSITY OF","TSCRP","Exploration - Hypothesis Development Award","Primary: Drug DevelopmentSecondary: Not Otherwise Specified","2015","$254,048.00"
"Role of Urokinase-Type Plasminogen Activator (uPA) in Progression of TSC Tumors","STEPANOVA, VICTORIA ","TS150032","W81XWH-16-1-0187","Institution: PENNSYLVANIA, UNIVERSITY OF","TSCRP","Exploration - Hypothesis Development Award","Primary: Signal TransductionSecondary: Progression","2015","$240,000.00"
"Identifying Novel Candidate Therapies for SEGAs Using Quantitative Single-Cell Assays","IHRIE, REBECCA A","TS150037","W81XWH-16-1-0171","Institution: VANDERBILT UNIVERSITY","TSCRP","Idea Development Award - Optional Qualified Collaborator","Primary: Signal TransductionSecondary: Neural Plasticity / Repair","2015","$930,096.00"
"Systemic Gene Therapy for Tuberous Sclerosis","BREAKEFIELD, XANDRA O","TS150045","W81XWH-16-1-0134","Institution: MASSACHUSETTS GENERAL HOSPITAL","TSCRP","Exploration - Hypothesis Development Award","Primary: Gene Therapy (Includes Vector Development)Secondary: Animal Models","2015","$240,037.00"
"Characterization of mTOR-Responsive Truncated mRNAs in Cell Proliferation","YONG, JEONGSIK ","TS150056","W81XWH-16-1-0135","Institution: MINNESOTA, UNIVERSITY OF, TWIN CITIES","TSCRP","Exploration - Hypothesis Development Award","Primary: Translation and ModificationSecondary: Genomics","2015","$226,800.00"
"Epilepsy Causes and Treatment in TSC","BORDEY, ANGELIQUE ","TS150058","W81XWH-16-1-0164","Institution: YALE UNIVERSITY","TSCRP","Idea Development Award","Primary: Neural CircuitsSecondary: Chemotherapy","2015","$697,777.00"
"Functional Impact of TSC1 Mutations on the Development and Maturation of Inhibitory Cortical Neurons","RUBENSTEIN, JOHN L","TS150059","W81XWH-16-1-0138","Institution: CALIFORNIA, UNIVERSITY OF, SAN FRANCISCO","TSCRP","Idea Development Award - Optional Qualified Collaborator","Primary: Neural CircuitsSecondary: Cellular Development","2015","$950,181.00"
"Cell Type-Specific Contributions to the TSC Neuropathology","D'ARCANGELO, GABRIELLA ","TS150063","W81XWH-16-1-0415","Institution: RUTGERS, NEW JERSEY, STATE UNIVERSITY OF","TSCRP","Idea Development Award - Optional Qualified Collaborator","Primary: Cellular DevelopmentSecondary: Animal Models","2015","$816,171.00"
"Impaired mTOR Macroautophagy and Neurocognitive Deficits in Tuberous Sclerosis Complex","TANG, GUOMEI ","TS150069","W81XWH-16-1-0263","Institution: COLUMBIA UNIVERSITY MEDICAL CENTER","TSCRP","Idea Development Award","Primary: Signal TransductionSecondary: Cognitive Performance","2015","$720,000.00"
"Novel Metabolic Biomarkers in Tuberous Sclerosis Complex","PRIOLO, CARMEN ","TS150071","W81XWH-16-1-0165","Institution: BRIGHAM AND WOMEN'S HOSPITAL, INC.","TSCRP","Exploration - Hypothesis Development Award","Primary: MetabolismSecondary: Nuclear Medicine Imaging","2015","$250,633.00"
"Human-Induced Pluripotent TSC1 and TSC2 Mutant Stem Cell-Derived Neuronal Assays for Mechanistic Studies and Therapeutics Development","ZHANG, WEI ","TS150072","W81XWH-16-1-0412","Institution: JUVOBIO PHARMACEUTICALS INC.","TSCRP","Exploration - Hypothesis Development Award","Primary: Cellular DevelopmentSecondary: Signal Transduction","2015","$164,998.00"
"Establishing the Molecular Basis of the Neurodevelopmental Features of TSC","BATEMAN, JOSEPH ","TS160017","W81XWH-17-1-0082","Institution: KING'S COLLEGE, LONDON","TSCRP","Idea Development Award - Established Investigator","Primary: Signal TransductionSecondary: Neural Circuits","2016","$484,713.00"
"LAMP: The LAM Microbiome Project","EL-CHEMALY, SOUHEIL ","TS160023","W81XWH-17-1-0469","Institution: BRIGHAM AND WOMEN'S HOSPITAL, INC.","TSCRP","Exploration - Hypothesis Development Award","Primary: Clinical BiomarkersSecondary: Genomics","2016","$235,000.00"
"Epigenetic Analysis of TSC Tumors to Identify Novel Therapeutic Targets","GIANNIKOU, KRINIO ","TS160042","W81XWH-17-1-0205","Institution: BRIGHAM AND WOMEN'S HOSPITAL, INC.","TSCRP","Postdoctoral Development Award","Primary: TranscriptionSecondary: Oncogenes","2016","$266,250.00"
"Mechanisms of Pulmonary Lesions in TSC LAM","SHI, WEI ","TS160044","W81XWH-17-1-0173","Institution: CHILDREN'S HOSPITAL LOS ANGELES","TSCRP","Idea Development Award - New Investigator Option","Primary: Stromal-Epithelial InteractionsSecondary: Cellular Development","2016","$749,250.00"
"Toward Novel Therapeutics for TSC and LAM: Using Mechanisms of a Bacterial Protein to Sensitize Cells to Rapamycin","GOLDBERG, MARCIA B","TS160046","W81XWH-17-1-0314","Institution: MASSACHUSETTS GENERAL HOSPITAL","TSCRP","Exploration - Hypothesis Development Award","Primary: Functional Study of Biological MoleculesSecondary: Drug Development","2016","$327,437.00"
"Neural Circuits Underlying Autism-Relevant Behaviors in TSC","TSAI, PETER ","TS160056","W81XWH-17-1-0238","Institution: TEXAS, UNIVERSITY OF, SOUTHWESTERN MEDICAL CENTER AT DALLAS","TSCRP","Idea Development Award - New Investigator Option","Primary: Neural CircuitsSecondary: Signal Transduction","2016","$708,784.00"
"T Cell Dysfunction in TSC: Mechanisms and Targeted Therapy","HENSKE, ELIZABETH ","TS160057","W81XWH-17-1-0150","Institution: BRIGHAM AND WOMEN'S HOSPITAL, INC.","TSCRP","Idea Development Award - Established Investigator","Primary: Tumor ImmunologySecondary: Immunotherapies","2016","$628,989.00"
"Targeting Folate-Dependent Metabolic Pathways for the Treatment of TSC","BELAID, AMINE ","TS160070","W81XWH-17-1-0343","Institution: BRIGHAM AND WOMEN'S HOSPITAL, INC.","TSCRP","Postdoctoral Development Award","Primary: Targeted TherapiesSecondary: Metabolism","2016","$253,850.00"
"Metabolic Regulation of mTORC1 Catalytic Activity","BLENIS, JOHN ","TS160073","W81XWH-17-1-0118","Institution: JOAN AND SANFORD I WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY","TSCRP","Idea Development Award - Established Investigator","Primary: MetabolismSecondary: Progression","2016","$762,750.00"
"Phenotypic Variability in Tuberous Sclerosis Complex (TSC)","NARAYANAN, VINODH ","TS160074","W81XWH-17-1-0151","Institution: TRANSLATIONAL GENOMICS RESEARCH INSTITUTE (TGEN)","TSCRP","Idea Development Award - Established Investigator","Primary: Familial and Hereditary DisordersSecondary: Tumor Heterogeneity","2016","$767,189.00"
"Evaluation of Lipid Poor Renal Masses with Magnetic Resonance Spectroscopy in Tuberous Sclerosis Complex","FELDMAN, ADAM S","TS160082","W81XWH-17-1-0468","Institution: MASSACHUSETTS GENERAL HOSPITAL","TSCRP","Exploration - Hypothesis Development Award","Primary: BiomarkersSecondary: Magnetic Resonance Imaging","2016","$342,000.00"
"Adult Mesenchymal Progenitor (MPC) Regulation of Early Pathogenesis in TSC","MAJKA, SUSAN M","TS170021","W81XWH-18-1-0719","Institution: NATIONAL JEWISH MEDICAL AND RESEARCH CENTER","TSCRP","Idea Development Award - New Investigator Option","Primary: ProgressionSecondary: Tumor Suppressor Genes","2017","$711,000.00"
"Mapping the Routes to Tumor Cell Death in TSC","MANNING, BRENDAN ","TS170026","W81XWH-18-1-0370","Institution: HARVARD T. H. CHAN SCHOOL OF PUBLIC HEALTH PRESIDENT AND FELLOWS OF HARVARD COLLEGE","TSCRP","Idea Development Award - Established Investigator","Primary: PharmacologySecondary: Apoptosis","2017","$717,750.00"
"An Evolutionary Approach to Vulnerability Mapping in Order to Identify Alternative and Synergistic Therapeutic Strategies for TSC and Related Diseases","PERRIMON, NORBERT ","TS170030","W81XWH-18-1-0659","Institution: HARVARD UNIVERSITY, BOSTON","TSCRP","Idea Development Award - Established Investigator","Primary: MetabolismSecondary: Drug Development","2017","$739,125.00"
"Targeting Circadian Clock Proteostasis as a Novel Therapeutic Strategy in Tuberous Sclerosis Complex","LIPTON, JONATHAN O","TS170034","W81XWH-18-1-0194","Institution: CHILDREN'S HOSPITAL, BOSTON","TSCRP","Idea Development Award - New Investigator Option","Primary: Signal TransductionSecondary: Neural Circuits","2017","$796,500.00"
"Targeting Transcriptional Addiction for the Treatment of TSC","ZAREI, MAHSA ","TS170052","W81XWH-18-1-0592","Institution: TEXAS A&M UNIVERSITY","TSCRP","Exploration - Hypothesis Development Award","Primary: Drug DevelopmentSecondary: Translation and Modification","2017","$222,751.00"
"Developing a Genetic Risk Prediction Model for Epilepsy in Patients with TSC","FARACH, LAURA S","TS170053","W81XWH-18-1-0537","Institution: TEXAS, UNIVERSITY OF, HEALTH SCIENCE CENTER AT HOUSTON","TSCRP","Idea Development Award - New Investigator Option","Primary: Clinical BiomarkersSecondary: Gene and/or Environmental Epidemiology","2017","$627,069.00"
"Neural Crest Origin of TSC Tumors","D'ARMIENTO, JEANINE MARIE ","TS170057","W81XWH-18-1-0077","Institution: COLUMBIA UNIVERSITY MEDICAL CENTER","TSCRP","Idea Development Award - Established Investigator","Primary: Cancer Stem CellsSecondary: Signal Transduction","2017","$719,994.00"
"Toward Chimeric Antigen Receptor Transgenic T Cell Therapy for Tuberous Sclerosis Complex","LE POOLE, ISABELLE ","TS170066","W81XWH-18-1-0479","Institution: NORTHWESTERN UNIVERSITY, CHICAGO, ILLINOIS","TSCRP","Clinical Translational Research Award","Primary: ImmunotherapiesSecondary: Tumor Immunology","2017","$948,000.00"
"Investigative Studies into mTORC1-Dependent Dendritic Branch Potentiation in TSC","RAAB-GRAHAM, KIMBERLY F","TS180021","W81XWH-19-1-0202","Institution: WAKE FOREST UNIVERSITY HEALTH SCIENCES","TSCRP","Idea Development Award - Established Investigator","Primary: Signal TransductionSecondary: Neural Circuits","2018","$652,954.00"
"Dissecting Mechanisms of Immune Suppression in Tuberous Sclerosis Complex (TSC) by Integrative Single Cell Profiling of Tumor-Microenvironment Interaction","TANG, YAN ","TS180029","W81XWH-19-1-0152","Institution: BRIGHAM AND WOMEN'S HOSPITAL, INC.","TSCRP","Exploration - Hypothesis Development Award","Primary: Tumor HeterogeneitySecondary: Tumor Immunology","2018","$179,000.00"
"Deciphering Circuit-Level Mechanisms Underlying Intrinsic Epileptogenicity of Cortical Tubers in TSC","JIANG, XIAOLONG ","TS180034","W81XWH-19-1-0079","Institution: BAYLOR COLLEGE OF MEDICINE","TSCRP","Exploration - Hypothesis Development Award","Primary: Neural CircuitsSecondary: Transcription","2018","$160,072.00"
"An Innovative Model System of Cell Invasion in TSC/LAM to Uncover New Drug Targets and Therapies","DUNLOP, ELAINE ","TS180037","W81XWH-19-1-0248","Institution: CARDIFF UNIVERSITY","TSCRP","Exploration - Hypothesis Development Award","Primary: InvasionSecondary: Clinical Biomarkers","2018","$99,995.00"
"Development of Remission-Inducing Therapy for TSC Tumors","YU, JANE J","TS180051","W81XWH-19-1-0474","Institution: UNIVERSITY OF CINCINNATI","TSCRP","Exploration - Hypothesis Development Award","Primary: Drug Resistance/Multi-Drug ResistanceSecondary: Tumor Heterogeneity","2018","$160,500.00"
"Structural Basis of Tuberous Sclerosis Complex Assembly and Dysregulation in Disease","ELLISDON, ANDREW M","TS180061","W81XWH-19-1-0182","Institution: MONASH UNIVERSITY","TSCRP","Idea Development Award - New Investigator Option","Primary: Structural Chemistry / Structural BiologySecondary: Translation and Modification","2018","$754,255.00"
"Modeling TSC and Translating for Therapeutics with Human Cerebral Organoids","WEN, ZHEXING ","TS180062","W81XWH-19-1-0353","Institution: EMORY UNIVERSITY","TSCRP","Idea Development Award - New Investigator Option","Primary: Cellular DevelopmentSecondary: Transcription","2018","$695,969.00"
"Targeting the Angiotensin Receptor in TSC","EL-CHEMALY, SOUHEIL ","TS180064","W81XWH-19-1-0250","Institution: BRIGHAM AND WOMEN'S HOSPITAL, INC.","TSCRP","Idea Development Award - New Investigator Option","Primary: Tumor Suppressor GenesSecondary: Apoptosis","2018","$748,620.00"
"Role of the Immunoproteasome in TSC Pathogenesis and Therapeutics","KIM, DO-HYUNG ","TS180071","W81XWH-19-1-0132","Institution: MINNESOTA, UNIVERSITY OF, TWIN CITIES","TSCRP","Idea Development Award - Established Investigator","Primary: Signal TransductionSecondary: Progression","2018","$693,000.00"
"Development of Novel, Highly mTORC1 Selective Inhibitors for the Treatment of Tuberous Sclerosis","TZANNIS, STELIOS ","TS180072","W81XWH-19-1-0224","Institution: DELOS PHARMACEUTICALS, INC.","TSCRP","Idea Development Award - Established Investigator","Primary: PharmacologySecondary: Drug Development","2018","$472,028.00"
"Maintenance of Genome Stability in TSC2-Deficient Tumors","PENG, GUANG ","TS180073","W81XWH-19-1-0459","Institution: M.D. ANDERSON CANCER CENTER, UNIVERSITY OF TEXAS","TSCRP","Exploration - Hypothesis Development Award","Primary: Targeted TherapiesSecondary: DNA Damage and Repair","2018","$160,000.00"
"mTORC1 Regulates MiTF Expression and Lysosomal Biogenesis","ASRANI, KAUSHAL ","TS180078","W81XWH-19-1-0781","Institution: JOHNS HOPKINS UNIVERSITY","TSCRP","Exploration - Hypothesis Development Award","Primary: BiomarkersSecondary: Transcription","2018","$163,750.00"
"Systems Genetics of Tuberous Sclerosis Complex Outcomes Using BXD Recombinant Inbred Mice","MAHONEY, JOHN M","TS180087","W81XWH-19-1-0251","Institution: VERMONT & STATE AGRICULTURAL COLLEGE, UNIVERSITY OF","TSCRP","Exploration - Hypothesis Development Award","Primary: Animal ModelsSecondary: Familial and Hereditary Disorders","2018","$155,661.17"
"Resting State Functional MRI Finds Correct Surgical Target to Stop Seizures in Tuberous Sclerosis Complex","BOERWINKLE, VARINA ","TS190004","W81XWH-20-1-0339","Institution: CHILDREN'S HOSPITAL, PHOENIX","TSCRP","Clinical Translational Research Award -  Pilot Clinical Trial","","2019","$746,999.00"
"A Subependymal Giant Cell Astrocytoma (SEGA) Mouse Model","FELICIANO, DAVID M","TS190006","W81XWH2010447","Institution: CLEMSON UNIVERSITY","TSCRP","Idea Development Award - New Investigator","","2019","$667,968.00"
"Defining Cellular Stresses Sensed Through the TSC Complex to Identify Vulnerabilities in TSC Tumors","VALVEZAN, ALEXANDER ","TS190025","W81XWH-20-1-0344","Institution: HARVARD T. H. CHAN SCHOOL OF PUBLIC HEALTH PRESIDENT AND FELLOWS OF HARVARD COLLEGE","TSCRP","Exploration - Hypothesis Development Award","","2019","$234,750.00"
"Structural Analysis of the TSC Complex by Single Particle Reconstruction","KUEMMEL, DANIEL ","TS190029","W81XWH2010237","Institution: WESTFAELISCHE WILHELMS-UNIVERSITAET MUENSTER","TSCRP","Exploration - Hypothesis Development Award","","2019","$146,049.35"
"Novel mTORC1 Inhibitors to Treat TSC","HALL, MICHAEL N","TS190047","W81XWH-20-1-0240","Institution: UNIVERSITAT BASEL","TSCRP","Exploration - Hypothesis Development Award","","2019","$164,670.00"
"Exosome Contribution to Social Deficits in TSC","BORDEY, ANGELIQUE ","TS190074","W81XWH-20-1-0120","Institution: YALE UNIVERSITY","TSCRP","Idea Development Award - Established Investigator","","2019","$752,681.00"
"Targeting mTOR/JUN/AXL Axis in TSC Tumors","KWIATKOWSKI, DAVID ","TS190081","W81XWH2010256","Institution: BRIGHAM AND WOMEN'S HOSPITAL, INC.","TSCRP","Exploration - Hypothesis Development Award","","2019","$262,652.00"
"TSC Remote Assessment and Intervention (TRAIN)","KASARI, CONNIE ","TS190087","W81XWH-20-1-0085","Institution: CALIFORNIA, UNIVERSITY OF, LOS ANGELES","TSCRP","Clinical Translational Research Award -  Pilot Clinical Trial","","2019","$922,647.00"
