"Proposal Title","Principal Investigator","Proposal Number","Award Number","Institution","Program","Mechanism","Research Topic","Fiscal Year","Award Amount"
"The Function of Neurofibromin in Astrocytes","TIFFANY-CASTIGLIONI, EVELYN C","NF043126","W81XWH-05-1-0163","Institution: TEXAS A&M UNIVERSITY","NFRP","Concept Award","Primary: Functional Study of Biological MoleculesSecondary: Signal Transduction","2004","$99,867.19"
"Akt Phosphorylation and PI (3,4,5)P3 Binding Coordinately Inhibit the Tumor Suppressive Activity of Merlin","YE, KEQIANG ","NF050009","W81XWH-06-1-0286","Institution: EMORY UNIVERSITY","NFRP","Investigator-Initiated Research Award","Primary: Signal TransductionSecondary: Tumor Suppresor Genes","2005","$1,110,363.00"
"Elucidation of Nf2's Tumor Suppressive Function","KISSIL, JOSEPH L","NF050012","W81XWH-06-1-0079","Institution: WISTAR INSTITUTE","NFRP","New Investigator Award","Primary: Signal TransductionSecondary: Tumor Suppresor Genes","2005","$741,478.00"
"Generation of an Oncolytic Version of Herpes Virus for Treatment of Malignant Peripheral Nerve Sheath Tumor (MPNST)","FARASSATI, FARIS -","NF050014","W81XWH-06-1-0173","Institution: MINNESOTA, UNIVERSITY OF, TWIN CITIES","NFRP","Concept Award","Primary: Gene Therapy (Includes Vector Development)Secondary: Targeted Therapies","2005","$100,000.00"
"On the Pathophysiology of Cutaneous Café-au-lait Lesions in Neurofibromatosis and the Role of Keratinocyte and/or Fibroblast-Synthesized Cytokines.","BOISSY, RAYMOND E","NF050017","W81XWH-06-1-0172","Institution: UNIVERSITY OF CINCINNATI","NFRP","Concept Award","Primary: Growth Factors/Cytokines","2005","$94,402.42"
"Neurofibromatosis 1 in Old Age: International Interdisciplinary Analyses of the Issues","MULVIHILL, JOHN J","NF050018","W81XWH-06-1-0465","Performing Institution: OKLAHOMA, UNIVERSITY OF, HEALTH SCIENCES CENTERContracting Institution: OKLAHOMA, UNIVERSITY OF, HEALTH SCIENCE CENTER","NFRP","Investigator-Initiated Research Award","Primary: Descriptive Epidemiology/ SurveillanceSecondary: Quality of Life","2005","$761,215.00"
"Identification of Small Molecule Inhibitors of Pak for the Treatment of Neurofibromatosis Type 2","CHEN, RUIHONG ","NF050021","W81XWH-06-1-0273","Institution: NEXGENIX PHARMACEUTICALS, LLC","NFRP","Therapeutic Development Award","Primary: Drug DevelopmentSecondary: Pharmacology","2005","$1,115,105.00"
"Phase II Trial of Neoadjuvant Chemotherapy in High-Grade Unresectable Malignant Peripheral Nerve Sheath Tumors.","WIDEMANN, BRIGITTE C","NF050022","W81XWH-06-1-0434","Performing Institution: NATIONAL CANCER INSTITUTEContracting Institution: SARCOMA ALLIANCE FOR RESEARCH THROUGH COLLABORATION (SARC)","NFRP","Clinical Trial Award","Primary: ChemotherapySecondary: Nulcear Medicine Imaging","2005","$931,923.00"
"Identification and Preclinical Evaluation of New Therapies for NF1 Brain Tumors","GUTMANN, DAVID H","NF050028","W81XWH-06-1-0222","Institution: WASHINGTON UNIVERSITY","NFRP","Investigator-Initiated Research Award","Primary: Drug DevelopmentSecondary: Animal Models","2005","$1,956,438.00"
"Analysis of p21-Activated Kinase Function in Neurofibromatosis Type 2","CHERNOFF, JONATHAN ","NF050030","W81XWH-06-1-0213","Institution: FOX CHASE CANCER CENTER","NFRP","Investigator-Initiated Research Award","Primary: Signal TransductionSecondary: Animal Models","2005","$1,756,295.00"
"Identification of Protein Kinases Required for NF2 Signaling","CHERNOFF, JONATHAN ","NF050032","W81XWH-06-1-0175","Institution: FOX CHASE CANCER CENTER","NFRP","Concept Award","Primary: Signal TransductionSecondary: Proteomics","2005","$100,000.00"
"Modeling Brain Defects in NF1","RATNER, NANCY ","NF050035","W81XWH-06-1-0114","Institution: CHILDREN'S HOSPITAL, CINCINNATI","NFRP","Investigator-Initiated Research Award","Primary: Cellular DevelopmentSecondary: Signal Transduction","2005","$1,070,855.00"
"Characterization of Neurofibromas of the Skin and Spinal Roots in a Mouse Model","ZHU, YUAN ","NF050041","W81XWH-06-1-0293","Performing Institution: MICHIGAN, UNIVERSITY OF, MEDICAL SCHOOLContracting Institution: MICHIGAN, UNIVERSITY OF","NFRP","Investigator-Initiated Research Award","Primary: Animal ModelsSecondary: Functional Study of Biological Molecules","2005","$1,462,840.00"
"The Tumor-Suppressing Function of Merlin Is Executed through and Regulated by CD44 and E-Cadherin","YU, QIN ","NF050043","W81XWH-06-1-0246","Institution: MOUNT SINAI SCHOOL OF MEDICINE, NEW YORK","NFRP","Investigator-Initiated Research Award","Primary: Functional Study of Biological MoleculesSecondary: Tumor Suppresor Genes","2005","$1,573,021.00"
"Skeletal Complications in Neurofibromatosis Type 1: The Role of Neurofibromin Haploinsufficiency in Defective Skeletal Remodeling and Bone Healing in NF1","MCHUGH, KEVIN P","NF050050","W81XWH-06-1-0219","Institution: BETH ISRAEL DEACONESS MEDICAL CENTER, BOSTON","NFRP","New Investigator Award","Primary: Signal TransductionSecondary: Genomics","2005","$759,338.25"
"Statins and the Treatment of the Neurological and Cognitive Deficits Associated with Neurofibromatosis Type I","SILVA, ALCINO J","NF050052","W81XWH-06-1-0174","Institution: CALIFORNIA, UNIVERSITY OF, LOS ANGELES","NFRP","Therapeutic Development Award","Primary: Symptom ManagementSecondary: Pharmacology","2005","$596,147.00"
"Role of Merlin in the Growth and Transformation of Arachnoidal Cells","LAL, ANITA ","NF050061","W81XWH-06-1-0221","Performing Institution: CALIFORNIA, UNIVERSITY OF, SAN FRANCISCOContracting Institution: REGENTS OF THE UNIVERSITY OF CALIFORNIA SAN FRANCI","NFRP","New Investigator Award","Primary: Functional Study of Biological MoleculesSecondary: Cell Lines","2005","$668,861.06"
"Midkine Promoter-Driven Adenovirus as Potential Therapy for NF1","DING, VIVIANNE -","NF050082","W81XWH-06-1-0153","Institution: CALIFORNIA, UNIVERSITY OF, SAN FRANCISCO","NFRP","Concept Award","Primary: Gene Therapy (Includes Vector Development)Secondary: Transcription","2005","$99,993.00"
"Neurofibromatosis and the Painful Neuroma","BELZBERG, ALLAN J","NF050083","W81XWH-06-1-0176","Institution: JOHNS HOPKINS UNIVERSITY","NFRP","Therapeutic Development Award","Primary: PharmacologySecondary: Surgery","2005","$835,883.43"
"Activated Ras as a Direct Therapeutic Target for Neurofibromatosis Type 1: An Innovative Approach for Identifying Novel Classes of Inhibitors","SONDEK, JOHN ","NF050086","W81XWH-06-1-0126","Institution: NORTH CAROLINA AT CHAPEL HILL, UNIVERSITY OF","NFRP","Concept Award","Primary: Drug Development","2005","$99,668.00"
"Studying the MAPK Signaling and Neuronal Synaptic Plasticity in an NF1 Mouse Model","CHEN, KEVIN C","NF050095","W81XWH-06-1-0190","Institution: FLORIDA STATE UNIVERSITY","NFRP","Concept Award","Primary: Signal Transduction","2005","$93,001.00"
"Velopharyngeal Insufficiency in Neurofibromatosis Type 1 -- A Clinical Sign of Prognostic Significance?","BERMAN, YEMIMA ","NF050104","W81XWH-06-1-0218","Institution: CHILDREN'S HOSPITAL, WESTMEAD","NFRP","Concept Award","Primary: Magnetic Resonance ImagingSecondary: Rehabilitation","2005","$18,351.00"
"Genetic Characterization of MPNST by High-Density SNP Array","PERRY, ARIE ","NF050110","W81XWH-06-1-0201","Institution: WASHINGTON UNIVERSITY","NFRP","Concept Award","Primary: BiomarkersSecondary: Genomics","2005","$99,700.20"
"A Strategy to Rapidly Re-Sequence the NF1 Genomic Loci Using Microarrays and Bioinformatics for Molecular Classification of the Disease","KAMALAKARAN, SITHARTHAN ","NF050122","W81XWH-06-1-0127","Institution: COLD SPRING HARBOR LABORATORY","NFRP","Concept Award","Primary: Familial and Hereditary DisordersSecondary: Biomarkers","2005","$47,842.80"
"Role of Schwannomin in Axo-Glial Interactions","LUNA, ELIZABETH ","NF050127","W81XWH-06-1-0216","Institution: MASSACHUSETTS, UNIVERSITY OF, MEDICAL SCHOOL","NFRP","Concept Award","Primary: Tumor Suppresor GenesSecondary: Functional Study of Biological Molecules","2005","$99,806.00"
"Aberrant NPM Expression during Nf1 Loss and Its Role in Promoting Proliferation","WEBER, JASON D","NF050130","W81XWH-06-1-0129","Institution: WASHINGTON UNIVERSITY","NFRP","Concept Award","Primary: Functional Study of Biological MoleculesSecondary: Tumor Suppresor Genes","2005","$99,950.31"
"Endothelial Cell-Smooth Muscle Cell Interactions in a Mouse Model of NF1","PLOTKIN, SCOTT R","NF050131","W81XWH-06-1-0217","Performing Institution: MASSACHUSETTS GENERAL HOSPITALContracting Institution: SCHEPENS EYE RESEARCH INSTITUTE","NFRP","Concept Award","Primary: Tumor Suppresor GenesSecondary: Cellular Development","2005","$99,999.00"
"Evaluation of the Reliability and Validity of the Crawford Classification of Congenital Tibial Dysplasia","VISKOCHIL, DAVID H","NF050133","W81XWH-06-1-0130","Institution: UTAH, UNIVERSITY OF","NFRP","Concept Award","Primary: X-ray Imaging","2005","$36,105.80"
"Parallel Genomic and Chemical Screens to Identify Both Therapeutic Targets and Inhibitors of These Targets in the Treatment of Neurofibromatosis","PERRIMON, NORBERT ","NF050137","W81XWH-06-1-0113","Performing Institution: HARVARD COLLEGE, PRESIDENT & FELLOWS OFContracting Institution: HARVARD UNIVERSITY, BOSTON","NFRP","Concept Award","Primary: Drug DevelopmentSecondary: Signal Transduction","2005","$99,663.08"
"Receptor Tyrosine Kinases as Targets for Treatment of Peripheral Nerve Sheath Tumors in NF1 Patients","MAUTNER, VICTOR-FELIX ","NF050145","W81XWH-06-1-0280","Institution: EPPENDORF, UNIVERSITY HOSPITAL, HAMBURG","NFRP","Therapeutic Development Award","Primary: Signal TransductionSecondary: Chemotherapy","2005","$628,550.00"
"Cincinnati Neurofibromatosis Center Consortium Proposal","SCHORRY, ELIZABETH K","NF050146","W81XWH-06-1-0023","Institution: CHILDREN'S HOSPITAL, CINCINNATI","NFRP","Consortium Development Site Award","Primary: Centers, Clinical Centers, or Consortia","2005","$30,000.00"
"Children's National Medical Center: NF Consortium Development Site Award","PACKER, ROGER J","NF050147","W81XWH-06-1-0027","Institution: CHILDREN'S NATIONAL MEDICAL CENTER","NFRP","Consortium Development Site Award","Primary: Centers, Clinical Centers, or Consortia","2005","$30,000.00"
"NF Consortium Site at Washington University","GUTMANN, DAVID H","NF050149","W81XWH-06-1-0029","Institution: WASHINGTON UNIVERSITY","NFRP","Consortium Development Site Award","Primary: Centers, Clinical Centers, or Consortia","2005","$29,961.79"
"The University of Chicago Neurofibromatosis Program","TONSGARD, JAMES H","NF050150","W81XWH-06-1-0026","Institution: CHICAGO, UNIVERSITY OF","NFRP","Consortium Development Site Award","Primary: Centers, Clinical Centers, or Consortia","2005","$24,708.21"
"NF Consortium Development Site: University of Alabama at Birmingham","KORF, BRUCE R","NF050151","W81XWH-06-1-0028","Institution: ALABAMA, UNIVERSITY OF, AT BIRMINGHAM","NFRP","Consortium Development Site Award","Primary: Centers, Clinical Centers, or Consortia","2005","$10,429.18"
"Neurofibromatosis Consortium Development Operations Center Award","KORF, BRUCE ","NF050153","W81XWH-05-1-0615","Institution: ALABAMA, UNIVERSITY OF, AT BIRMINGHAM","NFRP","Consortium Development Operations Center Award","Primary: Centers, Clinical Centers, or Consortia","2004","$2,999,828.00"
"Neurofibromatosis Clinical  Research Consortium Development Site: The Children's Hospital of Philadelphia","PHILLIPS, PETER C","NF050154","W81XWH-06-1-0024","Institution: CHILDREN'S HOSPITAL, PHILADELPHIA","NFRP","Consortium Development Site Award","Primary: Centers, Clinical Centers, or Consortia","2005","$30,000.00"
"Neurofibromatosis (NF) Consortium Development Site Award (NFCDSA) Application by the National Cancer Institute, Pediatric Oncology Branch","WIDEMANN, BRIGITTE C","NF050155","","Institution: NATIONAL CANCER INSTITUTE","NFRP","Consortium Development Site Award","Primary: Centers, Clinical Centers, or Consortia","2005","$0.00"
"The University of Utah Clinical Genetics Research Program as an NF1 Consortium Site","VISKOCHIL, DAVID H","NF050159","W81XWH-06-1-0030","Institution: UTAH, UNIVERSITY OF","NFRP","Consortium Development Site Award","Primary: Centers, Clinical Centers, or Consortia","2005","$30,000.00"
"Children's Hospital Boston Multidisciplinary Neurofibromatosis Center","IRONS, MIRA B","NF050162","W81XWH-06-1-0025","Institution: CHILDREN'S HOSPITAL, BOSTON","NFRP","Consortium Development Site Award","Primary: Centers, Clinical Centers, or Consortia","2005","$30,000.00"
"NF1-Ras Signaling and Synaptic AMPA-R Trafficking","ZHU, JUN JULIUS ","NF050171","W81XWH-07-1-0226","Institution: VIRGINIA, UNIVERSITY OF, SCHOOL OF MEDICINE","NFRP","Investigator-Initiated Research Award","Primary: Signal TransductionSecondary: Translation and Modification","2006","$879,128.00"
"Developing a Zebrafish Model of NF1 for Structure-Function Analysis and Identification of Modifier Genes","EPSTEIN, JONATHAN A","NF050175","W81XWH-07-1-0228","Institution: PENNSYLVANIA, UNIVERSITY OF","NFRP","Investigator-Initiated Research with Optional Nested Post-doctoral Traineeship(s)","Primary: Animal Models","2006","$1,659,063.00"
"Regulation and Role of mTOR in Neurofibromin Growth Control","GUTMANN, DAVID H","NF050176","W81XWH-07-1-0346","Institution: WASHINGTON UNIVERSITY","NFRP","Investigator-Initiated Research Award","Primary: Signal TransductionSecondary: Drug Development","2006","$968,648.00"
"Interchromosomal Associations that Alter NF1 Gene Expression Can Modify Clinical Manifestations of Neurofibromatosis 1","HOFFMAN, ANDREW R","NF050184","W81XWH-06-1-0695","Institution: PALO ALTO INSTITUTE FOR RESEARCH AND EDUCATION","NFRP","Investigator-Initiated Research Award","Primary: Chromosome StructureSecondary: Functional Study of Biological Molecules","2005","$1,425,614.00"
"ErbB2 Trafficking and Signaling in Human Vestibular Schwannomas","HANSEN, MARLAN R","NF050193","W81XWH-06-1-0673","Institution: IOWA, UNIVERSITY OF","NFRP","Investigator-Initiated Research Award","Primary: Functional Study of Biological MoleculesSecondary: Chemotherapy","2005","$1,241,505.00"
"Whole-Body MRI Evaluation in Subjects with NF1, NF2, and Schwannomatosis","PLOTKIN, SCOTT R","NF050202","W81XWH-06-1-0739","Institution: MASSACHUSETTS GENERAL HOSPITAL","NFRP","Investigator-Initiated Research Award","Primary: Magnetic Resonance ImagingSecondary: Decision Making","2005","$1,454,775.00"
"Neurofibromatosis Consortium","KORF, BRUCE ","NF060016","W81XWH-05-1-0615","Institution: ALABAMA, UNIVERSITY OF, AT BIRMINGHAM","NFRP","Consortium Overall","Primary: Targeted TherapiesSecondary: Centers, Clinical Centers, or Consortia","2006","$8,999,999.72"
"Characterization of NF1 Protein Ubiquitination","MURAKAMI, KOKO ","NF060027","W81XWH-07-1-0432","Institution: NEW YORK MEDICAL COLLEGE","NFRP","Concept Award","Primary: Functional Study of Biological MoleculesSecondary: Proteomics","2006","$105,860.00"
"Oncolytic Herpes Simplex Virus Vectors Expressing Therapeutic Transgenes for the Treatment of NF1 Tumors","RABKIN, SAMUEL D","NF060049","W81XWH-07-1-0359","Institution: MASSACHUSETTS GENERAL HOSPITAL","NFRP","Therapeutic Development Award","Primary: Gene Therapy (Includes Vector Development)","2006","$2,193,808.00"
"Role of Hyaluronan in Schwannoma Growth","SHERMAN, LARRY S","NF060059","W81XWH-07-1-0423","Institution: OREGON HEALTH AND SCIENCE UNIVERSITY","NFRP","Concept Award","Primary: Signal TransductionSecondary: Stromal-Epithelial Interactions","2006","$109,490.00"
"Inhibition of Ras Signaling in Neurofibromatosis","NASSAR, NICOLAS ","NF060060","W81XWH-07-1-0470","Institution: NEW YORK, STATE UNIVERSITY OF, STONY BROOK","NFRP","New Investigator Award","Primary: Signal TransductionSecondary: Drug Development","2006","$689,145.59"
"Role of Neuron-Specific Splicing Regulators as Modifiers of Neurofibromatosis Type I","LOU, HUA ","NF060083","W81XWH-07-1-0249","Institution: CASE WESTERN RESERVE UNIVERSITY","NFRP","New Investigator Award","Primary: Translation and ModificationSecondary: Genomic Instability","2006","$695,250.00"
"Cognitive Deficits in NF1 Reflect Abnormal Synaptic Plasticity Due to Increased Reactive Oxygen Species Generation","DUGAN, LAURA L","NF060092","W81XWH-07-1-0491","Institution: CALIFORNIA, UNIVERSITY OF, SAN DIEGO","NFRP","Concept Award","Primary: Functional Study of Biological MoleculesSecondary: Not Otherwise Specified","2006","$103,390.00"
"A Transgenic Model for Learning Defects: Role of NF1 in Drosophila Visuospatial Learning","HANNAN, FRANCES ","NF060094","W81XWH-07-1-0436","Institution: NEW YORK MEDICAL COLLEGE","NFRP","Concept Award","Primary: Animal Models","2006","$105,860.00"
"Studies of Kinesins and Axonal Transport in a Mouse Model of NF1","NARAYANAN, VINODH ","NF060097","W81XWH-07-1-0239","Institution: ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER","NFRP","Concept Award","Primary: Not Otherwise SpecifiedSecondary: Cellular Structure","2006","$105,600.00"
"Protein Expression Profile of NF1-Deficient Schwann Cells","GUHA, ABHIJIT ","NF060098","W81XWH-07-1-0340","Institution: THE HOSPITAL FOR SICK CHILDREN","NFRP","Concept Award","Primary: ProteomicsSecondary: Tumor Suppresor Genes","2006","$72,370.00"
"Schwannomas in NF2 Mice: Nerve Injury and Development of a Mouse Model","SENA-ESTEVES, MIGUEL ","NF060106","W81XWH-07-1-0291","Institution: MASSACHUSETTS GENERAL HOSPITAL","NFRP","Concept Award","Primary: Animal Models","2006","$110,192.00"
"Upregulating Apoptotic Signaling in Neurofibromatosis","CHEN, CHANG-YAN ","NF060114","W81XWH-07-1-0398","Institution: BETH ISRAEL DEACONESS MEDICAL CENTER, BOSTON","NFRP","Concept Award","Primary: ApoptosisSecondary: Signal Transduction","2006","$113,900.00"
"Contribution of Egln3 Survival Signals to Tumorigenesis in Neurofibromatosis Type 1","DAHIA, PATRICIA ","NF060121","W81XWH-07-1-0174","Institution: TEXAS, UNIVERSITY OF, HEALTH SCIENCE CENTER AT SAN ANTONIO","NFRP","Concept Award","Primary: Apoptosis","2006","$97,820.00"
"Spinal Pain Transduction in Neurofibromin Haploinsufficiency","LIEDTKE, WOLFGANG B","NF060133","W81XWH-07-1-0207","Institution: DUKE UNIVERSITY","NFRP","Concept Award","Primary: Signal TransductionSecondary: Electrophysiology","2006","$104,326.00"
"Receptor Activity Modifying Protein and Functional Increases in the Activity of Calcitonin Gene-Related Peptide Receptor in Pain of Neurofibromatosis","HAMMOND, DONNA L","NF073016","W81XWH-08-1-0061","Institution: IOWA, UNIVERSITY OF","NFRP","Concept Award","Primary: Signal TransductionSecondary: Basic Behavioral","2007","$98,825.00"
"Exploring Neurofibromin Function in a Yeast Model of NF1","GITLER, AARON ","NF073046","W81XWH-08-1-0538","Institution: PENNSYLVANIA, UNIVERSITY OF","NFRP","New Investigator Award","Primary: Signal TransductionSecondary: Functional Study of Biological Molecules","2007","$452,000.00"
"Mechanisms of Post-Transcriptional Regulation by the Tumor Suppressor Merlin","SIMMONDS, ANDREW J","NF073048","W81XWH-08-1-0091","Institution: ALBERTA, UNIVERSITY OF","NFRP","Concept Award","Primary: Translation and ModificationSecondary: Tumor Suppresor Genes","2007","$86,466.00"
"Merlin, the Hippo Pathway, and Tumor Suppression in Meningiomas","LAL, ANITA ","NF073066","W81XWH-08-1-0062","Institution: CALIFORNIA, UNIVERSITY OF, SAN FRANCISCO","NFRP","Concept Award","Primary: Signal TransductionSecondary: Tumor Suppresor Genes","2007","$103,375.00"
"Genetic Analysis of Drosophila SMARCB1/INI1/SNF5/BAF47 Ortholog, Snr1","BERNARDS, ANDRE ","NF073069","W81XWH-08-1-0056","Institution: MASSACHUSETTS GENERAL HOSPITAL","NFRP","Concept Award","Primary: Tumor Suppresor GenesSecondary: Genomics","2007","$117,250.00"
"Structure-Function Studies of Human Merlin","BRETSCHER, ANTHONY P","NF073094","W81XWH-08-1-0052","Institution: CORNELL UNIVERSITY, ITHACA","NFRP","Investigator-Initiated Research Award","Primary: Cellular StructureSecondary: Tumor Suppresor Genes","2007","$849,431.00"
"Investigating the Regulation and Function of the NF1 Tumor Suppressor","CICHOWSKI, KAREN ","NF073102","W81XWH-08-1-0136","Institution: BRIGHAM AND WOMEN'S HOSPITAL, INC.","NFRP","Investigator-Initiated Research Award","Primary: Signal TransductionSecondary: Tumor Suppresor Genes","2007","$911,463.16"
"Identification of the Cellular and Molecular Mechanisms Underlying the Osseous Manifestations of NF1 in Murine and Human Systems","YANG, FENG-CHUN ","NF073112","W81XWH-08-1-0071","Institution: INDIANA UNIVERSITY, INDIANAPOLIS","NFRP","New Investigator Award","Primary: Animal ModelsSecondary: Cellular Development","2007","$772,870.00"
"Phase I Study of Intratumoral Photodynamic Therapy in Children with NF1 and Plexiform Neurofibromas","FISHER, MICHAEL ","NF073119","W81XWH-08-1-0051","Institution: CHILDREN'S HOSPITAL, PHILADELPHIA","NFRP","New Investigator Award","Primary: Photodynamic TherapiesSecondary: Quality of Life","2007","$423,545.94"
"Molecular Mechanisms of NF1 Vasculopathy","INGRAM, DAVID A","NF073122","W81XWH-08-1-0129","Institution: INDIANA UNIVERSITY, INDIANAPOLIS","NFRP","Investigator-Initiated Research Award","Primary: Signal Transduction","2007","$962,723.00"
"Heat Shock Factor 1 (HSF1) as a Modifier of NF1-Associated Tumorigenesis and a Potential Therapeutic Target","LINDQUIST, SUSAN ","NF073146","W81XWH-08-1-0023","Institution: WHITEHEAD INSTITUTE FOR BIOMEDICAL RESEARCH","NFRP","Investigator-Initiated Research Award","Primary: Functional Study of Biological Molecules","2007","$1,023,750.00"
"Axonal Transport in the NF1 Mouse Model in Vivo","NARAYANAN, VINODH ","NF080002","W81XWH-09-1-0121","Institution: ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER","NFRP","Exploration - Hypothesis Development Award","Primary: Cellular StructureSecondary: Drug Development","2008","$121,228.00"
"Group II Metabotropic Glutamate Receptors as Potential Pharmaceutical Targets for Neurofibroma Formation","STERN, MICHAEL ","NF080012","W81XWH-09-1-0106","Institution: RICE UNIVERSITY","NFRP","Exploration - Hypothesis Development Award","Primary: Signal TransductionSecondary: Genomics","2008","$138,211.00"
"Neurofibromin Function in Chondrocytes","ELEFTERIOU, FLORENT ","NF080017","W81XWH-09-1-0207","Institution: VANDERBILT UNIVERSITY MEDICAL CENTER","NFRP","New Investigator Award","Primary: Signal TransductionSecondary: Chemotherapy","2008","$575,625.00"
"Generation of a Mouse Model for Schwannomatosis","CHANG, LONG-SHENG ","NF080021","W81XWH-09-1-0094","Institution: RESEARCH INSTITUTE AT NATIONWIDE CHILDREN'S HOSPITAL","NFRP","Exploration - Hypothesis Development Award","Primary: Animal ModelsSecondary: Tumor Suppresor Genes","2008","$144,000.00"
"Therapy for Schwannomas Using Exosomes to Normalize MicroRNA Levels","BREAKEFIELD, XANDRA O","NF080041","W81XWH-09-1-0476","Institution: MASSACHUSETTS GENERAL HOSPITAL","NFRP","Exploration - Hypothesis Development Award","Primary: Gene Therapy (Includes Vector Development)","2008","$174,657.00"
"Molecular Regulation of Endothelial Cells by NF-1","PUMIGLIA, KEVIN M","NF080045","W81XWH-09-1-0432","Institution: ALBANY MEDICAL COLLEGE","NFRP","Investigator-Initiated Research Award","Primary: Signal TransductionSecondary: Animal Models","2008","$824,085.12"
"Therapeutic Targets for Peripheral Nerve Tumors:  NF1, NF2, and Schwannomatosis","RATNER, NANCY ","NF080052","W81XWH-09-1-0135","Institution: CHILDREN'S HOSPITAL, CINCINNATI","NFRP","Investigator-Initiated Research Award","Primary: BioinformaticsSecondary: Biomarkers","2008","$565,000.00"
"Signaling Events Upstream and Downstream from NF2 in a Mouse Model for Inherited Schwannomas","KIRSCHNER, LAWRENCE S","NF080062","W81XWH-09-1-0112","Institution: OHIO STATE UNIVERSITY, THE","NFRP","Investigator-Initiated Research Award","Primary: Signal TransductionSecondary: Familial and Hereditary Disorders","2008","$776,420.14"
"A Novel Systems-Based Approach to Predicting Modifiers of Neurofibromatosis","RAVICHANDRAN, KODI S","NF080063","W81XWH-09-1-0087","Institution: VIRGINIA, UNIVERSITY OF","NFRP","Exploration - Hypothesis Development Award","Primary: Tumor Suppresor GenesSecondary: Biomodeling/Mathematical Biology","2008","$150,000.00"
"Developing a Drosophila Model of Schwannomatosis","WALKER, JAMES A","NF080075","W81XWH-09-1-0487","Institution: MASSACHUSETTS GENERAL HOSPITAL","NFRP","New Investigator Award","Primary: GenomicsSecondary: Tumor Suppresor Genes","2008","$662,251.00"
"Does the Altered Expression of Ion Channels Give Rise to the Enhanced Excitability of Neurons Isolated from Nf1+/-Mice?","NICOL, GRANT D","NF080082","W81XWH-09-1-0174","Institution: INDIANA UNIVERSITY, INDIANAPOLIS","NFRP","Exploration - Hypothesis Development Award","Primary: Signal TransductionSecondary: Electrophysiology","2008","$142,698.00"
"Evaluation of the Effectiveness of Calmodulin Inhibitors for the Treatment of Neurofibromatosis Type 1-Associated Malignant Peripheral Nerve Sheath Tumors","CARROLL, STEVEN L","NF080089","W81XWH-09-1-0086","Institution: ALABAMA, UNIVERSITY OF, AT BIRMINGHAM","NFRP","Investigator-Initiated Research Award","Primary: ChemotherapySecondary: Signal Transduction","2008","$757,623.48"
"Pilot Study of Gleevec/Imatinib Mesylate (STI-571, NSC 716051) in Neurofibromatosis (NF1) Patients with Plexiform Neurofibromas","ROBERTSON, KENT ","NF080099","W81XWH-09-1-0120","Institution: INDIANA UNIVERSITY, INDIANAPOLIS","NFRP","Clinical Trial Award","Primary: PharmacologySecondary: Quality of Life","2008","$1,060,991.00"
"Phase 2, Open-Label, Activity, Pharmacodynamic, Pharmacokinetic, and Safety Study of PTC299 in Patients With Neurofibromatosis Type 2","BARTH, JAY A.","NF080100","W81XWH-09-1-0182","Institution: PTC THERAPEUTICS, INC.","NFRP","Clinical Trial Award","Primary: PharmacologySecondary: Anti-angiogenics","2008","$822,345.00"
"Convection-Enhanced Delivery (CED) in an Animal Model of Malignant Peripheral Nerve Sheath Tumors and Plexiform Neurofibromas","YOHAY, KALEB ","NF093027","W81XWH-10-1-0645","Institution: JOAN AND SANFORD I WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY","NFRP","Exploration - Hypothesis Development Award","Primary: PharmacologySecondary: Not Otherwise Specified","2009","$169,000.00"
"Improving Cognitive and Behavioral Function in NF1 Genetically Engineered Mice","GUTMANN, DAVID H","NF093033","W81XWH-10-1-0884","Institution: WASHINGTON UNIVERSITY","NFRP","Investigator-Initiated Research Award","Primary: Basic BehavioralSecondary: Biobehavioral Sciences","2009","$855,850.41"
"Induced Pluripotent Stem Cells as Potential Therapeutic Agents in NF1","CHERNOFF, JONATHAN ","NF093039","W81XWH-10-1-0181","Institution: INSTITUTE FOR CANCER RESEARCH","NFRP","Exploration - Hypothesis Development Award","Primary: Familial and Hereditary DisordersSecondary: Gene Therapy (Includes Vector Development)","2009","$174,348.00"
"Yap1 as a New Therapeutic Target in Neurofibromatosis Type 2","CAMARGO, FERNANDO ","NF093047","W81XWH-10-1-0724","Institution: CHILDREN'S HOSPITAL, BOSTON","NFRP","New Investigator Award","Primary: Tumor Suppresor GenesSecondary: Familial and Hereditary Disorders","2009","$690,666.00"
"Modeling Brain Defects in NF1","RATNER, NANCY ","NF093053","W81XWH-10-1-0116","Institution: CHILDREN'S HOSPITAL, CINCINNATI","NFRP","Investigator-Initiated Research Award","Primary: Cellular Structure","2009","$984,663.00"
"Transcriptional Regulation of Schwannomatosis-Related Pain and Inflammation by SMARCB1/INI1","KALPANA, GANJAM V","NF093059","W81XWH-10-1-0230","Institution: ALBERT EINSTEIN COLLEGE OF MEDICINE","NFRP","Investigator-Initiated Research Award","Primary: InflammationSecondary: Tumor Suppresor Genes","2009","$901,157.76"
