"Proposal Title","Principal Investigator","Proposal Number","Award Number","Institution","Program","Mechanism","Research Topic","Fiscal Year","Award Amount"
"Effectiveness of Negative Pressure in Promoting Tissue Ingrowth into Porous Metal Implants","MCIFF, TERENCE E","OR090802","W81XWH-10-1-0908","Institution: KANSAS, UNIVERSITY OF, MEDICAL CENTER RESEARCH INSTITUTE, INC.","PRORP","Hypothesis Development Award","Primary: Surgery","2009","$149,947.00"
"Desferrioxamine for Stimulation of Fracture Healing and Revascularization in a Bone Defect Model","WEINHOLD, PAUL S","OR090810","W81XWH-10-1-0936","Institution: NORTH CAROLINA AT CHAPEL HILL, UNIVERSITY OF","PRORP","Hypothesis Development Award","Primary: Not Otherwise Specified","2009","$144,946.00"
"Use of the TRPV1 Agonist Capsaicin to Provide Long-Term Analgesia in a Rat Limb Fracture/Open Repair, Internal Fixation Model","BUYS, MICHAEL J","OR090833","W81XWH-10-2-0093","Performing Institution: WILFORD HALL MEDICAL CENTERContracting Institution: HENRY M. JACKSON FOUNDATION","PRORP","Career Development Award","Primary: Symptom ManagementSecondary: Animal Models","2009","$174,281.10"
"The Major Extremity Trauma Research Consortium","MACKENZIE, ELLEN J","OR090851","W81XWH-10-2-0090","Institution: JOHNS HOPKINS UNIVERSITY","PRORP","Clinical Consortium Award","Primary: Centers, Clinical Centers, or Consortia","2009","$34,607,858.66"
"The BADER Consortium","STANHOPE, STEVEN J","OR100017","W81XWH-11-2-0222","Performing Institution: DELAWARE, UNIVERSITY OF","PRORP","Orthopaedic Rehabilitation Clinical Consortium Award","Primary: RehabilitationSecondary: Centers, Clinical Centers, or Consortia","2010","$19,698,544.00"
"Treatment-Based Classification versus Usual Care for Management of Low Back Pain","RHON, DANIEL ","OR100037","W81XWH-11-1-0657","Performing Institution: MADIGAN ARMY MEDICAL CENTERContracting Institution: THE GENEVA FOUNDATION","PRORP","Career Development Award","Primary: RehabilitationSecondary: Quality of Life","2010","$260,884.00"
"Assisted Bone Regrowth Engineering Advanced Materials for Tissue Regeneration","ALVAREZ, LUIS M","OR100038","W81XWH-11-1-0821","Performing Institution: NATIONAL CANCER INSTITUTEContracting Institution: THE GENEVA FOUNDATION","PRORP","Career Development Award","Primary: InjurySecondary: Not Otherwise Specified","2010","$260,894.00"
"Fluid Lavage of Open Wounds (FLOW): A Multicenter, Blinded, Factorial Trial Comparing Alternative Irrigating Solutions and Pressures in Patients with Open Fractures","JERAY, KYLE J","OR110030","W81XWH-12-1-0530","Performing Institution: GREENVILLE HEALTH SYSTEMContracting Institution: UPSTATE AFFILIATE ORGANIZATION DBA GREENVILLE HEALTH SYSTEM","PRORP","Clinical Trial Award","Primary: Surgical PreventionSecondary: Surgery","2011","$689,925.30"
"Improving Functional Outcomes of Combat-Injured Warfighters by Relieving Post-Amputation Pain Using NerveSpace Therapy","BOGGS, JOSEPH W","OR110066","W81XWH-12-2-0132","Institution: NDI MEDICAL, LLC","PRORP","Clinical Trial Award","Primary: Symptom ManagementSecondary: Device Development","2011","$2,984,077.91"
"A New Powered Flexion Wrist and Modular Prosthesis System","SEARS, HAROLD H","OR110079","W81XWH-12-1-0537","Institution: MOTION CONTROL, INC.","PRORP","Technology Development Award","Primary: Device Development","2011","$2,300,000.00"
"Acute Changes in Biomarkers of Cartilage Turnover and Joint Metabolism Following Traumatic Knee Joint Injury","CAMERON, KENNETH ","OR110084","W81XWH-12-2-0103","Performing Institution: UNITED STATES MILITARY ACADEMYContracting Institution: THE GENEVA FOUNDATION","PRORP","Translational Research Partnership Award","Primary: Clinical BiomarkersSecondary: Injury","2011","$773,162.20"
"Acute Changes in Biomarkers of Cartilage Turnover and Joint Metabolism Following Traumatic Knee Joint Injury","SVOBODA, STEVEN ","OR110084P1","W81XWH-12-2-0104","Performing Institution: UNITED STATES MILITARY ACADEMYContracting Institution: THE GENEVA FOUNDATION","PRORP","Translational Research Partnership Award","Primary: Clinical BiomarkersSecondary: Injury","2011","$17,495.21"
"Acute Changes in Biomarkers of Cartilage Turnover and Joint Metabolism Following Traumatic Knee Joint Injury","WICKISER, JOHN K","OR110084P2","W81XWH-12-2-0105","Performing Institution: UNITED STATES MILITARY ACADEMYContracting Institution: THE GENEVA FOUNDATION","PRORP","Translational Research Partnership Award","Primary: Clinical BiomarkersSecondary: Injury","2011","$72,637.26"
"Assessment of Biomarkers Associated with Joint Injury and Subsequent Post-Traumatic Arthritis","OLSON, STEVEN A. ","OR110100","W81XWH-12-1-0621","Institution: DUKE UNIVERSITY","PRORP","Translational Research Partnership Award","Primary: Clinical BiomarkersSecondary: Injury","2011","$214,267.00"
"Assessment of Biomarkers Associated with Joint Injury and Subsequent Post-Traumatic Arthritis","KRAUS, VIRGINIA B. ","OR110100P1","W81XWH-12-1-0622","Institution: DUKE UNIVERSITY","PRORP","Translational Research Partnership Award","Primary: Clinical BiomarkersSecondary: Injury","2011","$341,583.00"
"Assessment of Biomarkers Associated with Joint Injury and Subsequent Post-Traumatic Arthritis","GUILAK, FARSHID ","OR110100P2","W81XWH-12-1-0623","Institution: DUKE UNIVERSITY","PRORP","Translational Research Partnership Award","Primary: Clinical BiomarkersSecondary: Injury","2011","$611,103.39"
"Development and Clinical Trial of an Insole Sensor to Determine Optimal Limb Loading in the Rehabilitation of Open Tibia Fractures","KUBIAK, ERIK ","OR110121","W81XWH-12-2-0087","Institution: UTAH, UNIVERSITY OF","PRORP","Translational Research Partnership Award","Primary: Device DevelopmentSecondary: Rehabilitation","2011","$382,093.83"
"Development and Clinical Trial of an Insole Sensor to Determine Optimal Limb Loading in the Rehabilitation of Open Tibia Fractures","ORR, JUSTIN ","OR110121P1","W81XWH-12-2-0088","Performing Institution: WILLIAM BEAUMONT ARMY MEDICAL CENTERContracting Institution: THE GENEVA FOUNDATION","PRORP","Translational Research Partnership Award","Primary: Device DevelopmentSecondary: Rehabilitation","2011","$70,329.52"
"Development and Clinical Trial of an Insole Sensor to Determine Optimal Limb Loading in the Rehabilitation of Open Tibia Fractures","HITCHCOCK, ROBERT ","OR110121P2","W81XWH-12-2-0089","Institution: UTAH, UNIVERSITY OF","PRORP","Translational Research Partnership Award","Primary: Device DevelopmentSecondary: Rehabilitation","2011","$537,768.00"
"Supplemental Perioperative Oxygen to Reduce Surgical Site Infection after High-Energy Fracture Surgery","O'TOOLE, ROBERT V","OR110123","W81XWH-12-1-0588","Institution: MARYLAND, UNIVERSITY OF, BALTIMORE","PRORP","Clinical Trial Award","Primary: Surgical PreventionSecondary: Decision Making","2011","$2,647,910.00"
"Large Extremity Peripheral Nerve Repair","REDMOND, ROBERT ","OR110135","W81XWH-12-1-0511","Institution: MASSACHUSETTS GENERAL HOSPITAL","PRORP","Translational Research Partnership Award","Primary: Photodynamic TherapySecondary: Biologics","2011","$620,465.00"
"Large Extremity Peripheral Nerve Repair","FLEMING, MARK E","OR110135P1","W81XWH-12-1-0512","Performing Institution: WALTER REED NATIONAL MILITARY MEDICAL CENTERContracting Institution: THE GENEVA FOUNDATION","PRORP","Translational Research Partnership Award","Primary: Photodynamic TherapySecondary: Biologics","2011","$24,849.60"
"Large Extremity Peripheral Nerve Repair","WINOGRAD, JONATHAN M","OR110135P2","W81XWH-12-1-0513","Institution: MASSACHUSETTS GENERAL HOSPITAL","PRORP","Translational Research Partnership Award","Primary: Photodynamic TherapySecondary: Biologics","2011","$546,273.00"
"Early Diagnosis and Intervention Strategies for Post-Traumatic Heterotopic Ossification in Severely Injured Extremities","MUSCHLER, GEORGE F","OR110166","W81XWH-12-2-0118","Institution: CLEVELAND CLINIC FOUNDATION","PRORP","Translational Research Partnership Award","Primary: Clinical BiomarkersSecondary: Drug Development","2011","$358,850.00"
"Early Diagnosis and Intervention Strategies for Post-Traumatic Heterotopic Ossification in Severely Injured Extremities","DAVIS, THOMAS ","OR110166P1","W81XWH-12-2-0119","Performing Institution: NAVAL MEDICAL RESEARCH CENTERContracting Institution: THE GENEVA FOUNDATION","PRORP","Translational Research Partnership Award","Primary: Clinical BiomarkersSecondary: Drug Development","2011","$276,172.00"
"Early Diagnosis and Intervention Strategies for Post-Traumatic Heterotopic Ossification in Severely Injured Extremities","FORSBERG, JONATHAN ","OR110166P2","W81XWH-12-2-0120","Performing Institution: WALTER REED NATIONAL MILITARY MEDICAL CENTERContracting Institution: THE GENEVA FOUNDATION","PRORP","Translational Research Partnership Award","Primary: Clinical BiomarkersSecondary: Drug Development","2011","$279,708.44"
"Clinical Trials of Pattern Recognition, Electrode Grid, RIC Arm in TMR Subjects","KUIKEN, TODD A","OR110187","W81XWH-12-2-0072","Institution: SHIRLEY RYAN ABILITYLAB","PRORP","Clinical Trial Award","Primary: Device DevelopmentSecondary: Quality of Life","2011","$3,589,398.00"
"Treatment of Post-Traumatic Osteoarthritis via Controlled Spatiotemporal siRNA Delivery to Stem Cells","ALSBERG, EBEN ","OR110196","W81XWH-12-1-0594","Institution: CASE WESTERN RESERVE UNIVERSITY","PRORP","Translational Research Partnership Award","Primary: Stem Cell TherapySecondary: Gene Therapy (Includes Vector Development)","2011","$883,968.00"
"Treatment of Post-Traumatic Osteoarthritis via Controlled Spatiotemporal siRNA Delivery to Stem Cells","SALATA, MICHAEL ","OR110196P1","W81XWH-12-1-0595","Institution: CASE WESTERN RESERVE UNIVERSITY","PRORP","Translational Research Partnership Award","Primary: Stem Cell TherapySecondary: Gene Therapy (Includes Vector Development)","2011","$266,794.00"
"Targeted Reinnervation as a Means to Treat Neuromas Associated with Major Limb Amputation","DUMANIAN, GREGORY ARA A","OR120021","W81XWH-13-2-0100","Institution: NORTHWESTERN UNIVERSITY, CHICAGO, ILLINOIS","PRORP","Clinical Trial Award","Primary: SurgerySecondary: Symptom Management","2012","$2,454,689.00"
"Combination Therapies for the Mitigation of Musculoskeletal Pathologic Damage in a Novel Model of Severe Injury and Disuse","WADE, CHARLES E","OR120033","W81XWH-13-1-0489","Institution: TEXAS, UNIVERSITY OF, HEALTH SCIENCE CENTER AT HOUSTON","PRORP","Translational Research Partnership Award","Primary: RehabilitationSecondary: Pharmacology","2012","$664,753.00"
"Combination Therapies for the Mitigation of Musculoskeletal Pathologic Damage in a Novel Model of Severe Injury and Disuse","ZEH, HERBERT ","OR120033P1","W81XWH-13-1-0462","Institution: TEXAS, UNIVERSITY OF, SOUTHWESTERN MEDICAL CENTER AT DALLAS","PRORP","Translational Research Partnership Award","Primary: RehabilitationSecondary: Pharmacology","2012","$410,248.00"
"Accelerating Peripheral Nerve Regeneration through Spatial Signaling","TWISS, JEFFERY ","OR120042","W81XWH-13-1-0308","Institution: SOUTH CAROLINA, UNIVERSITY OF","PRORP","Idea Development Award","Primary: Signal TransductionSecondary: Neural Plasticity / Repair","2012","$624,542.00"
"Low-Intensity Vibration as a Treatment for Traumatic Muscle Injury","KOH, TIMOTHY J","OR120055","W81XWH-14-1-0281","Institution: ILLINOIS, UNIVERSITY OF, AT CHICAGO","PRORP","Idea Development Award","Primary: Not Otherwise SpecifiedSecondary: Inflammation","2013","$708,153.68"
"Preventative Therapeutics for Heterotopic Ossification","PACIFICI, MAURIZIO ","OR120056","W81XWH-13-2-0076","Institution: CHILDREN'S HOSPITAL, PHILADELPHIA","PRORP","Translational Research Partnership Award","Primary: ChemopreventionSecondary: Injury","2012","$764,270.93"
"Preventative Therapeutics for Heterotopic Ossification","FORSBERG, JONATHAN ","OR120056P1","W81XWH-13-2-0077","Performing Institution: NAVAL MEDICAL RESEARCH CENTERContracting Institution: THE GENEVA FOUNDATION","PRORP","Translational Research Partnership Award","Primary: ChemopreventionSecondary: Injury","2012","$313,852.40"
"A Breathable Prosthetic Liner for Lower Limb Amputees","GLAISTER, BRIAN ","OR120068","W81XWH-13-1-0483","Institution: CADENCE BIOMEDICAL, INC","PRORP","Idea Development Award","Primary: Device DevelopmentSecondary: Symptom Management","2012","$613,896.77"
"Early Identification of Molecular Predictors of Heterotopic Ossification Following Extremity Blast Injury with a Biomarker Assay","PELLEGRINI, VINCENT D","OR120071","W81XWH-13-2-0084","Institution: MEDICAL UNIVERSITY OF SOUTH CAROLINA","PRORP","Translational Research Partnership Award","Primary: InjurySecondary: Biomarkers","2012","$683,873.00"
"Early Identification of Molecular Predictors of Heterotopic Ossification Following Extremity Blast Injury with a Biomarker Assay","NESTI, LEON ","OR120071P1","W81XWH-13-2-0083","Performing Institution: UNIFORMED SERVICES UNIVERSITY OF THE HEALTH SCIENCES (USUHS)Contracting Institution: HENRY M. JACKSON FOUNDATION","PRORP","Translational Research Partnership Award","Primary: InjurySecondary: Biomarkers","2012","$416,483.65"
"Engineered Osteoclasts for the Treatment and Prevention of Heterotopic Ossification","GIACHELLI, CECILIA ","OR120074","W81XWH-13-1-0434","Institution: WASHINGTON, UNIVERSITY OF","PRORP","Translational Research Partnership Award","Primary: Biological Prevention / Prophylactic VaccinesSecondary: Stem Cell Therapy","2012","$549,285.00"
"Engineered Osteoclasts for the Treatment and Prevention of Heterotopic Ossification","SANGEORZAN, BRUCE ","OR120074P1","W81XWH-13-1-0435","Institution: WASHINGTON, UNIVERSITY OF","PRORP","Translational Research Partnership Award","Primary: Biological Prevention / Prophylactic VaccinesSecondary: Stem Cell Therapy","2012","$579,375.00"
"Novel Therapy for Bone Regeneration in Large Segmental Defects","KACENA, MELISSA A","OR120080","W81XWH-13-1-0407","Institution: INDIANA UNIVERSITY, INDIANAPOLIS","PRORP","Translational Research Partnership Award","Primary: Hormonal TherapySecondary: Biologics","2012","$389,944.00"
"Novel Therapy for Bone Regeneration in Large Segmental Defects","MCKINLEY, TODD ","OR120080P1","W81XWH-13-1-0500","Performing Institution: INDIANA UNIVERSITY, INDIANAPOLIS","PRORP","Translational Research Partnership Award","Primary: Hormonal TherapySecondary: Biologics","2012","$389,945.00"
"Novel Therapy for Bone Regeneration in Large Segmental Defects","CHU, TIEN-MIN G","OR120080P2","W81XWH-13-1-0501","Institution: INDIANA UNIVERSITY, INDIANAPOLIS","PRORP","Translational Research Partnership Award","Primary: Hormonal TherapySecondary: Biologics","2012","$389,944.00"
"Axon-Sorting Multifunctional Nerve Guides: Accelerating Restoration of Nerve Function","ALVAREZ, LUIS M","OR120081","W81XWH-13-2-0078","Performing Institution: UNITED STATES MILITARY ACADEMYContracting Institution: THE GENEVA FOUNDATION","PRORP","Idea Development Award","Primary: Neural Plasticity / RepairSecondary: Growth Factors/Cytokines","2012","$547,076.00"
"Optimizing Soft Tissue Management and Spacer Design in Segmental Bone Defects","MUSCHLER, GEORGE F","OR120082","W81XWH-13-2-0086","Institution: CLEVELAND CLINIC FOUNDATION","PRORP","Translational Research Partnership Award - Nested Career Development Option","Primary: SurgerySecondary: Decision Making","2012","$1,101,612.00"
"Optimizing Soft Tissue Management and Spacer Design in Segmental Bone Defects","PLUHAR, GRACE E","OR120082P1","W81XWH-13-2-0087","Institution: MINNESOTA, UNIVERSITY OF, TWIN CITIES","PRORP","Translational Research Partnership Award - Nested Career Development Option","Primary: SurgerySecondary: Decision Making","2012","$285,374.00"
"Optimizing Soft Tissue Management and Spacer Design in Segmental Bone Defects","FORSBERG, JONATHAN ","OR120082P2","W81XWH-13-2-0088","Performing Institution: NAVAL MEDICAL RESEARCH CENTERContracting Institution: HENRY M. JACKSON FOUNDATION","PRORP","Translational Research Partnership Award - Nested Career Development Option","Primary: SurgerySecondary: Decision Making","2012","$100,883.55"
"Role of Ca ++ Influx via Epidermal TRP Ion Channels","LIEDTKE, WOLFGANG B. ","OR120114","W81XWH-13-1-0299","Institution: DUKE UNIVERSITY","PRORP","Idea Development Award","Primary: Signal TransductionSecondary: Biomarkers","2012","$775,575.00"
"The Comparative Efficacy of the Masquelet versus Titanium Mesh Cage Reconstruction Techniques for the Treatment of Large Long Bone Deficiencies","GUGALA, ZBIGNIEW ","OR120128","W81XWH-13-1-0492","Institution: TEXAS MEDICAL BRANCH, UNIVERSITY OF, GALVESTON","PRORP","Clinical Trial Award","Primary: SurgerySecondary: Decision Making","2012","$840,485.00"
"Tissue-Engineered Nanofibrous Nerve Grafts for Enhancing the Rate of Nerve Regeneration","YU, XIAOJUN ","OR120140","W81XWH-13-1-0320","Institution: STEVENS INSTITUTE OF TECHNOLOGY","PRORP","Idea Development Award","Primary: Neural Plasticity / RepairSecondary: Nanotechnology","2012","$648,343.28"
"Preventing Infection by Surface Modification of Orthopaedic Fracture Fixation Implants for Improved Limb Salvage Outcomes","DESJARDINS, JOHN D","OR120150","W81XWH-14-1-0438","Institution: CLEMSON UNIVERSITY","PRORP","Translational Research Partnership Award","Primary: Surgical PreventionSecondary: Device Development","2013","$858,860.00"
"Preventing Infection by Surface Modification of Orthopaedic Fracture Fixation Implants for Improved Limb Salvage Outcomes","JERAY, KYLE J","OR120150P1","W81XWH-14-1-0439","Institution: UPSTATE AFFILIATE ORGANIZATION DBA GREENVILLE HEALTH SYSTEM","PRORP","Translational Research Partnership Award","Primary: Surgical PreventionSecondary: Device Development","2013","$116,349.00"
"Acceleration of Regeneration of Large-Gap Peripheral Nerve Injuries Using Acellular Nerve Allografts Plus Amniotic Fluid-Derived Stem Cells (AFS) ","SMITH, THOMAS L","OR120157","W81XWH-13-1-0309","Institution: WAKE FOREST UNIVERSITY HEALTH SCIENCES","PRORP","Translational Research Partnership Award","Primary: Neural Plasticity / RepairSecondary: Biologics","2012","$837,563.00"
"Acceleration of Regeneration of Large-Gap Peripheral Nerve Injuries Using Acellular Nerve Allografts Plus Amniotic Fluid-Derived Stem Cells (AFS)","LI, ZHONGYU J","OR120157P1","W81XWH-13-1-0310","Institution: WAKE FOREST UNIVERSITY HEALTH SCIENCES","PRORP","Translational Research Partnership Award","Primary: Neural Plasticity / RepairSecondary: Biologics","2012","$102,223.00"
"Identification and Manipulation of a Novel Signaling Mechanism To Improve Articular Cartilage Restoration After Posttraumatic Joint Injury","EVSEENKO, DENIS A","OR120161","W81XWH-13-1-0465","Institution: UNIVERSITY OF SOUTHERN CALIFORNIA","PRORP","Idea Development Award","Primary: Stem Cell TherapySecondary: Signal Transduction","2012","$748,140.00"
"Proteomic Analysis of Trauma-Induced Heterotopic Ossification Formation","GIMBLE, JEFFREY M","OR120163","W81XWH-13-2-0097","Institution: TULANE UNIVERSITY","PRORP","Idea Development Award - Nested Career Development Option","Primary: Stem Cell TherapySecondary: Biomarkers","2012","$960,349.69"
"Peripheral Nerve Repair and Prevention of Neuroma Formation","DAVIS, ALAN R","OR120168","W81XWH-13-1-0286","Institution: BAYLOR COLLEGE OF MEDICINE","PRORP","Idea Development Award","Primary: InjurySecondary: Neural Plasticity / Repair","2012","$758,295.11"
"Development of Moisture Management Liner and Active Cooling System for Improving Residual Limb Skin Care","HIRSCHMAN, GORDON B","OR120169","W81XWH-13-1-0453","Institution: VIVONICS, INC.","PRORP","Idea Development Award","Primary: Device DevelopmentSecondary: Symptom Management","2012","$812,623.66"
"Enhancing Peripheral Nerve Regeneration With a Novel Drug-Delivering Nerve Conduit","AGARWAL, JAYANT ","OR120181","W81XWH-13-1-0363","Institution: UTAH, UNIVERSITY OF","PRORP","Idea Development Award","Primary: Targeted TherapiesSecondary: Neural Plasticity / Repair","2012","$744,145.00"
"Improved Healing of Large, Osseous, Segmental Defects by Reverse Dynamization: Evaluation in a Sheep Model","EVANS, CHRISTOPHER H","OR120192","W81XWH-13-1-0324","Institution: MAYO CLINIC","PRORP","Translational Research Partnership Award","Primary: Device DevelopmentSecondary: Surgery","2012","$855,958.00"
"Improved Healing of Large, Osseous, Segmental Defects by Reverse Dynamization: Evaluation in a Sheep Model","VRAHAS, MARK ","OR120192P1","W81XWH-13-1-0351","Institution: MASSACHUSETTS GENERAL HOSPITAL","PRORP","Translational Research Partnership Award","Primary: Device DevelopmentSecondary: Surgery","2012","$80,832.96"
"Myofibroblast Inhibition To Prevent Posttraumatic Joint Contracture","KATHJU, SANDEEP ","OR120204","W81XWH-13-1-0300","Institution: PITTSBURGH, UNIVERSITY OF","PRORP","Idea Development Award","Primary: InjurySecondary: Gene Therapy (Includes Vector Development)","2012","$754,139.00"
"Prevention of the Posttraumatic Fibrotic Response in Joints","FERTALA, ANDRZEJ ","OR120205","W81XWH-13-1-0393","Institution: JEFFERSON MEDICAL COLLEGE","PRORP","Translational Research Partnership Award","Primary: InjurySecondary: Biologics","2012","$1,097,384.00"
"Prevention of the Posttraumatic Fibrotic Response in Joints","ABBOUD, JOSEPH ","OR120205P1","W81XWH-13-1-0394","Institution: RECONSTRUCTIVE ORTHOPAEDIC ASSOCIATES, II PC","PRORP","Translational Research Partnership Award","Primary: InjurySecondary: Biologics","2012","$0.00"
"Prevention of the Posttraumatic Fibrotic Response in Joints","BEREDJIKLIAN, PEDRO K","OR120205P2","W81XWH-13-1-0395","Institution: RECONSTRUCTIVE ORTHOPAEDIC ASSOCIATES, II PC","PRORP","Translational Research Partnership Award","Primary: InjurySecondary: Biologics","2012","$0.00"
"Stress-Altered Stem Cells With Decellularized Allograft To Improve Rate of Nerve Regeneration","VACANTI, CHARLES A","OR120208","W81XWH-13-1-0298","Institution: BRIGHAM AND WOMEN'S HOSPITAL, INC.","PRORP","Idea Development Award","Primary: BiologicsSecondary: Neural Plasticity / Repair","2012","$529,807.72"
"Development of Class II Medical Device for Clinical Translation of a Novel PEG Fusion Method for Immediate Physiological Recovery After Peripheral Nerve Injury","THAYER, WESLEY P","OR120216","W81XWH-13-1-0447","Institution: VANDERBILT UNIVERSITY MEDICAL CENTER","PRORP","Translational Research Partnership Award","Primary: Device DevelopmentSecondary: Neural Plasticity / Repair","2012","$699,502.40"
"Development of Class II Medical Device for Clinical Translation of a Novel PEG Fusion Method for Immediate Physiological Recovery After Peripheral Nerve Injury","DEISTER, CURT A","OR120216P1","W81XWH-13-1-0448","Institution: AXOGEN INC.","PRORP","Translational Research Partnership Award","Primary: Device DevelopmentSecondary: Neural Plasticity / Repair","2012","$394,878.46"
"HaloGel for the Prevention of Posttraumatic Knee Contracture and Stiffness","BURNETT, LUKE ","OR120222","W81XWH-13-1-0466","Performing Institution: KERATIN BIOSCIENCES, INC.","PRORP","Idea Development Award","Primary: InflammationSecondary: Drug Development","2012","$793,555.48"
"Using Arrays of Microelectrodes Implanted in Residual Peripheral Nerves to Provide Dexterous Control of, and Modulated Sensory Feedback from, a Hand Prosthesis","GREGER, BRADLEY ","OR130020","W81XWH-14-1-0456","Institution: ARIZONA STATE UNIVERSITY, TEMPE","PRORP","Translational Research Award","Primary: Not Otherwise SpecifiedSecondary: Targeted Therapies","2013","$435,141.14"
"An Innovative Residual Limb-Lengthening Device","KUIKEN, TODD ","OR130080","W81XWH-14-1-0136","Institution: SHIRLEY RYAN ABILITYLAB","PRORP","Idea Development Award","Primary: Device DevelopmentSecondary: Surgery","2013","$574,773.01"
"Vitamin D Supplementation for Prevention of Post-Traumatic Osteoarthritis: Evaluation in Animal and Clinical Models","WOLF, JENNIFER M","OR130096","W81XWH-14-2-0136","Institution: CHICAGO, UNIVERSITY OF","PRORP","Translational Research Award","Primary: ChemopreventionSecondary: Injury","2013","$1,062,293.00"
"Electric Field Stimulation Enhances Healing of Post-Traumatic Osteoarthritic Cartilage","BULINSKI, J. CHLOE ","OR130124","W81XWH-14-1-0591","Institution: COLUMBIA UNIVERSITY","PRORP","Idea Development Award","Primary: Not Otherwise SpecifiedSecondary: Stem Cell Therapy","2013","$642,256.00"
"Evaluation of Spine Health and Spine Mechanics in Servicemembers with Traumatic Lower Extremity Amputation or Injury","HENDERSHOT, BRADFORD D","OR130150","W81XWH-14-2-0144","Performing Institution: WALTER REED NATIONAL MILITARY MEDICAL CENTERContracting Institution: HENRY M. JACKSON FOUNDATION","PRORP","Translational Research Award","Primary: InjurySecondary: Digital Imaging","2013","$601,388.78"
"A Pilot Study to Test the Efficacy of Psychologically Based Physical Therapy Training for Treating Deployed U.S. Sailors and Marines with Musculoskeletal Injuries","WEISER, SHERRI R","OR130160","W81XWH-14-2-0146","Institution: NEW YORK UNIVERSITY SCHOOL OF MEDICINE","PRORP","Clinical Trial Award","Primary: RehabilitationSecondary: Behavioral / Cognitive / Psychological Therapies","2013","$1,003,434.00"
"Smart Sensing and Dynamic Fitting for Enhanced Comfort and Performance of Prosthetics","HUANG, HAIYING ","OR130167","W81XWH-14-1-0502","Institution: TEXAS, UNIVERSITY OF, AT ARLINGTON","PRORP","Idea Development Award","Primary: Device DevelopmentSecondary: Computer-aided Diagnosis","2013","$701,103.04"
"Preventing Cartilage Degeneration in Warfighters by Elucidating Novel Mechanisms Regulating Osteocyte-Mediated Perilacunar Bone Remodeling","ALLISTON, TAMARA N","OR130191","W81XWH-14-1-0497","Institution: CALIFORNIA, UNIVERSITY OF, SAN FRANCISCO","PRORP","Idea Development Award","Primary: InjurySecondary: Signal Transduction","2013","$789,417.30"
"Treating Post-Traumatic Osteoarthritis by Promoting Autologous Stem Cell-Mediated Cartilage Regeneration","TANG, LIPING ","OR130206","W81XWH-14-1-0459","Institution: TEXAS, UNIVERSITY OF, AT ARLINGTON","PRORP","Translational Research Award","Primary: Stem Cell Therapy","2013","$1,044,801.00"
"Evaluating Efficacy of Novel Therapeutics for Mitigating Post-Traumatic Osteoarthritis","LOOTS, GABRIELA ","OR130220","MIPR10567487","Institution: LAWRENCE LIVERMORE NATIONAL LABORATORY","PRORP","Idea Development Award","Primary: Drug DevelopmentSecondary: Clinical Biomarkers","2013","$822,612.00"
"Cellular Source of Adult Articular Cartilage Maintenance and Repairs","MEI, HONG ","OR130235","W81XWH-14-1-0361","Institution: MASSACHUSETTS GENERAL HOSPITAL","PRORP","Idea Development Award","Primary: Growth Factors/CytokinesSecondary: Cellular Development","2013","$815,094.00"
"Nonsurgical Treatment of Arthrofibrosis","MARTIN, JAMES A","OR130239","W81XWH-14-1-0327","Institution: IOWA, UNIVERSITY OF","PRORP","Translational Research Award","Primary: ChemopreventionSecondary: Targeted Therapies","2013","$1,098,613.00"
"Clinical Validation of the Virtual Stress Test (Planning Study)","KOPPERDAHL, DAVID ","OR130251","W81XWH-14-1-0202","Institution: O.N. DIAGNOSTICS, LLC.","PRORP","Clinical Trial Development Award","Primary: Computer-aided DiagnosisSecondary: Decision Making","2013","$280,000.00"
"Perspiration Thresholds and Secure Suspension for Lower Limb Amputees in Demanding Environments","KLUTE, GLENN K","OR130260","W81XWH-14-1-0188","Institution: SEATTLE INSTITUTE FOR BIOMEDICAL AND CLINICAL RESEARCH","PRORP","Idea Development Award","Primary: Device DevelopmentSecondary: Symptom Management","2013","$673,298.75"
"Enzyme-Responsive Hydrogels for Treatment of Post-Traumatic Osteoarthritis","KARP, JEFFREY M","OR130262","W81XWH-14-1-0229","Institution: BRIGHAM AND WOMEN'S HOSPITAL, INC.","PRORP","Translational Research Award","Primary: InflammationSecondary: Chemoprevention","2013","$1,274,217.93"
"Customized Fabrication of Osteochondral Tissue for Articular Joint Surface Repair","TUAN, ROCKY S","OR130296","W81XWH-14-1-0217","Institution: PITTSBURGH, UNIVERSITY OF","PRORP","Idea Development Award","Primary: Stem Cell TherapySecondary: Device Development","2013","$770,000.00"
"Targeted Nanoparticles to Silence MMP-13 for Prevention of Post-Traumatic Osteoarthritis","DUVALL, CRAIG L","OR130302","W81XWH-14-1-0298","Institution: VANDERBILT UNIVERSITY","PRORP","Idea Development Award","Primary: NanotechnologySecondary: Targeted Therapies","2013","$767,330.00"
"A Novel EphA4-Based Small Molecule-Based Therapeutic Strategy for Prevention and Treatment of Post-Traumatic Osteoarthritis","LAU, KIN-HING W","OR130346","W81XWH-14-1-0207","Performing Institution: VA MEDICAL CENTER, LOMA LINDA, CAContracting Institution: LOMA LINDA VETERANS ASSOCIATION FOR RESEARCH AND EDUCATION (LLVARE)","PRORP","Idea Development Award","Primary: BiologicsSecondary: Biological Prevention / Prophylactic Vaccines","2013","$689,944.00"
