,Proposal Number,Publication
140,OR090591,"McLaughlin S, Cui Z, Starnes T, et al.  2012.  Injetable thermogelling chitosan for the local delivery of bone morphogenetic protein.  J Mater Sci Mater Med 23:2141."
141,OR090591,"McLaughlin S, Cui Z, Starnes T, et al.  2012.  Injectable thermogelling chitosan for the local delivery of bone morphogenetic protein.  Journal of Material Science: Materials in Medicine 23:2141."
142,OR090591,"Book Chapters
Singh H, and Nair LS.  2012.  Injectable in situ gelling hydrogels as Biomaterials.  In: Handbook of Integrated Biomaterials for Medical Application (Ramalingam M, Tiwari A, Ramakrishna S, Kobayashi H (Eds.).  VBRI Press pp. 359-396."
143,OR090591,"Brittan S, Gohil BS, and Nair LS.  2014.  Statins as bioactive molecules to support bone regeneration.  Curr Med Chem 21:2980-2988."
144,OR090591,"Gohil SV, Adams DJ, Maye P, et al.  2014.  Evaluation of rhBMP-2 and bone marrow derived stromal cell mediated bone regeneration using transgenic fluorescent protein reporter mice.  J Biomed Mater Res Part A 102(12):4568-4580."
145,OR090591,Gohil SV and Nair LS.  2014.  Effect of degree of acetylation of chitosan on macrophage function.  Biomater Sci Proc Prop Applic IV 25(1):95-104.
146,OR090591,"McLaughlin S, Cui Z, Starnes T, et al.  2012.  Injectable thermogelling chitosan for the local delivery of bone morphogenetic protein.  J Material Science: Materials in Medicine 23(9):2141-2149.

"
147,OR090591,"Singh H and Nair LS.  2012.  Injectable in situ gelling hydrogels as biomaterials.  In: Biomaterials and Stem Cells in Regenerative Medicine (Ramalingam M, Ramakrishna S, and Best S, Eds.) CRC Press."
148,OR090591,"Foley PL, Ulery B, Kan H, et al.  2013.  Sustained neural blockade via chitosan thermogel delivery of ropivacaine nanoparticles.  J Controlled Delivery 34:2539."
149,OR090617,"Dai X, Tan Y, Cai S, et al.  2011.  The role of CXCR7 on the adhesion, proliferation and angiogenesis of endothelial progenitor cells.  J Cell Mol Med 15:1299-1309."
150,OR090617,"Zhao Y, Tan Y, Xi S, et al.  2013.  A novel mechanism by which SDF-1beta protects cardiac cells from palmitate-induced endoplasmic reticulum stress and apoptosis via CXCR7 and AMPK/p38 MAPK-mediated interleukin-6 generation.  Diabetes 62(7):2545-2458."
151,OR090621,"Pace LA, Plate JF, Smith TL, et al.  2013.  The effect of human hair keratin hydrogel on early cellular response to sciatic nerve injury in a rat model.  Biomaterials 34(24):5907-5914."
152,OR090621,"Sierpinski P, Garrett J, Ma J, et al.  2008.  The use of keratin biomaterials derived from human hair for the promotion of rapid regeneration of peripheral nerves.  Biomaterials 29(1):118-128."
153,OR090621,"Hill P, Apel PJ, Barnwell J, et al.  2011.  Repair of peripheral nerve defects in rabbits using keratin hydrogel scaffolds.  Tissue Eng Part A 17(11-12):1499-1505."
154,OR090621,"Pace L, Plate J, Mannava S, et al.  2014.  A human hair Keratin hydrogel scaffold enhances median nerve regeneration in non-human primates: An electrophysiological and histological study.  Tissue Eng Part A 20(3-4):507-517."
155,OR090621,"Lin YC, Ramadan M, Van Dyke M, et al.  2012.  Keratin gel filler for peripheral nerve repair in a rodent sciatic nerve injury model.  Plast Reconstr Surg 129:67-78."
156,OR090638,"Lin HN, and O'Connor JP. 2014. Immunohistochemical localization of key arachidonic acid metabolism enzymes during fracture healing in mice. PLoS One 9(2):e88423."
157,OR090645,"Zhang Q, Cigan AD, MarreroC, et al.  2011.  Expression of doublecortin reveals articular chondrocyte lineage in mouse embryonic limbs.  Genesis 49:75-78."
158,OR090669,"Chuang T-H, Wilson R, Fisher JP, et al.  2011.  A novel biomedical device for tensile loading of peripheral nerves to promote regeneration.  Tissue Engineering C. 19(6):427-437."
159,OR090686,"Seol D, McCabe DJ, Choe H, et al.  2012.  Chondrogenic progenitor cells respond to cartilage injury.  Arthritis Rheum 64(11):3626-3637.

"
160,OR090687,"Jennings JA, Courtney HS, and Haggard WO:  2012.  Cis-2-decenoic acid inhibits S. aureus growth and biofilm in vitro: A pilot study.  Clinical Orthop and Relat Res 470(10):2663-2670."
161,OR090693,"Bhat A, Hoch AI, Decaris ML, et al. 2013. Alginate hydrogels containing cell-interactive beads for bone formation.  FASEB J 27(12):4844-4852."
162,OR090693,"Davis HE, Binder BY, Schaecher P, et al. 2013. Enhancing osteoconductivity of fibrin gels with apatite-coated polymer microspheres. Tissue Eng Part A. 19(15-16):1773-82."
163,OR090693,Ingavle GC and Leach JK. 2014. Advancements in electrospinning of polymeric nanofibrous scaffolds for tissue engineering. Tissue Eng Part B Rev 20(4):277-293.
164,OR090700,"Dong L, Smith JR, Winkelstein BA.  2013.  Ketorolac reduces spinal astrocytic activation and PAR1 expression associated with attenuation of pain after facet point injury.  J Neurotrauma 30(10):818-825."
165,OR090703,"Sengul A, Santisuk R, Xing W, et al.  2012.  Systemic administration of an antagomir designed to inhibit miR-92, a regulator of angiogenesis, failed to modulate skeletal anabolic response to mechanical loading.  Physiol Res 62(2):221-226."
166,OR090762,"Holmes HR, Tan EL, Ong KG, et al.  2012.  Fabrication of biocompatible, vibrational magnetoelastic films for controlling cellular adhesion.  Biosensors 2:57-69."
167,OR090775,"Ganesh N, Hanna C, Nair SV, et al.  2013.   Enzymatically cross-linked alginic-hyaluronic acid composite hydrogels as cell delivery vehicles. Int J Biol Macromol 55:289-294.

"
168,OR090775,"Amini AA, Kan H, Cui Z, et al.  2014.  Enzymatically cross-linked bovine lactoferrin as injectable hydrogel for cell delivery.  Tissue Eng Part A 39-42."
169,OR090775,Amini AA and Nair LS.  2014.  Recombinant human lactoferrin as a biomaterial for bone tissue engineering: Mechanism of antiapoptotic and osteogenic activity.  Adv Healthc Mater 3(6):897-905.
170,OR090775,James E and Nair LS.  2013.  Development and characterization of lactoferrin loaded poly(e-caprolactone) nanofibers.  J Biomed Nanotechnol 3:1.
171,OR090775,"Amini A, and Nair LS. 2013.  Evaluation of the bioactivity of recombinant human lactoferrins towards murine preosteoblast cells. Tissue engineering: Part A, 19(9 and 10):1047-1055.
"
172,OR090775,"James E, and Nair LS. 2013.  Development and characterization of lactoferrin loaded poly(ecaprolactone) nanofibers. J Biomedical Nano Volume 9.
"
173,OR090775,"Amini A and Nair LS.  2012.  Enzymatically cross-linked injectable gelatin gel as osteoblast delivery vehicle.  J Bioact Compat Polym 27(4): 342-355.
"
174,OR090775,Amini A and Nair LS.  2012.  Injectable hydrogels for bone and cartilage regeneration.  Biomed Mater 7(2):024105.
175,OR090775,"Amini AA, and Nair LS.  2011.  Lactoferrin A biologically active molecule for bone regeneration.  Cur Med Chem 18:1220-1229."
176,OR090775,"Book chapter: Singh H, and Nair LS. 2012.  Injectable in situ gelling hydrogels as Biomaterials. Handbook of Integrated; pp. 359-396.
"
177,OR090851,"Castillo RC, Mackenzie EJ, and Bosse MJ. 2012.  METRC Investigators. Measurement of functional outcomes in the Major Extremity Trauma Research Consortium (METRC). J Am Acad Orthop Surg 20(suppl 1):S59-S63."
178,OR090851,"Wegener ST, Carroll EA, Gary JL, McKinley TO, O'Toole RV, Sietsema DL, Castillo RC, Frey KP, Scharfstein DO, Huang Y, et al. Major Extremity Trauma Research Consortium (METRC). Trauma Collaborative Care Intervention: Effect on Surgeon Confidence in Managing Psychosocial Complications After Orthopaedic Trauma. J Orthop Trauma. 2017 Aug;31(8):427-433. doi: 10.1097/BOT.0000000000000867. PubMed PMID: 28430718."
179,OR090851,METRC 1.  2016.  Building a clinical research network in trauma orthopaedics: The major extremity trauma research consortium (METRC).  J Orthopaedic Trauma 30(7):353-361.
180,OR090851,ETRC 1.  2016.  Variation in treatment of displaced geriatric acetabular fractures among 15 Level 1 trauma centers.  J Orthopaedic Trauma 30(9):457-462.
181,OR090851,"Schmidt AH, Bosse MJ, Obremskey WT, et al. Continuous Near-Infrared Spectroscopy Demonstrates Limitations in Monitoring the Development of Acute Compartment Syndrome in Patients with Leg Injuries. The Journal of bone and joint surgery. American volume. 2018. 100(19): 1645-1652. https://doi.org/10.2106/JBJS.17.01495 PMID:30277994"
182,OR090851,"Wegener ST, Pollak AN, Frey KP, Hymes RA, Archer KR, Jones CB, Seymour RB, O'Toole RV, Castillo RC, Huang Y, et al. The Trauma Collaborative Care Study (TCCS). J Orthop Trauma. 2017 Apr;31 Suppl 1:S78-S87. doi: 10.1097/BOT.0000000000000792. Erratum in: J Orthop Trauma. 2017 Sep;31(9):e308. PubMed PMID: 28323807."
183,OR090851,"Castillo RC, Huang Y, Scharfstein D, et al. 2018. Association Between 6-Week Postdischarge Risk Classification and 12-Month Outcomes After Orthopedic Trauma. JAMA Surg. 154(2). doi:10.1001/jamasurg.2018.4824."
184,OR090851,"Bosse MJ, Morshed S, Reider L, Ertl W, Toledano J, Firoozabadi R, Seymour RB, Carroll E, Scharfstein DO, Steverson B, et al. Transtibial Amputation Outcomes Study (TAOS): Comparing Transtibial Amputation With and Without a Tibiofibular Synostosis (Ertl) Procedure. J Orthop Trauma. 2017 Apr;31 Suppl 1:S63-S69. doi: 10.1097/BOT.0000000000000791. PubMed PMID: 28323804."
185,OR090851,"Castillo RC, Raja SN, Frey KP, Vallier HA, Tornetta P 3rd, Jaeblon T, Goff BJ, Gottschalk A, Scharfstein DO, O'Toole RV; METRC. Improving Pain Management and Long-Term Outcomes Following High-Energy Orthopaedic Trauma (Pain Study). J Orthop Trauma. 2017 Apr;31 Suppl 1:S71-S77. doi: 10.1097/BOT.0000000000000793. Erratum in: J Orthop Trauma. 2017 Sep;31(9):e308. PubMed PMID: 28323806."
186,OR090851,"Bosse MJ, Teague D, Reider L, Gary JL, Morshed S, Seymour RB, Toledano J, Cannada LK, Steverson B, Scharfstein DO, et al. Outcomes After Severe Distal Tibia, Ankle, and/or Foot Trauma: Comparison of Limb Salvage Versus Transtibial Amputation (OUTLET). J Orthop Trauma. 2017 Apr;31 Suppl1:S48-S55. doi: 10.1097/BOT.0000000000000799. Erratum in: J Orthop Trauma. 2017 Sep;31(9):e307. PubMed PMID: 28323802."
187,OR090851,"Schmidt AH, Bosse MJ, Frey KP, O'Toole RV, Stinner DJ, Scharfstein DO, Zipunnikov V, MacKenzie EJ; METRC. Predicting Acute Compartment Syndrome (PACS): The Role of Continuous Monitoring. J Orthop Trauma. 2017 Apr;31 Suppl 1:S40-S47. doi: 10.1097/BOT.0000000000000796. PubMed PMID: 28323801."
188,OR100017,Schrank E and Stanhope SJ.  2011.  Dimensional accuracy of ankle-foot orthoses constructed by an automated fit customization and rapid manufacturing framework.  J Rehab Res Dev 48(1):31-42.  
189,OR100017,Dingwell JB and Cusumano JP.  2015.  Identifying stride¿to¿stride control strategies in human treadmill walking.  PLoS ONE 10(4): e0124879.
190,OR100017,"Ziemke G, Campello M, Hiebert R, et al.  2015.  Does coordinated multidisciplinary treatment limit disability and attrition related to spine conditions in the US Navy.  Clin. Orthop Relat Res 473(9):2920-2928."
191,OR100017,"John J, Dingwell JB, and Cusumano JP.  2016.  Error correction and the structure of inter-trial fluctuations in a redundant movement task.  PLoS Computational Biology 12(9): e1005118."
192,OR100017,"Sheehan RC, Rylander JH, Wilken JM, et al.  2016.  Use of Perturbation-Based Gait Training in a Virtual Environment to Address Mediolateral Instability in an Individual With Unilateral Transfemoral Amputation.  Phys Ther 96(12):1896-1904."
193,OR100017,"Takahashi KZ, Kepple TM, and Stanhope SJ.  2012.  A unified deformable (UD) segment model for quantifying total power of anatomical and prosthetic below-knee structures during stance in gait.  J Biomechanics 45:2662-2667.  "
194,OR100037,"Rhon DI, Deyle GD, and Gill NW.  2013.  Clinical reasoning and advanced practice privileges enable physical therapist point-of-care decisions in the military health care system: 3 clinical cases.  Phys The 93(9):1234-1243."
195,OR100037,"Rohn D, Deyle G, Gill N, et al.  2013.  Manual physical therapy and perturbation exercises in knee osteoarthritis.  J Man Manip Ther 21(4):220-228."
196,OR100037,"Rohn DI, Boyles RB, and Cleland JA.  2014.  One-year outcome of subacromial corticosteroid injection compared with manual physical therapy for the management of the unilateral shoulder impingement syndrome: a pragmatic randomized trial.  Ann Intern Med 161(3):161-169."
197,OR100037,Rhon D and Fritz J. 2015. COMParative Early Treatment Effectiveness between physical therapy and usual care for low back pain (COMPETE): study protocol for a randomized controlled trial. Trials. 16: 423. doi: 10.1186/s13063-015-0959-8.
198,OR100038,"Jay SM, Murthy AC, Hawkins JF, et al.  2013.  An engineered bivalent neuregulin protects against doxorubicin-induced cardiotoxicity with reduced pro-neoplastic potential.  Circulation 128(2):152-161."
199,OR100038,"Hong J, Alvarez LM, Shah NJ, et al.  2012.  Multilayer thin-film coatings capable of extended programmable drug release: application to human mesenchymal stem cell differentiation.  Drug Deliv Transl Res 2(5):375-383."
200,OR110030,"Bhandari M, Petrisor BA, and Jeray KJ.  2016.  Wound irrigation in initial management of open fractures.  N Engl J Med 374(18):1789-1790.  Response to Letter to the Editor."
201,OR110066,"Ilfeld BM, Gabriel RA, Saulino MF, Chae J, Peckham PH, Grant SA, Gilmore CA, Donohue MC, deBock MG, Wongsarnpigoon A, Boggs JW. Infection Rates of Electrical Leads Used for Percutaneous Neurostimulation of the Peripheral Nervous System. Pain Pract. 2017 Jul;17(6):753-762. doi: 10.1111/papr.12523. Epub 2016 Nov 11. Review. PubMed PMID: 27676323; PubMed Central PMCID: PMC5368033."
202,OR110066,"Gilmore C, Ilfeld B, Rosenow J, Li S, Desai M, Hunter C, Rauck R, Kapural L, Nader A, Mak J, et al. Percutaneous peripheral nerve stimulation for the treatment of chronic neuropathic postamputation pain: a multicenter, randomized, placebo-controlled trial. Reg Anesth Pain Med. 2019 Jun;44(6):637-645. doi: 10.1136/rapm-2018-100109. Epub 2019 Apr 5. PubMed PMID:30954936."
203,OR110066,"Cohen SP, Gilmore CA, Rauck RL, Lester DD, Trainer RJ, Phan T, Kapural L, North JM, Crosby ND, Boggs JW. Percutaneous Peripheral Nerve Stimulation for the Treatment of Chronic Pain Following Amputation. Mil Med. 2019 May 21. pii:usz114. doi: 10.1093/milmed/usz114. [Epub ahead of print] PubMed PMID: 31111898."
204,OR110135,"Fairbairn NG, Ng-Glazier J, Meppelink A, et al.  2016.  Light-activated sealing of acellular nerve allografts following nerve gap injury.  J Reconstruct Microsurg 32(6):421-430"
205,OR110135,"Fairbairn NG, Ng-Glazier J, Meppelink A, et al.  2015.  Light-activated sealing of nerve graft coaptation sites improves outcome following large gap peripheral nerve injury.  Plast Reconstruct Surg 136(4):739-750."
206,OR110135,"Fairbairn NG, Randolph MA, and Redmond  RW.  2014.  The clinical applications of amnion in plastic surgery.  J Plast Reconstr Aesthet Surg 67(5):662-675."
207,OR110135,"Fairbairn NG, Ng-Glazier J, Meppelink A, et al.  2016.  Large gap nerve reconstruction using acellular nerve allografts and photochemical tissue bonding.  Plast Reconstruct Surg, in press."
208,OR110135,"Kochevar IE, and Redmond RW. 2016.  Light-activated wound healing and tissue modification. The Biochemist 38(6):20-23."
209,OR110135P1,"Kochevar IE, and Redmond RW.  2016.  Light-activated wound healing and tissue modification.  The Biochemist 38(6):20-23."
210,OR110135P1,"Fairbairn NG, Ng-Glazier J, Meppelink AM, et al.  2016.  Improving outcomes in immediate and delayed nerve grafting of peripheral nerve gaps using light-activated sealing of neurorrhaphy sites with human amnion wraps.  Plast Reconstr Surg 137(3):887-895."
211,OR110135P1,"Fairbairn NG, Ng-Glazier J, Meppelink A, et al.  2016.  Light-activated sealing of acellular nerve allografts following nerve gap injury.  J Reconstr Microsurg  32(6):421-430."
212,OR110135P1,"Fairbairn NG, Randolph MA, Redmond RW.  2014.  The clinical applications of amnion in plastic surgery.  J Plast Reconstr Aesthet Surg 67(5):662-675."
213,OR110135P1,"Fairbairn NG, Ng-Glazier J, Meppelink A, et al.  2015.  Light-activated sealing of acellular nerve allografts following nerve gap injury.  J Reconstruct Microsurg 136(4):739-750."
214,OR110135P1,"Fairbairn NG, Ng-Glazier J, Meppelink A, et al.  2015.  Light-activated sealing of nerve graft coaptation sites improves outcome following large gap peripheral nerve injury.  Plast Reconstruct Surg 136(4):739-750."
215,OR110135P2,"Fairbairn NG, Randolph MA, Redmond RW.  2014.  The clinical applications of amnion in plastic surgery.  J Plast Reconstr Aesthet Surg 67(5):662-675."
216,OR110135P2,"Kochevar IE, and Redmond RW. 2016.  Light-activated wound healing and tissue modification. The Biochemist 38(6):20-23."
217,OR110135P2,"Fairbairn NG, Ng-Glazier J, Meppelink AM, Randolph MA, Winograd JM, Redmond RW. Improving outcomes in immediate and delayed nerve grafting of peripheral nerve gaps using light-activated sealing of neurorrhaphy sites with human amnion wraps. Plast Reconstr Surg. 2016, 137(3):887-895."
218,OR110135P2,"Fairbairn NG, Ng-Glazier J, Meppelink A, et al.  2016.  Light-activated sealing of acellular nerve allografts following nerve gap injury.  J Reconstruct Microsurg. 32(6):421-430."
219,OR110135P2,"Fairbairn NG, Ng-Glazier J, Meppelink A, et al. 2015. Light-activated sealing of nerve graft coaptation sites improves outcome following large gap peripheral nerve injury. Plast Reconstruct Surg 136(4):739-750."
220,OR110196,"Cong CT, Nguyen MK, Tonga GY, et al.  2016.  Photocleavable hydrogels for light-triggered siRNA release.  Adv Healthc Mater 5(3):305-310."
221,OR110196,"Jeon O and Alsberg E.  2013.  Photofunctionalization of alginate hydrogels to promote adhesion and proliferation of human mesenchymal stem cells.  Tissue Eng Part A 19 (11-12):1424-1432.

"
222,OR110196,"Nguyen K, Jeon O, Krebs MD, et al.  2014.  Sustained localized presentation of RNA interfering molecules from in situ forming hydrogels to guide stem osteogenic differentiation.  Biomaterials 35(24):6278-6286."
223,OR110196,"Solorio L, Vieregge E, Dhami C, et al.  2013.  High density cell systems incorporating polymer microspheres as microenvironmental regulators in engineering cartilage tissues.  Tissue Eng Part B 19(3):209-220."
224,OR110196,"Hill MC, Nguyen MK, Jeon O, et al.  2015.  Spatial control of cell gene expression by siRNA gradients in biodegradable hydrogels . Adv Healthc Mater 4(5):714-722."
225,OR110196,"Jeong SI, Burns NA, Bonino CA, et al.  2014.  Improved cell infiltration of highly porous 3D nanofibrous scaffolds formed by combined fiber-fiber charge repulsions and ultrasonication.  J Mater Chem B Mater Biol Med 2(46):8116-8122."
226,OR110196,"Cheng C, Solorio LD, and Alsberg E.  2014. Decullularized tissues for orthopaedic tissue engineering.  Biotech Adv 32(2):462-484."
227,OR110196,"Nguyen K, and Alsberg E.  2014.  Bioactive factor delivery strategies from engineered polymer hydrogels for therapeutic medicine.  Prog Polym Sci 39(7):1236-1265."
228,OR110196,Samorezov JE and Alsberg E.  2015.  Spatial regulation of controlled bioactive factor delivery for bone tissue engineering.  Adv Drug Deliv Rev 84:45-67.
229,OR110196P1,"Jeon O, and Alsberg E.  2013.  : Photofunctionalization of alginate hydrogels to promote adhesion and proliferation of human mesenchymal stem cells.  Tissue Engineering, Part A, 19(11-12):1424-1432."
230,OR110196P1,"Solorio L, Vieregge E, Dhami C, et al.  2013.  High density cell systems incorporating polymer microspheres as microenvironmental regulators in engineering cartilage tissues.  Tissue Engineering, Part B, 19(3):209-220."
231,OR110196P1,"Huynh CT, Nguyen MK, Tonga GY, et al.  2016.  Photocleavable hydrogels for light-triggered siRNA release.  Advanced Healthcare Materials 5(3):305-310."
232,OR110196P1,"Cheng C, Solorio LD, and Alsberg E.  2014.  Decellularized tissues for orthopaedic tissue engineering.  Biotechnology Advances 32(2):462-484."
233,OR110196P1,"Hill MC, Nguyen MK, Jeon O, et al.  2015.  Spatial control of cell gene expression by siRNA gradients in biodegradable hydrogels . Adv Healthc Mater 4(5):714-722."
234,OR110196P1,Samorezov JE and Alsberg E.  2015.  Spatial regulation of controlled bioactive factor delivery for bone tissue engineering.  Adv Drug Deliv Rev 84:45-67.
235,OR110196P1,"Jeong SI, Burns NA, Bonino CA, et al.  2014.  Improved cell infiltration of highly porous 3D nanofibrous scaffolds formed by combined fiber-fiber charge repulsions and ultrasonication.  J Mater Chem B Mater Biol Med 2(46):8116-8122."
236,OR110196P1,"Nguyen K, Jeon O, Krebs MD, et al.  2014.  Sustained localized presentation of RNA interfering molecules from in situ forming hydrogels to guide stem cell osteogenic differentiation.  Biomaterials 35(24):6278-6286."
237,OR110196P1,"Nguyen K, and Alsberg E.  2014.  Bioactive factor delivery strategies from engineered polymer hydrogels for therapeutic medicine.  Prog Polymer Sci 39(7):1236-1265."
238,OR110196P1,"Cong CT, Nguyen MK, Tonga GY, et al.  2016.  Photocleavable hydrogels for light-triggered siRNA release.  Adv Healthc Mater 5(3):305-310."
239,OR120033,"Saeman MR, DeSpain K, Liu M-M, et al.  2015.  Effects of exercise on soleus in severe burn and muscle disuse atrophy.  J Surg Res 198(1):19-26."
240,OR120033,"Saeman MR, DeSpain K, Liu MM, et al. Effects of exercise on soleus in severe burn and muscle disuse atrophy. The Journal of surgical research. 2015 Sep; 198(1): 19-26. https://doi.org/10.1016/j.jss.2015.05.038 PMID:26104324"
241,OR120033,"Hernandez P, Buller D, Mitchell T, et al. Severe Burn-Induced Inflammation and Remodeling of Achilles Tendon in a Rat Model. Shock (Augusta, Ga.). 2018 Sep; 50(3): 346-350. https://doi.org/10.1097/SHK.0000000000001037 PMID:29065066"
242,OR120033,"Song J, Saeman MR, Baer LA,et al. 2017. Exercise Altered the Skeletal Muscle MicroRNAs and Gene Expression Profiles in Burn Rats With Hindlimb Unloading. J Burn Care Res. 38(1): 11-19."
243,OR120033P1,"Saeman MR, DeSpain K, Liu MM, et al.  Effects of exercise on soleus in severe burn and muscle disuse atrophy.  J Orthop Surg Res 198:19-26."
244,OR120042,"Twiss JL, and Fainzilber M.  2016.  Neuroproteomics: How many angels can be identified in an extract from the head of a pin?  Mol Cell Proteomics 15:341-343."
245,OR120042,"Twiss JL, Kalinski AL, Sachdeva R, et al.  2016.  Intra-axonal protein synthesis - a new target for neural repair?  Neural Regen Res 11:1365-1367."
246,OR120042,"Ben-Tov Perry R, Rishal I, Doron-Mandel E, et al.  2016.  Nucleolin-mediated RNA localization for neuron growth and cell size regulation.  Cell Reports 16:1664-1676."
247,OR120042,"Gardiner AS, Twiss JL, and Perrone-Bizzozero NI.  2015.  Competing interactions of RNAbinding proteins, microRNAs, and their targets control mRNA stability, transport and translation during neuronal development and function.  Biomolecules 5(4):2903-2918."
248,OR120042,"Twiss JL, and Merianda TT.  2015.  Old dogs with new tricks - Intra-axonal translation of nuclear proteins.  Neural Regen Res 10(10):1560-1562."
249,OR120042,"Kalinski AL, HinesT, Smith DS, et al.  Neuronal transport and spatial signaling mechanisms in neural repair. In: Encyclopedia of Cell Biology, (Bradshaw R, and Stahl P, Eds.).  Elsevier Press. (ISBN 9780123944474)."
250,OR120042,"Doron-Mandel E, Alber S, Oses JA, et al.  2016.  Isolation and analyses of axonal ribonucleoprotein complexes.  Methods Cell Biol 131:467-86."
251,OR120055,"Pongkitwitoon S, et al.  2016.  Low-intensity vibrations accelerate proliferation and alter macrophage phenotype in vitro.  J Biomechanics 49(5):793-796."
252,OR120056,"Pacifici M and Shore EM. 2016. Common mutations in ALK2/ACVR1, a multifaceted receptor, have roles in distinct pediatric musculoskeletal and neural orphan disorders. Cytokine Growth Factor Rev. 27: 93-104. doi: 10.1016/j.cytogfr.2015.12.007."
253,OR120056,"Sinha S, Uchibe K, Usami Y, et al.  2016. Effectiveness and mode of action of a combination therapy for heterotopic ossification with a retinoid agonist and an anti-inflammatory agent.  Bone 90:59-68."
254,OR120056,"Pavey GJ, Qureshi AT, Tomasino AM, et al. 2016. Targeted stimulation of retinoic acid receptor-¿ mitigates the formation of heterotopic ossification in an established blast-related traumatic injury model. Bone 90: 159-67. doi: 10.1016/j.bone.2016.06.014."
255,OR120056P1,"Qureshi AT, Crump EK, Pavey GJ, et al.  2015.  Early characterization of blast-related heterotopic ossification in a rat model.  Clinical Orthopaedics and Related Res 473:2831-2839."
256,OR120056P1,"Pavey GJ, Qureshi AT, Hope DN, et al.  2015.  Bioburden Increases Heterotopic Ossification Formation in an Established rat model.  Clnical Orthopaedics and Related Res 473:2840-2847."
257,OR120056P1,"Alfieri KA, Potter BK, Davis TA, et al.  2015.  Early Risk stratification for heterotopic ossification formation in combat casualties.  Clinical Orthopaedics and Related Res 473:2807-2813."
258,OR120056P1,"Pavey GJ, Qureshi AT, Tomasino AM, et al.  2016.  Targeted stimulation of retinoic acid receptor-y mitigates the formation of heterotopic ossification in an established blast-related traumatic injury model.  Bone 90:159-167."
259,OR120080,"Davis KM, Griffin KS, Chu T-MG, et al.  2015.  Muscle-bone interactions during fracture healing.  J Musculoskelet Neuronal Interact 15:1-9."
260,OR120080,"Griffin KS, Davis KM, McKinley TO, et al.  2015.  Evolution of bone grafting: Bone grafts and tissue engineering strategies for vascularized bone regeneration.  Clin Rev Bone Mineral Metab 13:232-244."
261,OR120080,"Jewell E, Rytlewski J, Anglen JO, et al.  2015.  Surgical fixation hardware for regeneration of long bone segmental defects: Translating large animal model and human experiences.  Clin Rev Bone Mineral Metab13:222-231."
262,OR120080P1,"Davis KM, Griffin KS, Chu T-MG, et al.  2015.  Muscle-bone interactions during fracture healing.  J Musculoskelet Neuronal Interact 15:1-9."
263,OR120080P2,"Davis KM, Griffin KS, Chu T-MG, et al.  2015.  Muscle-bone interactions during fracture healing.  J Musculoskelet Neuronal Interact 15:1-9."
264,OR120114,"Chen Y, Fang Q, Wang Z, et al.  2016.  TRPV4 ion channel functions as a pruriceptor in epidermal keratinocytes to evoke histaminergic itch.  J Biol Chem 291:10252-10262."
265,OR120114,"Kanju P, Chen Y, Lee W, et al.  2016.  Small molecule dual-inhibitors of TRPV4 and TRPA1 for attenuation of inflammation and pain.  Sci Rep 6:26894."
266,OR120140,"James R, Nagarale RK, Sachan V, et al.  2014.  Synthesis and characterization of electrically conducting polymers for regenerative engineering applications:  Sulfonated ionic membranes. Polym Adv Tech 25:1439-1445."
267,OR120140,"Bhattacharya P, Nagarale RK, Sachan V, et al.  2014.  Development of redox-conducting polymer electrodes for non-gassing electro-osmotic pumps:  A novel approach.  J Electrochem Soc 161 (13):H3029-H3034."
268,OR120140,"Shah M, Chang W and Yu X.  2014.  Evaluating nerve guidance conduits for peripheral nerve injuries: a novel normalization method.  Neural Regen Res 9(22):1959-1960."
269,OR120140,"Anderson M, Shelke NB, Manoukian OS, Yu X, et al.  2015.  Peripheral nerve regeneration strategies: Electrically stimulating polymer based nerve growth conduits, critical reviews¿.  Biomed Engineer J 43(2-3)131-159."
270,OR120140,"Shelke NB, Anderson M, Idrees SM, et al.  2015.  Polyester nano-and micro-technologies for tissue engineering.  In:  Handbook of Polyester Drug Delivery Systems (MNV Ravikumar, Ed.).  Pan Stanford Publishing."
271,OR120140,"Ramos DM, Peach MS, Mazzocca AD, et al.  2015.  Tendon tissue engineering.  In:  Regenerative Engineering Musculoskeletal Tissues and Interfaces (Nukavarapu S, Freeman J, and Laurencin C, Eds.).  Woodhead Publishing Series in Biomaterials: Number 98/Elsevier, New York."
272,OR120140,"Jaiswal D, James R, Shelke NB, et al.  2015.  Gelatin nanofiber matrices derived from schiff base derivative for tissue engineering applications.  J Biomed Nanotechnol 11:1-14."
273,OR120140,"Shelke NB, James R, Laurencin CT et al.  2014.  Polysaccharide biomaterials for drug delivery and regenerative engineering. Polym Adv Tech 25(5):448-460."
274,OR120140,"Harmon JR, Kumbar SG, and Laurencin CT.  2014.  Innovative regenerative engineering technologies for soft tissue regeneration.  Technology and Innovation 16 (3-4):195-214."
275,OR120140,"Nada AA, James R, Shelke NB et al.  2014.  Smart methodology to fabricate electrospun chitosan nanonfiber matrices for regenerative engineering applications. Polym Adv Tech 25(5):507-515."
276,OR120161,"u L, Gonzalez S, Shah S, et al.  2013.  Extracellular matrix domain formation as an indicator of chondrocyte dedifferentiation and hypertrophy.  Tissue Engineering Part C. 20(2):160-168."
