"","Proposal Number","Publication"
"144","TS100088","Reith RM, McKenna J, Wu H, et al. 2013. Loss of Tsc2 in Purkinje cells is associated with autistic-like behavior in a mouse model of tuberous sclerosis complex. Neurobiol Dis. 51: 93-103. doi: 10.1016/j.nbd.2012.10.014."
"145","TS110015","Zhang B, Zou J, Han L, et al. Microglial activation during epileptogenesis in a mouse model of tuberous sclerosis complex. Epilepsia 57(8): 1317-1325. doi: 10.1111/epi.13429."
"146","TS110032","Prizant H, Sen A, Light A, et al.  2013.  Uterine-specific loss of Tsc2 leads to myometrial tumors in both the uterus and lungs.  Mol Endocrinol 27(9):1403-1414."
"147","TS110032","Prizant H, Taya M, Lerman I, et al. 2016. Estrogen maintains myometrial tumors in a lymphangioleiomyomatosis model. Endocr Relat Cancer 23(4): 265-280. doi: 10.1530/ERC-15-0505."
"148","TS110032","Hammes SR, and Krymskaya VP.  2013.  Targeted approaches toward understanding and treating pulmonary lymphangioleiomyomatosis (LAM).  Hormones and Cancer 4(2):70-77."
"149","TS110033","Crowell B, Lee GH, Nikolaeva I, et al.  2015.  Complex neurological phenotype in mutant mice lacking Tsc2 in excitatory neurons of the developing forebrain.  eNeuro 2(6):1-15."
"150","TS110036","Gilbert ER, Eby JM, Hammer AM, et al.  2013.  Positioning ganglioside D3 as an immunotherapeutic target in lymphangioleiomyomatosis.  Am J Pathol 183:226-234."
"151","TS110036","Eby JM, Barse L, Henning SW, et al.  2017.  Alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1 can support immune responses toward tumors overexpressing ganglioside D3 in mice. Cancer Immunol Immunother 66(1):63-75."
"152","TS110047","Li C, Lee P-S, Sun Y, et al.  2014.  Estradiol and mTORC2 cooperate to enhance prostaglandin biosynthesis and tumorigenesis in tuberous sclerosis complex.  J Exp Med 211(1):15-28."
"153","TS110047","Li C, Liu X, Liu Y, et al. 2017. Tuberin Regulates Prostaglandin Receptor-Mediated Viability, via Rheb, in mTORC1-Hyperactive Cells. Mol Cancer Res. 15(10): 1318-1330. doi: 10.1158/1541-7786.MCR-17-0077."
"154","TS110048","El-Chemaly S, Taveira-Dasilva A, Goldberg HJ, Peters E, Haughey M, Bienfang D, Jones AM, Julien-Williams P, Cui Y, Villalba JA, et al. Sirolimus and Autophagy Inhibition in Lymphangioleiomyomatosis: Results of a Phase I Clinical Trial. Chest. 2017 Jun;151(6):1302-1310. doi: 10.1016/j.chest.2017.01.033. Epub 2017 Feb 10. PubMed PMID: 28192114; PubMed Central PMCID: PMC6026235."
"155","TS110048","Lamattina AM, Taveira-Dasilva A, Goldberg HJ, et al. 2018. Circulating Biomarkers From the Phase 1 Trial of Sirolimus and Autophagy Inhibition for Patients With Lymphangioleiomyomatosis. Chest. 154(5): 1070-1082. doi: 10.1016/j.chest.2018.08.1029."
"156","TS110056","Tang G, Gudsnuk K, Kuo SH, et al.  2014.  Loss of mTOR-dependent macroautophagy causes autistic-like synaptic pruning deficits.  Neuron 83(5):1131-1143."
"157","TS110065","Housden BE, Valvezan AJ, Kelley C, et al.  2015.  Identification of novel drug targets for tuberous sclerosis complex by synthetic screens combining CRISPR-based knockouts with RNAi.  Science Signaling 8(393):rs9."
"158","TS110075","Howell JJ, Hellberg K, Turner M, et al. 2017. Metformin Inhibits Hepatic mTORC1 Signaling via Dose-Dependent Mechanisms Involving AMPK and the TSC Complex. Cell Metab. 25(2): 463-471. doi: 10.1016/j.cmet.2016.12.009."
"159","TS110075","Asrani K, Sood A, Torres A, et al. mTORC1 loss impairs epidermal adhesion via TGF-ß/Rho kinase activation. The Journal of clinical investigation. 2017. 127(11): 4001-4017. https://doi.org/10.1172/JCI92893 PMID:28945203"
"160","TS110083","Normand EA, Crandall SR, Thorn CA, et al.  2013. Temporal and mosaic Tsc1 deletion in the developing thalamus disrupts thalamocortical circuitry, neural function, and behavior.  Neuron 78:895-909.

"
"161","TS120021","Egan DF, Ghun MGH, Shaw RJ, et al.  2015.  Small molecule inhibition of the autophagy kinase ULK1 and identification of ULK1 substrates.  Mol Cell 59:285-297."
"162","TS120038","Prabhakar S, Goto J, Zhang X, et al.  2013.  Stochastic model of Tsc1 lesions in mouse brain.  PLoS One 8(5):e64224."
"163","TS120038","Prabhakar S, Zhang X, Goto J, et al.  2015.  Survival benefit and phenotypic improvement by TSC1 gene therapy in a tuberous sclerosis mouse brain model.  Neurobiol Dis 82:22-31."
"164","TS120057","Priolo C, Ricoult SJ, Khabibullin D, et al.  2015.  Tuberous sclerosis complex 2 loss increases lysophosphatidylcholine synthesis in lymphangioleiomyomatosis.  Am J Respir Cell Mol Biol 53(1):33-41"
"165","TS120072","Yuan HX, Wang Z, Yu F-X, et al.  2015.  NLK phosphorylates raptor to mediate stress-induced mTORC1 inhibition.  Genes & Dev 29:2362-2376."
"166","TS120072","Jewell JL, Kim YC, Russell RC, et al.  2015.  Differential regulation of mTORC1 by leucine and glutamine.  Science 347:194-198."
"167","TS120073","Sun W, Zhu Y, Wang Z, et al.  2013.  Crystal structure of the yeast TSC1 core domain and implications for tuberous sclerosis pathogenic mutations.  Nature Communications 4:2135.  "
"168","TS120087","Julich K, and Sahin M.  2014.  Mechanism-based treatment in tuberous sclerosis complex.  Pediatr Neurol 50(4):290-296."
"169","TS120087","Ercan E, Han JM, Di Nardo A, et al.  2017.  Neuronal CTGF/CCN2 negatively regulates myelination in a mouse model of tuberous sclerosis complex.  J Exp Med 214(3):681-697."
"170","TS120087","Ebrahimi-Fakhari D and Sahin M.  2015.  Autism and the synapse: emerging mechanisms and mechanism-based therapies.  Review article.  Curr Opin Neurol 28(2):91-102."
"171","TS120090","Kim Y-M, Jung C.H, Seo M, et al.  2015.  mTORC1 phosphorylates UVRAG to negatively regulate autophagosome and endosome maturation.  Mol Cell 57:207-218."
"172","TS120090","Kim Y-M, Park J-M, Grunwald D, et al.  2015.  An expanded role for mTORC1 in autophagy. Mol Cell Oncol 3(1):e1010958."
"173","TS130025","Jacobs BL, McNally RM, Kim KJ, et al. 2017. Identification of mechanically regulated phosphorylation sites on tuberin (TSC2) that control mechanistic target of rapamycin (mTOR) signaling. J Biol Chem 292(17): 6987-6997. doi: 10.1074/jbc.M117.777805."
"174","TS130031","Courtwright AM, Goldberg HJ, Henske EP, et al.  2017.  The effect of mTOR inhibitors on respiratory infections in lymphangioleiomyomatosis.  Eur Respir Rev 26(143)."
"175","TS130031","Cui Y, Steagall WK, Lamattina AM, Pacheco-Rodriguez G, Stylianou M, Kidambi P, Stump B, Golzarri F, Rosas IO, Priolo C, et al. Aberrant SYK Kinase Signaling Is Essential for Tumorigenesis Induced by TSC2 Inactivation. Cancer Res. 2017 Mar 15;77(6):1492-1502. doi: 10.1158/0008-5472.CAN-16-2755. Epub 2017 Feb 15. PubMed PMID: 28202529."
"176","TS130042","Rayhan A, Faller A, Chevalier R, et al. 2018. Using genetic buffering relationships identified in fission yeast to reveal susceptibilities in cells lacking hamartin or tuberin function. Biology Open 7(1). doi: 10.1242/bio.031302."
"177","TS130044","Gao X, Wan J, Liu B, et al.  2015.  Quantitative profiling of initiating ribosomes in vivo.  Nat Methods 12(2):147-153."
"178","TS130044","Zhou J, Wan J, Shu XE, et al. . Molecular cell. 2018 02; 69(4): 636-647.e7. https://doi.org/10.1016/j.molcel.2018.01.019 PMID:29429926"
"179","TS130044","Tang L, Morris J, Wan, J, et al. 2017. Competition between translation initiation factor eIF5 and its mimic protein 5MP determines non-AUG initiation rate genome-wide. Nucleic Acids Res 45(20): 11941-11953. doi: 10.1093/nar/gkx808."
"180","TS130044","Coots RA, Liu XM, Mao Y, et al. 2017. m6A facilitates eIF4F-independent mRNA translation. Mol Cell 68(3): 504-514.e7. doi: 10.1016/j.molcel.2017.10.002."
"181","TS130044","Saikia M, Wang X, Mao Y, et al. 2016. Codon optimality controls differential mRNA translation during amino acid starvation. RNA 22(11): 1719-1727. doi: 10.1261/rna.058180.116."
"182","TS130044","Gao X, Wan J, and Qian SB.  2016.  Genome-wide profiling of alternative translation initiation sites.  Methods Mol Biol 1358:303-316."
"183","TS130044","Meyer KD, Patil DP, Zhou J, et al.  2015.  Band Jaffrey SR.  5' UTR m6A promotes cap-independent translation.  Cell 163(4):999-1010."
"184","TS130044","Qian SB.  2016.  Step back for seminal translation.  Nat Struct Mol Biol 23(5):362-363."
"185","TS130044","Zhou J, Rode KA and Qian SB.  2016.  m6A: a novel hallmark of translation.  Cell Cycle 15(3):309-10."
"186","TS130044","Liu B and Qian SB.  2016.  Characterizing inactive ribosomes in translational profiling. Translation 4(1):e1138018."
"187","TS130051","Delaney SP, Julian LM, and Stanford WL.  2014.  The neural crest lineage as a driver of disease heterogeneity in Tuberous Sclerosis Complex and Lymphangioleiomyomatosis.  Frontiers in Cell & Developmental Biology 2(69):1-15).  Review."
"188","TS130051","Julian LM and Stanford WL. Reprogramming patient-derived tumor cells generates model cell lines for tuberous sclerosis-associated lymphangioleiomyomatosis. Oncoscience 4(11-12): 170-172. doi: 10.18632/oncoscience.375."
"189","TS130051","Julian LM, Delaney SP, Wang Y, et al. 2017. Human pluripotent stem cell-derived TSC2-haploinsufficient smooth muscle cells recapitulate features of Lymphangioleiomyomatosis.  Cancer Res 2017 Oct 15;77(20):5491-5502. doi: 10.1158/0008-5472.CAN-17-0925. Epub 2017 Aug 22."
"190","TS130067","Bagla S, Cukovic D, Asano E, et al. 2018. A distinct microRNA expression profile is associated with a[11C]-methyl-L-tryptophan (AMT) PET uptake in epileptogenic cortical tubers resected from patients with tuberous sclerosis complex. Neurobiol Dis 109(Pt A): 76-87. doi: 10.1016/j.nbd.2017.10.004."
"191","TS130081","Niere F, Namjoshi S, Song E, et al.  2016.  Analysis of proteins that rapidly change upon mTORC1 repression identifies Park7 as a novel protein aberrantly expressed in tuberous sclerosis complex.  Mol Cell Proteomics 15(2):426-444."
"192","TS130081","Workman, E.R. Niere, F. & Raab-Graham, K.F. Engaging Homeostatic Plasticity to Treat Depression. Molecular Psychiatry (2017)
http://www.nature.com/articles/mp2017225"
"193","TS130083","Bissler JJ, Zadjali F, Bridges D, Astrinidis A, Barone S, Yao Y, Redd JR, Siroky BJ, Wang Y, Finley JT, et al. Tuberous sclerosis complex exhibits a new renal cystogenic mechanism. Physiol Rep. 7(2):e13983. doi: 10.14814/phy2.13983. Epub 2019 Jan 23. PubMed PMID: 30675765; PubMed Central PMCID: PMC6344348."
"194","TS140010","Cho JH, Patel B, Bonala S, Mansouri H, Manne S, Vadrevu SK, Ghouse S, Kung CP, Murphy ME, Astrinidis A, et al. The codon 72 TP53 polymorphism contributes to TSC-tumorigenesis through the Notch-Nodal axis. Mol Cancer Res. 2019 May 14. pii: molcanres.1292.2018. doi: 10.1158/1541-7786.MCR-18-1292. [Epub ahead of print] PubMed PMID: 31088907."
"195","TS140030","Tye C, Varcin KJ, Bolton P, et al. 2016. Early developmental pathways to autism spectrum disorder in tuberous sclerosis complex. Advances in Autism 2(2): 84-93. doi: 10.1108/AIA-01-2016-0004."
"196","TS140032","Liu HJ, Lam HC, Baglini CV, Nijmeh J, Cottrill AA, Chan SY, Henske EP. Rapamycin-upregulated miR-29b promotes mTORC1-hyperactive cell growth in TSC2-deficient cells by downregulating tumor suppressor retinoic acid receptor ß (RARß). Oncogene. 2019 Aug 16. doi: 10.1038/s41388-019-0957-5. [Epub ahead of print] PubMed PMID: 31420607."
"197","TS140033","Sundberg M, Tochitsky I, Buchholz DE, Winden K, Kujala V, Kapur K, Cataltepe D, Turner D, Han MJ, Woolf CJ, Hatten ME, Sahin M. Purkinje cells derived from TSC patients display hypoexcitability and synaptic deficits associated with reduced FMRP levels and reversed by rapamycin. Mol Psychiatry. 2018 Nov;23(11):2167-2183. doi: 10.1038/s41380-018-0018-4. Epub 2018 Feb 15. PubMed PMID: 29449635; PubMed Central PMCID: PMC6093816."
"198","TS140055","Yao Y, Jones E, and Inoki K. 2017. Lysosomal regulation of mTORC1 by amino acids in mammalian cells.  Biomolecules 7(3): 51. doi:  10.3390/biom7030051."
"199","TS140055","Hong S, and Inoki K.  2017.  Evaluating the mTOR pathway in physiological and pharmacological settings.  Methods Enzymol 587:405-428."
"200","TS140055","Hong S, Freeberg MA, Han T, et al.  2017.  LARP1 functions as a molecular switch for mTORC1-mediated translation of an essential class of mRNAs.  Elife e25237."
"201","TS150020","Housden BE, Li Z, Kelley C, et al. 2017. Improved detection of synthetic lethal interactions in Drosophila cells using variable dose analysis (VDA). Proc Natl Acad Sci U S A. 114(50): E10755-E10762. doi: 10.1073/pnas.1713362114."
"202","TS150020","Sierzputowska K, Baxter CR, Housden BE. Variable Dose Analysis: A Novel High-throughput RNAi Screening Method for Drosophila Cells. Bio-protocol. 2018 Dec 20;8(24): e3112. DOI: 10.21769/BioProtoc.3112."
"203","TS150032","Stepanova V, Dergilev KV, Holman KR, et al. 2017. Urokinase-type plasminogen activator (uPA) is critical for progression of tuberous sclerosis complex 2 (TSC2)-deficient tumors. J Biol Chem. 292(50): 20528-20543. doi: 10.1074/jbc.M117.799593."
"204","TS150032","Stepanova V, Jayaraman PS, Zaitsev SV, et al. 2016. Urokinase-type plasminogen activator (uPA) promotes angiogenesis by attenuating proline-rich homeodomain protein (PRH) transcription factor activity and de-repressing vascular endothelial growth factor (VEGF) receptor expression. J Biol Chem. 291(29): 15029-15045. doi: 10.1074/jbc.M115.678490."
"205","TS150037","Rushing G and Ihrie RA. 2016. Neural stem cell heterogeneity through time and space in the ventricular-subventricular zone.  Front Biol 2016 Aug;11(4):261-284. doi: 10.1007/s11515-016-1407-1. Epub 2016 Jul 8."
"206","TS150037","Leelatian N, Diggins KE, Brockman AA, et al. 2017. A protocol for preparing viable single cells from human tissue and tumors for cytomic analysis.  Current Protocols Mol Biol. UNIT 25C.1"
"207","TS150056","Chang JW, Zhang W, Yeh HS, et al. 2018. An integrative model for alternative polyadenylation, IntMAP, delineates mTOR-modulated endoplasmic reticulum stress response. Nucleic Acids Res 46(12):5996-6008. doi: 10.1093/nar/gky340."
"208","TS150071","Verwer EE, Kavanagh TR, Mischler WJ, et al. 2018. [18F] Fluorocholine and [18F] fluoroacetate PET as imaging biomarkers to assess phosphatidylcholine and mitochondrial metabolism in preclinical models of TSC and LAM. Clinical Cancer Research 24(23): 5925-5938. DOI: 10.1158/1078-0432.CCR-17-3693."
